Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,8,0.000000,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000000,0.000001,IMP
1,8,0.000000,0.000000,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,32,0.000003,0.000003,IMP
1,32,0.000010,0.000010,IMP
1,32,0.000003,0.000003,IMP
1,32,0.000003,0.000003,IMP
1,32,0.000003,0.000003,IMP
1,64,0.000012,0.000014,IMP
1,64,0.000012,0.000015,IMP
1,64,0.000012,0.000014,IMP
1,64,0.000011,0.000015,IMP
1,64,0.000012,0.000014,IMP
1,128,0.000046,0.000062,IMP
1,128,0.000046,0.000060,IMP
1,128,0.000047,0.000060,IMP
1,128,0.000046,0.000061,IMP
1,128,0.000047,0.000060,IMP
1,256,0.000193,0.000432,IMP
1,256,0.000199,0.000429,IMP
1,256,0.000197,0.000433,IMP
1,256,0.000199,0.000429,IMP
1,256,0.000197,0.000425,IMP
1,512,0.000762,0.002034,IMP
1,512,0.000801,0.002046,IMP
1,512,0.000754,0.001973,IMP
1,512,0.000759,0.001949,IMP
1,512,0.000775,0.001966,IMP
1,1024,0.003165,0.009699,IMP
1,1024,0.003255,0.010266,IMP
1,1024,0.003152,0.009518,IMP
1,1024,0.003246,0.010001,IMP
1,1024,0.003154,0.009349,IMP
1,2048,0.013006,0.044002,IMP
1,2048,0.015020,0.044970,IMP
1,2048,0.012844,0.041180,IMP
1,2048,0.015019,0.042538,IMP
1,2048,0.012915,0.039319,IMP
1,4096,0.087016,0.223192,IMP
1,4096,0.082223,0.187435,IMP
1,4096,0.086875,0.223059,IMP
1,4096,0.082497,0.187352,IMP
1,4096,0.086155,0.223199,IMP
