Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000000,0.000001,SEQ
1,4,0.000000,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000001,0.000001,IMP
1,4,0.000001,0.000000,IMP
1,4,0.000001,0.000000,IMP
1,8,0.000001,0.000001,SEQ
1,8,0.000002,0.000000,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000001,0.000001,IMP
1,8,0.000001,0.000001,IMP
1,8,0.000001,0.000001,IMP
1,8,0.000000,0.000001,IMP
1,8,0.000001,0.000001,IMP
1,16,0.000004,0.000002,SEQ
1,16,0.000001,0.000000,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000001,0.000000,SEQ
1,16,0.000002,0.000003,IMP
1,16,0.000002,0.000003,IMP
1,16,0.000002,0.000003,IMP
1,16,0.000002,0.000002,IMP
1,16,0.000001,0.000003,IMP
1,32,0.000012,0.000007,SEQ
1,32,0.000011,0.000008,SEQ
1,32,0.000012,0.000007,SEQ
1,32,0.000003,0.000002,SEQ
1,32,0.000011,0.000007,SEQ
1,32,0.000001,0.000002,IMP
1,32,0.000005,0.000007,IMP
1,32,0.000005,0.000007,IMP
1,32,0.000005,0.000007,IMP
1,32,0.000005,0.000006,IMP
1,64,0.000040,0.000037,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000041,0.000038,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000011,0.000011,SEQ
1,64,0.000017,0.000032,IMP
1,64,0.000016,0.000031,IMP
1,64,0.000016,0.000031,IMP
1,64,0.000017,0.000031,IMP
1,64,0.000017,0.000032,IMP
1,128,0.000044,0.000054,SEQ
1,128,0.000047,0.000055,SEQ
1,128,0.000045,0.000053,SEQ
1,128,0.000047,0.000055,SEQ
1,128,0.000118,0.000052,SEQ
1,128,0.000019,0.000039,IMP
1,128,0.000066,0.000121,IMP
1,128,0.000019,0.000039,IMP
1,128,0.000020,0.000039,IMP
1,128,0.000066,0.000128,IMP
1,256,0.000173,0.000444,SEQ
1,256,0.000183,0.000454,SEQ
1,256,0.000173,0.000427,SEQ
1,256,0.000177,0.000412,SEQ
1,256,0.000190,0.000410,SEQ
1,256,0.000259,0.000268,IMP
1,256,0.000078,0.000160,IMP
1,256,0.000258,0.000534,IMP
1,256,0.000139,0.000161,IMP
1,256,0.000259,0.000223,IMP
1,512,0.001162,0.002831,SEQ
1,512,0.001168,0.002925,SEQ
1,512,0.001177,0.002795,SEQ
1,512,0.001147,0.002904,SEQ
1,512,0.001154,0.002776,SEQ
1,512,0.000311,0.000659,IMP
1,512,0.000324,0.000655,IMP
1,512,0.000425,0.000621,IMP
1,512,0.000317,0.000618,IMP
1,512,0.000306,0.000625,IMP
1,1024,0.005334,0.018513,SEQ
1,1024,0.005276,0.018412,SEQ
1,1024,0.005267,0.018237,SEQ
1,1024,0.005278,0.018017,SEQ
1,1024,0.005265,0.018282,SEQ
1,1024,0.001508,0.003370,IMP
1,1024,0.001481,0.003074,IMP
1,1024,0.001486,0.003063,IMP
1,1024,0.001482,0.003053,IMP
1,1024,0.001488,0.003065,IMP
1,2048,0.027958,0.077167,SEQ
1,2048,0.028570,0.078508,SEQ
1,2048,0.029079,0.075576,SEQ
1,2048,0.029234,0.075504,SEQ
1,2048,0.029249,0.076375,SEQ
1,2048,0.007261,0.016522,IMP
1,2048,0.006982,0.015666,IMP
1,2048,0.007103,0.014991,IMP
1,2048,0.007049,0.014880,IMP
1,2048,0.007111,0.014972,IMP
1,4096,0.269093,0.377406,SEQ
1,4096,0.269702,0.358609,SEQ
1,4096,0.266929,0.390766,SEQ
1,4096,0.267538,0.380091,SEQ
1,4096,0.267933,0.371121,SEQ
1,4096,0.058460,0.082495,IMP
1,4096,0.058226,0.082550,IMP
1,4096,0.058205,0.082253,IMP
1,4096,0.058227,0.082523,IMP
1,4096,0.058216,0.082439,IMP
