Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000000,0.000001,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000001,IMP
1,4,0.000000,0.000000,IMP
1,8,0.000002,0.000001,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000002,0.000001,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000002,0.000002,SEQ
1,8,0.000001,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000000,0.000000,IMP
1,8,0.000001,0.000001,IMP
1,8,0.000000,0.000001,IMP
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000000,SEQ
1,16,0.000003,0.000002,SEQ
1,16,0.000004,0.000003,SEQ
1,16,0.000000,0.000001,IMP
1,16,0.000001,0.000000,IMP
1,16,0.000003,0.000002,IMP
1,16,0.000001,0.000000,IMP
1,16,0.000000,0.000001,IMP
1,32,0.000003,0.000002,SEQ
1,32,0.000012,0.000007,SEQ
1,32,0.000003,0.000002,SEQ
1,32,0.000004,0.000002,SEQ
1,32,0.000003,0.000002,SEQ
1,32,0.000003,0.000002,IMP
1,32,0.000003,0.000002,IMP
1,32,0.000003,0.000003,IMP
1,32,0.000009,0.000007,IMP
1,32,0.000002,0.000002,IMP
1,64,0.000011,0.000011,SEQ
1,64,0.000012,0.000012,SEQ
1,64,0.000011,0.000011,SEQ
1,64,0.000011,0.000012,SEQ
1,64,0.000012,0.000011,SEQ
1,64,0.000010,0.000011,IMP
1,64,0.000011,0.000012,IMP
1,64,0.000011,0.000012,IMP
1,64,0.000011,0.000012,IMP
1,64,0.000011,0.000011,IMP
1,128,0.000044,0.000054,SEQ
1,128,0.000131,0.000060,SEQ
1,128,0.000130,0.000053,SEQ
1,128,0.000047,0.000055,SEQ
1,128,0.000044,0.000052,SEQ
1,128,0.000042,0.000055,IMP
1,128,0.000045,0.000055,IMP
1,128,0.000042,0.000053,IMP
1,128,0.000152,0.000083,IMP
1,128,0.000042,0.000053,IMP
1,256,0.000172,0.000439,SEQ
1,256,0.000183,0.000434,SEQ
1,256,0.000172,0.000416,SEQ
1,256,0.000183,0.000449,SEQ
1,256,0.000187,0.000415,SEQ
1,256,0.000400,0.000437,IMP
1,256,0.000178,0.000442,IMP
1,256,0.000168,0.000432,IMP
1,256,0.000177,0.000429,IMP
1,256,0.000168,0.000432,IMP
1,512,0.001123,0.002822,SEQ
1,512,0.001186,0.003059,SEQ
1,512,0.001108,0.002758,SEQ
1,512,0.001169,0.003049,SEQ
1,512,0.001118,0.002833,SEQ
1,512,0.001126,0.002853,IMP
1,512,0.001198,0.003000,IMP
1,512,0.001162,0.002799,IMP
1,512,0.001145,0.002924,IMP
1,512,0.001186,0.002758,IMP
1,1024,0.005317,0.018336,SEQ
1,1024,0.005273,0.018338,SEQ
1,1024,0.005263,0.017904,SEQ
1,1024,0.005262,0.018184,SEQ
1,1024,0.005259,0.017877,SEQ
1,1024,0.005404,0.018495,IMP
1,1024,0.005295,0.018279,IMP
1,1024,0.005287,0.018096,IMP
1,1024,0.005299,0.018066,IMP
1,1024,0.005297,0.018038,IMP
1,2048,0.028035,0.078496,SEQ
1,2048,0.028760,0.078167,SEQ
1,2048,0.029516,0.075847,SEQ
1,2048,0.029719,0.075644,SEQ
1,2048,0.029583,0.075922,SEQ
1,2048,0.028401,0.077651,IMP
1,2048,0.029368,0.077019,IMP
1,2048,0.030098,0.075784,IMP
1,2048,0.029206,0.076047,IMP
1,2048,0.029410,0.076053,IMP
1,4096,0.453399,1.254374,SEQ
1,4096,0.272943,0.347897,SEQ
1,4096,0.463922,1.225639,SEQ
1,4096,0.265773,0.367550,SEQ
1,4096,0.475872,1.263047,SEQ
1,4096,0.488844,1.244669,IMP
1,4096,0.271584,0.381320,IMP
1,4096,0.488579,1.265103,IMP
1,4096,0.266298,0.345268,IMP
1,4096,0.484130,1.248319,IMP
