Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,2e-07,4e-07
1,4,IMP,2e-07,2e-07
1,8,SEQ,1.6e-06,1e-06
1,8,IMP,6e-07,4e-07
1,16,SEQ,2e-06,1.4e-06
1,16,IMP,1e-06,8e-07
1,32,SEQ,4.9999999999999996e-06,2.9999999999999997e-06
1,32,IMP,4.000000000000001e-06,3.2000000000000007e-06
1,64,SEQ,1.14e-05,1.1400000000000001e-05
1,64,IMP,1.08e-05,1.16e-05
1,128,SEQ,7.92e-05,5.48e-05
1,128,IMP,6.46e-05,5.9800000000000003e-05
1,256,SEQ,0.0001794,0.0004306
1,256,IMP,0.0002182,0.00043440000000000004
1,512,SEQ,0.0011408,0.0029042
1,512,IMP,0.0011633999999999998,0.0028668
1,1024,SEQ,0.0052748,0.0181278
1,1024,IMP,0.0053164,0.0181948
1,2048,SEQ,0.0291226,0.0768152
1,2048,IMP,0.0292966,0.0765108
1,4096,SEQ,0.3863818,0.8917014
1,4096,IMP,0.39988699999999994,0.8969358
