Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000001,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000001,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,8,0.000001,0.000001,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000000,0.000000,IMP
1,8,0.000000,0.000000,IMP
1,8,0.000000,0.000000,IMP
1,8,0.000000,0.000000,IMP
1,8,0.000000,0.000000,IMP
1,16,0.000001,0.000000,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000002,0.000000,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000000,0.000000,IMP
1,16,0.000000,0.000001,IMP
1,16,0.000000,0.000000,IMP
1,16,0.000000,0.000000,IMP
1,16,0.000000,0.000001,IMP
1,32,0.000003,0.000002,SEQ
1,32,0.000003,0.000003,SEQ
1,32,0.000004,0.000002,SEQ
1,32,0.000003,0.000002,SEQ
1,32,0.000003,0.000002,SEQ
1,32,0.000001,0.000000,IMP
1,32,0.000001,0.000001,IMP
1,32,0.000001,0.000000,IMP
1,32,0.000001,0.000000,IMP
1,32,0.000001,0.000000,IMP
1,64,0.000012,0.000011,SEQ
1,64,0.000012,0.000011,SEQ
1,64,0.000012,0.000011,SEQ
1,64,0.000012,0.000012,SEQ
1,64,0.000012,0.000012,SEQ
1,64,0.000005,0.000006,IMP
1,64,0.000006,0.000005,IMP
1,64,0.000004,0.000005,IMP
1,64,0.000005,0.000005,IMP
1,64,0.000005,0.000005,IMP
1,128,0.000047,0.000056,SEQ
1,128,0.000047,0.000055,SEQ
1,128,0.000047,0.000056,SEQ
1,128,0.000047,0.000055,SEQ
1,128,0.000046,0.000055,SEQ
1,128,0.000019,0.000056,IMP
1,128,0.000019,0.000054,IMP
1,128,0.000019,0.000055,IMP
1,128,0.000018,0.000054,IMP
1,128,0.000019,0.000055,IMP
1,256,0.000188,0.000453,SEQ
1,256,0.000183,0.000462,SEQ
1,256,0.000188,0.000459,SEQ
1,256,0.000183,0.000451,SEQ
1,256,0.000191,0.000436,SEQ
1,256,0.000068,0.000267,IMP
1,256,0.000076,0.000257,IMP
1,256,0.000068,0.000241,IMP
1,256,0.000075,0.000256,IMP
1,256,0.000242,0.000546,IMP
1,512,0.001113,0.003009,SEQ
1,512,0.001215,0.003019,SEQ
1,512,0.001121,0.002787,SEQ
1,512,0.001192,0.002953,SEQ
1,512,0.001139,0.002843,SEQ
1,512,0.000417,0.001207,IMP
1,512,0.000456,0.001235,IMP
1,512,0.000417,0.001124,IMP
1,512,0.000455,0.001243,IMP
1,512,0.000422,0.001132,IMP
1,1024,0.005235,0.017932,SEQ
1,1024,0.005103,0.020291,SEQ
1,1024,0.005181,0.017578,SEQ
1,1024,0.005247,0.023837,SEQ
1,1024,0.005167,0.017644,SEQ
1,1024,0.003282,0.005819,IMP
1,1024,0.003349,0.004857,IMP
1,1024,0.003217,0.005402,IMP
1,1024,0.003335,0.005230,IMP
1,1024,0.003223,0.005402,IMP
1,2048,0.028068,0.076913,SEQ
1,2048,0.025385,0.114300,SEQ
1,2048,0.030108,0.074154,SEQ
1,2048,0.021423,0.102576,SEQ
1,2048,0.029001,0.074446,SEQ
1,2048,0.019287,0.029524,IMP
1,2048,0.013340,0.043656,IMP
1,2048,0.019029,0.026946,IMP
1,2048,0.013633,0.031716,IMP
1,2048,0.019023,0.026924,IMP
1,4096,0.269858,0.362033,SEQ
1,4096,0.506760,1.279186,SEQ
1,4096,0.267965,0.371283,SEQ
1,4096,0.480720,1.293254,SEQ
1,4096,0.266575,0.369942,SEQ
1,4096,0.214740,0.178897,IMP
1,4096,0.456437,1.154706,IMP
1,4096,0.212359,0.200119,IMP
1,4096,0.424514,1.090672,IMP
1,4096,0.211120,0.195669,IMP
