Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
1,4,1e-06,0.0,SEQ,4e-07,2e-07
1,4,0.0,0.0,IMP,4e-07,4e-07
1,4,1.7e-05,7e-06,OMP,2e-05,4.6e-06
2,4,0.000159,9e-06,OMP,0.000137,1.1e-05
3,4,8.7e-05,1.1e-05,OMP,9e-05,1.04e-05
4,4,0.000107,1.1e-05,OMP,0.0001288,1.12e-05
5,4,0.000119,1.2e-05,OMP,0.0001518,1.84e-05
6,4,0.000137,9e-06,OMP,0.0001836,1.32e-05
7,4,0.000154,1.4e-05,OMP,0.0001484,1.22e-05
8,4,0.000174,1e-05,OMP,0.0001676,1.08e-05
9,4,0.000457,1.4e-05,OMP,0.000251,1.22e-05
10,4,0.000197,1e-05,OMP,0.0002208,1.2e-05
11,4,0.000216,1.3e-05,OMP,0.0002238,1.56e-05
12,4,0.000238,1e-05,OMP,0.00028,1.16e-05
13,4,0.000285,1.2e-05,OMP,0.0002688,1.62e-05
14,4,0.000316,1.7e-05,OMP,0.000411,0.0001096
15,4,0.000596,2.8e-05,OMP,0.0004888,2.24e-05
16,4,0.000635,2.4e-05,OMP,0.0004362,1.78e-05
17,4,0.000358,1.9e-05,OMP,0.0004646,1.88e-05
18,4,0.000739,1.7e-05,OMP,0.0004402,2e-05
19,4,0.000347,1.9e-05,OMP,0.0004096,1.88e-05
20,4,0.000367,1.5e-05,OMP,0.000389,1.5e-05
21,4,0.000448,1.4e-05,OMP,0.0004652,1.5e-05
22,4,0.000446,2.4e-05,OMP,0.0005574,2e-05
23,4,0.00045,2e-05,OMP,0.000513,1.78e-05
24,4,0.000432,1.5e-05,OMP,0.000631,1.72e-05
25,4,0.00048,1.7e-05,OMP,0.0004644,1.84e-05
26,4,0.001032,2e-05,OMP,0.0008248,1.96e-05
27,4,0.000508,1.9e-05,OMP,0.0004974,2.22e-05
28,4,0.000524,2.2e-05,OMP,0.000687,2.18e-05
29,4,0.00051,1.8e-05,OMP,0.0006394,2.08e-05
30,4,0.00059,2e-05,OMP,0.000689,2.08e-05
