Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
1,4,0.000001,0.000001,SEQ,0.0000006,0.0000004
1,4,0,0.000001,SEQ,,
1,4,0.000001,0,SEQ,,
1,4,0.000001,0,SEQ,,
1,4,0,0,SEQ,,
1,4,0.000001,0,IMP,0.0000002,0.0000002
1,4,0,0,IMP,,
1,4,0,0,IMP,,
1,4,0,0.000001,IMP,,
1,4,0,0,IMP,,
1,4,0.000013,0.000001,OMP,0.000011,0.000001
1,4,0.000013,0.000001,OMP,,
1,4,0.00001,0.000001,OMP,,
1,4,0.00001,0.000001,OMP,,
1,4,0.000009,0.000001,OMP,,
2,4,0.000112,0.000004,OMP,0.0000812,0.000004
2,4,0.000116,0.000004,OMP,,
2,4,0.000058,0.000004,OMP,,
2,4,0.000062,0.000004,OMP,,
2,4,0.000058,0.000004,OMP,,
3,4,0.000087,0.000005,OMP,0.0001712,0.0000058
3,4,0.000084,0.000006,OMP,,
3,4,0.000087,0.000007,OMP,,
3,4,0.000515,0.000005,OMP,,
3,4,0.000083,0.000006,OMP,,
4,4,0.000105,0.000005,OMP,0.0001302,0.0000056
4,4,0.000102,0.000005,OMP,,
4,4,0.000163,0.000005,OMP,,
4,4,0.000098,0.000006,OMP,,
4,4,0.000183,0.000007,OMP,,
5,4,0.000102,0.000005,OMP,0.0001286,0.0000058
5,4,0.00017,0.000006,OMP,,
5,4,0.000168,0.000007,OMP,,
5,4,0.000101,0.000005,OMP,,
5,4,0.000102,0.000006,OMP,,
6,4,0.000176,0.000005,OMP,0.00015,0.0000086
6,4,0.000176,0.000007,OMP,,
6,4,0.000146,0.000007,OMP,,
6,4,0.000128,0.000018,OMP,,
6,4,0.000124,0.000006,OMP,,
7,4,0.000152,0.000005,OMP,0.0001462,0.0000062
7,4,0.000135,0.000007,OMP,,
7,4,0.000174,0.000005,OMP,,
7,4,0.000135,0.000006,OMP,,
7,4,0.000135,0.000008,OMP,,
8,4,0.000158,0.000007,OMP,0.0001556,0.000009
8,4,0.000153,0.000007,OMP,,
8,4,0.000153,0.000016,OMP,,
8,4,0.00016,0.000008,OMP,,
8,4,0.000154,0.000007,OMP,,
9,4,0.000184,0.000009,OMP,0.000256,0.00001
9,4,0.00043,0.000009,OMP,,
9,4,0.000228,0.000017,OMP,,
9,4,0.000225,0.000008,OMP,,
9,4,0.000213,0.000007,OMP,,
10,4,0.000331,0.000007,OMP,0.000269,0.0000094
10,4,0.000395,0.000009,OMP,,
