Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000037,0.000000,SEQ
1,4,0.000015,0.000002,OMP
1,4,0.000017,0.000002,OMP
1,4,0.000012,0.000002,OMP
1,4,0.000035,0.000006,OMP
1,4,0.000012,0.000001,OMP
2,4,0.000175,0.000010,OMP
2,4,0.000175,0.000010,OMP
2,4,0.000122,0.000007,OMP
2,4,0.000183,0.000011,OMP
2,4,0.000063,0.000007,OMP
3,4,0.000092,0.000007,OMP
3,4,0.000168,0.000010,OMP
3,4,0.000164,0.000009,OMP
3,4,0.000092,0.000008,OMP
3,4,0.000088,0.000009,OMP
4,4,0.000202,0.000009,OMP
4,4,0.000109,0.000010,OMP
4,4,0.000113,0.000009,OMP
4,4,0.000103,0.000011,OMP
4,4,0.000195,0.000011,OMP
5,4,0.000118,0.000009,OMP
5,4,0.000124,0.000011,OMP
5,4,0.000124,0.000009,OMP
5,4,0.000117,0.000009,OMP
5,4,0.000123,0.000010,OMP
6,4,0.000170,0.000010,OMP
6,4,0.000130,0.000010,OMP
6,4,0.000127,0.000016,OMP
6,4,0.000128,0.000028,OMP
6,4,0.000127,0.000008,OMP
7,4,0.000138,0.000010,OMP
7,4,0.000184,0.000008,OMP
7,4,0.000146,0.000012,OMP
7,4,0.000321,0.000014,OMP
7,4,0.000143,0.000010,OMP
8,4,0.000161,0.000011,OMP
8,4,0.000160,0.000010,OMP
8,4,0.000328,0.000014,OMP
8,4,0.000368,0.000011,OMP
8,4,0.000286,0.000012,OMP
9,4,0.000425,0.000012,OMP
9,4,0.000223,0.000015,OMP
9,4,0.000392,0.000010,OMP
9,4,0.000191,0.000016,OMP
9,4,0.000178,0.000010,OMP
10,4,0.000424,0.000016,OMP
10,4,0.000246,0.000010,OMP
10,4,0.000238,0.000011,OMP
10,4,0.000195,0.000012,OMP
10,4,0.000198,0.000012,OMP
11,4,0.000431,0.000064,OMP
11,4,0.000232,0.000014,OMP
11,4,0.000468,0.000015,OMP
11,4,0.000210,0.000015,OMP
11,4,0.000217,0.000013,OMP
12,4,0.000240,0.000012,OMP
12,4,0.000236,0.000011,OMP
12,4,0.000476,0.000014,OMP
12,4,0.000237,0.000013,OMP
12,4,0.000235,0.000013,OMP
13,4,0.000280,0.000013,OMP
13,4,0.000591,0.000013,OMP
13,4,0.000248,0.000015,OMP
13,4,0.000530,0.000012,OMP
13,4,0.000252,0.000012,OMP
14,4,0.000347,0.000013,OMP
14,4,0.000253,0.000012,OMP
14,4,0.000271,0.000017,OMP
14,4,0.000311,0.000014,OMP
14,4,0.000262,0.000014,OMP
15,4,0.000295,0.000014,OMP
15,4,0.000305,0.000016,OMP
15,4,0.000275,0.000014,OMP
15,4,0.000560,0.000027,OMP
15,4,0.000262,0.000015,OMP
16,4,0.000284,0.000012,OMP
16,4,0.000288,0.000014,OMP
16,4,0.000301,0.000015,OMP
16,4,0.000301,0.000015,OMP
16,4,0.000562,0.000015,OMP
17,4,0.000561,0.000016,OMP
17,4,0.000631,0.000017,OMP
17,4,0.000359,0.000015,OMP
17,4,0.000299,0.000016,OMP
17,4,0.000300,0.000015,OMP
18,4,0.000377,0.000017,OMP
18,4,0.000354,0.000015,OMP
18,4,0.000337,0.000023,OMP
18,4,0.000386,0.000015,OMP
18,4,0.000324,0.000015,OMP
19,4,0.000337,0.000016,OMP
19,4,0.000673,0.000015,OMP
19,4,0.000629,0.000016,OMP
19,4,0.000349,0.000017,OMP
19,4,0.000356,0.000016,OMP
20,4,0.000739,0.000017,OMP
20,4,0.000349,0.000015,OMP
20,4,0.000657,0.000016,OMP
20,4,0.000366,0.000017,OMP
20,4,0.000392,0.000025,OMP
21,4,0.000422,0.000017,OMP
21,4,0.000395,0.000017,OMP
21,4,0.000377,0.000015,OMP
21,4,0.000360,0.000016,OMP
21,4,0.000747,0.000017,OMP
22,4,0.000418,0.000018,OMP
22,4,0.000429,0.000015,OMP
22,4,0.000377,0.000017,OMP
22,4,0.000388,0.000019,OMP
22,4,0.000415,0.000017,OMP
23,4,0.000412,0.000017,OMP
23,4,0.000724,0.000020,OMP
23,4,0.000438,0.000019,OMP
23,4,0.000840,0.000022,OMP
23,4,0.000399,0.000020,OMP
24,4,0.000441,0.000019,OMP
24,4,0.000870,0.000035,OMP
24,4,0.000427,0.000017,OMP
24,4,0.000704,0.000017,OMP
24,4,0.000405,0.000021,OMP
25,4,0.000426,0.000019,OMP
25,4,0.000487,0.000022,OMP
25,4,0.000786,0.000020,OMP
25,4,0.000529,0.000015,OMP
25,4,0.000890,0.000016,OMP
26,4,0.000530,0.000016,OMP
26,4,0.000522,0.000019,OMP
26,4,0.000521,0.000018,OMP
26,4,0.000478,0.000017,OMP
26,4,0.000497,0.000022,OMP
27,4,0.000476,0.000020,OMP
27,4,0.000468,0.000017,OMP
27,4,0.000489,0.000020,OMP
27,4,0.000476,0.000018,OMP
27,4,0.000464,0.000018,OMP
28,4,0.000488,0.000023,OMP
28,4,0.000501,0.000025,OMP
28,4,0.000514,0.000026,OMP
28,4,0.000487,0.000022,OMP
28,4,0.000519,0.000019,OMP
29,4,0.000556,0.000023,OMP
29,4,0.000572,0.000024,OMP
29,4,0.001048,0.000025,OMP
29,4,0.000498,0.000022,OMP
29,4,0.000821,0.000022,OMP
30,4,0.000577,0.000022,OMP
30,4,0.000576,0.000022,OMP
30,4,0.000516,0.000021,OMP
30,4,0.000574,0.000024,OMP
30,4,0.000536,0.000025,OMP
31,4,0.000595,0.000023,OMP
31,4,0.000560,0.000033,OMP
31,4,0.000557,0.000028,OMP
31,4,0.000552,0.000027,OMP
31,4,0.000525,0.000019,OMP
32,4,0.000559,0.000019,OMP
32,4,0.001013,0.000028,OMP
32,4,0.000704,0.000033,OMP
32,4,0.000563,0.000026,OMP
32,4,0.000533,0.000033,OMP
33,4,0.001237,0.000022,OMP
33,4,0.000625,0.000025,OMP
33,4,0.000566,0.000025,OMP
33,4,0.000558,0.000025,OMP
33,4,0.000597,0.000023,OMP
34,4,0.000854,0.000037,OMP
34,4,0.000877,0.000022,OMP
34,4,0.000831,0.000022,OMP
34,4,0.001224,0.000024,OMP
34,4,0.001050,0.000020,OMP
35,4,0.001031,0.000024,OMP
35,4,0.000641,0.000025,OMP
35,4,0.001151,0.000021,OMP
35,4,0.001194,0.000024,OMP
35,4,0.001208,0.000020,OMP
36,4,0.000678,0.000026,OMP
36,4,0.001287,0.000021,OMP
36,4,0.000899,0.000023,OMP
36,4,0.000931,0.000029,OMP
36,4,0.000618,0.000022,OMP
37,4,0.000615,0.000025,OMP
37,4,0.001319,0.000022,OMP
37,4,0.000662,0.000021,OMP
37,4,0.001321,0.000020,OMP
37,4,0.000718,0.000026,OMP
38,4,0.000993,0.000024,OMP
38,4,0.000648,0.000030,OMP
38,4,0.000624,0.000030,OMP
38,4,0.000637,0.000030,OMP
38,4,0.000621,0.000023,OMP
39,4,0.000690,0.000026,OMP
39,4,0.001276,0.000025,OMP
39,4,0.000721,0.000027,OMP
39,4,0.001429,0.000022,OMP
39,4,0.001268,0.000028,OMP
40,4,0.000697,0.000026,OMP
40,4,0.000696,0.000037,OMP
40,4,0.001405,0.000034,OMP
40,4,0.000652,0.000023,OMP
40,4,0.001000,0.000025,OMP
41,4,0.000682,0.000041,OMP
41,4,0.000710,0.000032,OMP
41,4,0.000716,0.000025,OMP
41,4,0.000688,0.000028,OMP
41,4,0.000685,0.000022,OMP
42,4,0.000811,0.000025,OMP
42,4,0.000697,0.000032,OMP
42,4,0.000986,0.000026,OMP
42,4,0.000967,0.000036,OMP
42,4,0.000991,0.000025,OMP
43,4,0.001061,0.000025,OMP
43,4,0.001000,0.000027,OMP
43,4,0.000723,0.000038,OMP
43,4,0.001296,0.000025,OMP
43,4,0.000708,0.000031,OMP
44,4,0.001051,0.000027,OMP
44,4,0.000760,0.000030,OMP
44,4,0.000740,0.000029,OMP
44,4,0.000953,0.000028,OMP
44,4,0.000817,0.000027,OMP
45,4,0.000772,0.000023,OMP
45,4,0.000875,0.000031,OMP
45,4,0.000745,0.000026,OMP
45,4,0.000819,0.000027,OMP
45,4,0.000755,0.000026,OMP
46,4,0.001097,0.000031,OMP
46,4,0.000829,0.000026,OMP
46,4,0.000801,0.000021,OMP
46,4,0.000777,0.000022,OMP
46,4,0.001184,0.000025,OMP
47,4,0.001163,0.000024,OMP
47,4,0.001423,0.000026,OMP
47,4,0.000838,0.000027,OMP
47,4,0.000795,0.000025,OMP
47,4,0.000873,0.000039,OMP
48,4,0.001052,0.000037,OMP
48,4,0.000805,0.000031,OMP
48,4,0.000846,0.000028,OMP
48,4,0.000799,0.000028,OMP
48,4,0.000841,0.000038,OMP
49,4,0.001004,0.000029,OMP
49,4,0.000863,0.000032,OMP
49,4,0.000835,0.000030,OMP
49,4,0.001104,0.000037,OMP
49,4,0.001241,0.000034,OMP
50,4,0.000944,0.000025,OMP
50,4,0.000870,0.000030,OMP
50,4,0.000837,0.000033,OMP
50,4,0.000887,0.000026,OMP
50,4,0.000816,0.000032,OMP
