Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000000,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000029,0.000003,OMP
1,4,0.000030,0.000003,OMP
1,4,0.000010,0.000001,OMP
1,4,0.000028,0.000003,OMP
1,4,0.000010,0.000001,OMP
2,4,0.000111,0.000004,OMP
2,4,0.000110,0.000004,OMP
2,4,0.000110,0.000005,OMP
2,4,0.000109,0.000004,OMP
2,4,0.000057,0.000004,OMP
3,4,0.000156,0.000007,OMP
3,4,0.000155,0.000006,OMP
3,4,0.000162,0.000006,OMP
3,4,0.000152,0.000006,OMP
3,4,0.000079,0.000005,OMP
4,4,0.000104,0.000005,OMP
4,4,0.000096,0.000005,OMP
4,4,0.000098,0.000005,OMP
4,4,0.000098,0.000005,OMP
4,4,0.000106,0.000005,OMP
5,4,0.000182,0.000005,OMP
5,4,0.000214,0.000007,OMP
5,4,0.000212,0.000007,OMP
5,4,0.000101,0.000004,OMP
5,4,0.000106,0.000005,OMP
6,4,0.000178,0.000007,OMP
6,4,0.000173,0.000006,OMP
6,4,0.000172,0.000005,OMP
6,4,0.000245,0.000007,OMP
6,4,0.000245,0.000008,OMP
7,4,0.000136,0.000006,OMP
7,4,0.000144,0.000006,OMP
7,4,0.000131,0.000006,OMP
7,4,0.000141,0.000005,OMP
7,4,0.000137,0.000007,OMP
8,4,0.000370,0.000007,OMP
8,4,0.000154,0.000007,OMP
8,4,0.000354,0.000007,OMP
8,4,0.000159,0.000008,OMP
8,4,0.000161,0.000007,OMP
9,4,0.000408,0.000007,OMP
9,4,0.000208,0.000006,OMP
9,4,0.000222,0.000007,OMP
9,4,0.000236,0.000007,OMP
9,4,0.000198,0.000007,OMP
10,4,0.000248,0.000009,OMP
10,4,0.000181,0.000007,OMP
10,4,0.000423,0.000009,OMP
10,4,0.000447,0.000007,OMP
10,4,0.000199,0.000007,OMP
