Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,2e-07,2e-07
1,4,OMP,2.14e-05,2.2e-06
2,4,OMP,9.94e-05,4.2e-06
3,4,OMP,0.0001408,6e-06
4,4,OMP,0.00010039999999999999,5e-06
5,4,OMP,0.000163,5.6e-06
6,4,OMP,0.0002026,6.6e-06
7,4,OMP,0.0001378,6e-06
8,4,OMP,0.00023959999999999997,7.2000000000000005e-06
9,4,OMP,0.0002544,6.8e-06
10,4,OMP,0.0002996,7.800000000000002e-06
11,4,OMP,0.00027400000000000005,7.3999999999999995e-06
12,4,OMP,0.0002258,7.400000000000001e-06
13,4,OMP,0.00045679999999999994,7.8e-06
14,4,OMP,0.0003154,8.999999999999999e-06
15,4,OMP,0.00028020000000000003,8.8e-06
16,4,OMP,0.0002866,1.28e-05
17,4,OMP,0.00046180000000000006,9.400000000000001e-06
18,4,OMP,0.000491,1.1e-05
19,4,OMP,0.0003256,1.1200000000000001e-05
20,4,OMP,0.0004149999999999999,1.0199999999999999e-05
21,4,OMP,0.00046960000000000003,1.1400000000000001e-05
22,4,OMP,0.0005804,1.1400000000000001e-05
23,4,OMP,0.00039420000000000004,1.4000000000000001e-05
24,4,OMP,0.0005537999999999999,1.12e-05
25,4,OMP,0.0005001999999999999,1.38e-05
26,4,OMP,0.0006393999999999999,1.24e-05
27,4,OMP,0.000516,1.4400000000000001e-05
28,4,OMP,0.0005858,1.54e-05
29,4,OMP,0.0005482,1.3600000000000002e-05
30,4,OMP,0.0006590000000000001,1.3999999999999998e-05
31,4,OMP,0.0005968,1.34e-05
32,4,OMP,0.0008666,1.34e-05
33,4,OMP,0.0006618,1.3999999999999998e-05
34,4,OMP,0.0007138,1.4800000000000002e-05
35,4,OMP,0.0008636,1.76e-05
36,4,OMP,0.0008174,2.26e-05
37,4,OMP,0.0006872,1.58e-05
38,4,OMP,0.0007032,1.7e-05
39,4,OMP,0.0008766,1.56e-05
40,4,OMP,0.00091,1.6e-05
41,4,OMP,0.0010022,1.62e-05
42,4,OMP,0.0009141999999999999,2.0199999999999996e-05
43,4,OMP,0.0008472,1.98e-05
44,4,OMP,0.0007482,1.64e-05
45,4,OMP,0.0008262000000000002,2.12e-05
46,4,OMP,0.0007953999999999999,1.9e-05
47,4,OMP,0.0009460000000000001,1.92e-05
48,4,OMP,0.000998,1.76e-05
49,4,OMP,0.0010206,1.76e-05
50,4,OMP,0.0009336,1.7399999999999996e-05
51,4,OMP,0.0009914,1.98e-05
52,4,OMP,0.0010906,1.78e-05
53,4,OMP,0.0010938,2.2e-05
54,4,OMP,0.0011242000000000001,1.8200000000000002e-05
55,4,OMP,0.0011116,2e-05
56,4,OMP,0.0010447999999999998,2.1799999999999998e-05
57,4,OMP,0.0010232,2.0799999999999997e-05
58,4,OMP,0.0011858,2.3400000000000003e-05
59,4,OMP,0.0012024,1.98e-05
60,4,OMP,0.0014212,2.34e-05
61,4,OMP,0.001421,2.2e-05
62,4,OMP,0.0012996000000000001,2.1799999999999998e-05
63,4,OMP,0.0012236,2.52e-05
64,4,OMP,0.0010961999999999999,2.12e-05
65,4,OMP,0.0013234,2.4599999999999995e-05
66,4,OMP,0.0015396,2.42e-05
67,4,OMP,0.0014356000000000002,2.12e-05
68,4,OMP,0.0014179999999999998,2.32e-05
69,4,OMP,0.001157,2.7e-05
70,4,OMP,0.0014502,2.44e-05
71,4,OMP,0.001186,2.54e-05
72,4,OMP,0.0014016,2.3800000000000003e-05
73,4,OMP,0.0016464,2.52e-05
74,4,OMP,0.0013224,3.3e-05
75,4,OMP,0.0014242,3.18e-05
76,4,OMP,0.0014566,2.5e-05
77,4,OMP,0.001532,2.6000000000000002e-05
78,4,OMP,0.0016972,2.5e-05
79,4,OMP,0.0016936,2.48e-05
80,4,OMP,0.0016181999999999998,2.7799999999999998e-05
81,4,OMP,0.0018068000000000001,2.7800000000000005e-05
82,4,OMP,0.0016242,3.08e-05
83,4,OMP,0.001578,2.6599999999999996e-05
84,4,OMP,0.0016296000000000001,2.9199999999999998e-05
85,4,OMP,0.0021282,2.7400000000000005e-05
86,4,OMP,0.0029881999999999995,2.9e-05
87,4,OMP,0.0016812,2.82e-05
88,4,OMP,0.002306,2.6200000000000003e-05
89,4,OMP,0.0033523999999999997,2.98e-05
90,4,OMP,0.004481399999999999,2.98e-05
91,4,OMP,0.0036027999999999998,2.7600000000000003e-05
92,4,OMP,0.0049956,0.0001936
93,4,OMP,0.007113400000000001,0.0037933999999999997
94,4,OMP,0.0070891999999999995,0.0019459999999999998
95,4,OMP,0.0084294,0.0038163999999999997
96,4,OMP,0.009911600000000001,0.005723799999999999
1,8,SEQ,1.6e-06,1e-06
1,8,OMP,1.7999999999999997e-05,1.8000000000000001e-06
2,8,OMP,9.5e-05,4.6e-06
3,8,OMP,0.00010059999999999999,5.6e-06
4,8,OMP,0.0001358,7.6e-06
5,8,OMP,0.0001318,7.000000000000001e-06
6,8,OMP,0.0001734,6.6e-06
7,8,OMP,0.0001766,1.04e-05
8,8,OMP,0.00019240000000000001,1.1e-05
9,8,OMP,0.00022719999999999997,1.26e-05
10,8,OMP,0.00021780000000000004,1.34e-05
11,8,OMP,0.00022299999999999997,8.4e-06
12,8,OMP,0.00034060000000000004,1.02e-05
13,8,OMP,0.0002518,8.8e-06
14,8,OMP,0.00039579999999999997,9.800000000000001e-06
15,8,OMP,0.0003974,9.6e-06
16,8,OMP,0.0002896,9.999999999999999e-06
17,8,OMP,0.00048320000000000004,9.400000000000001e-06
18,8,OMP,0.00045700000000000005,1.06e-05
19,8,OMP,0.0004286,1e-05
20,8,OMP,0.0004622,1.28e-05
21,8,OMP,0.00046259999999999997,1.2000000000000002e-05
22,8,OMP,0.0005894,1.1e-05
23,8,OMP,0.00044400000000000006,1.2200000000000002e-05
24,8,OMP,0.0004834,1.3000000000000001e-05
25,8,OMP,0.0004925999999999999,1.24e-05
26,8,OMP,0.0005712,1.2399999999999998e-05
27,8,OMP,0.0007376,1.3999999999999998e-05
28,8,OMP,0.0004904,1.56e-05
29,8,OMP,0.0006722,1.24e-05
30,8,OMP,0.0008610000000000001,1.3000000000000001e-05
31,8,OMP,0.0010448,1.7e-05
32,8,OMP,0.000825,1.68e-05
33,8,OMP,0.0006752,1.4400000000000001e-05
34,8,OMP,0.0007774,1.4000000000000001e-05
35,8,OMP,0.0006643999999999999,1.68e-05
36,8,OMP,0.0007394,1.58e-05
37,8,OMP,0.0007082,1.56e-05
38,8,OMP,0.0008290000000000001,1.54e-05
39,8,OMP,0.0006653999999999999,1.5799999999999998e-05
40,8,OMP,0.0008134,1.7e-05
41,8,OMP,0.0007386000000000001,1.8599999999999998e-05
42,8,OMP,0.0008132,1.7800000000000002e-05
43,8,OMP,0.0008451999999999999,2.52e-05
44,8,OMP,0.0009528,1.6e-05
45,8,OMP,0.0009084,1.76e-05
46,8,OMP,0.000788,1.94e-05
47,8,OMP,0.0009572000000000001,1.94e-05
48,8,OMP,0.0009122,1.84e-05
49,8,OMP,0.0009648,2.12e-05
50,8,OMP,0.0008515999999999999,1.9e-05
51,8,OMP,0.0012584,1.8800000000000003e-05
52,8,OMP,0.001013,1.94e-05
53,8,OMP,0.0010944000000000001,1.94e-05
54,8,OMP,0.0009648,2.06e-05
55,8,OMP,0.0012414,1.98e-05
56,8,OMP,0.0010898000000000001,2.06e-05
57,8,OMP,0.0010308000000000001,2.12e-05
58,8,OMP,0.001028,2.3e-05
59,8,OMP,0.0013076000000000001,1.98e-05
60,8,OMP,0.0011443999999999998,1.98e-05
61,8,OMP,0.0011746,2.24e-05
62,8,OMP,0.0012734000000000003,2.0999999999999995e-05
63,8,OMP,0.0011799999999999998,2.2000000000000003e-05
64,8,OMP,0.0012962,2.68e-05
65,8,OMP,0.0014182,2.2999999999999997e-05
66,8,OMP,0.0012602000000000002,3.100000000000001e-05
67,8,OMP,0.0013943999999999998,2.3800000000000003e-05
68,8,OMP,0.0012338,2.5600000000000006e-05
69,8,OMP,0.0014888,2.7e-05
70,8,OMP,0.0014454,2.48e-05
71,8,OMP,0.0015056,2.72e-05
72,8,OMP,0.0012660000000000002,2.5e-05
73,8,OMP,0.0015316,2.64e-05
74,8,OMP,0.00128,2.64e-05
75,8,OMP,0.001319,2.76e-05
76,8,OMP,0.0014606,2.9999999999999997e-05
77,8,OMP,0.0015436,2.54e-05
78,8,OMP,0.0014173999999999999,2.52e-05
79,8,OMP,0.0014928,3.28e-05
80,8,OMP,0.0016822,2.98e-05
81,8,OMP,0.0015600000000000002,3.1599999999999996e-05
82,8,OMP,0.0017388,2.8400000000000003e-05
83,8,OMP,0.0014758000000000002,3.3e-05
84,8,OMP,0.0014702,3.0200000000000002e-05
85,8,OMP,0.0022728,2.8000000000000003e-05
86,8,OMP,0.002252,3.04e-05
87,8,OMP,0.004001599999999999,3.8e-05
88,8,OMP,0.0018133999999999997,3.0199999999999995e-05
89,8,OMP,0.0037398,2.74e-05
90,8,OMP,0.0025182,2.94e-05
91,8,OMP,0.007897999999999999,0.0028729999999999997
92,8,OMP,0.0060316,3.76e-05
93,8,OMP,0.0075666,0.0037973999999999994
94,8,OMP,0.0068812,0.0019230000000000004
95,8,OMP,0.008437799999999999,0.004752800000000001
96,8,OMP,0.0094134,0.0056635999999999995
1,16,SEQ,2e-06,1.2e-06
1,16,OMP,2.6e-05,3.4e-06
2,16,OMP,0.00013819999999999997,8.4e-06
3,16,OMP,9.52e-05,1.24e-05
4,16,OMP,0.00015539999999999998,1.4599999999999999e-05
5,16,OMP,0.00014859999999999998,1.3000000000000001e-05
6,16,OMP,0.0001816,1.3000000000000001e-05
7,16,OMP,0.000231,1.34e-05
8,16,OMP,0.0003006,1.82e-05
9,16,OMP,0.0003606,1.8599999999999998e-05
10,16,OMP,0.0003964,1.54e-05
11,16,OMP,0.0003514,1.22e-05
12,16,OMP,0.000327,1.36e-05
13,16,OMP,0.00043440000000000004,1.2800000000000003e-05
14,16,OMP,0.000334,1.36e-05
15,16,OMP,0.000415,1.34e-05
16,16,OMP,0.00030920000000000003,1.4400000000000001e-05
17,16,OMP,0.00042580000000000005,1.34e-05
18,16,OMP,0.0004004,1.3999999999999998e-05
19,16,OMP,0.00045339999999999996,1.34e-05
20,16,OMP,0.0004718,1.52e-05
21,16,OMP,0.0006173999999999999,1.4999999999999999e-05
22,16,OMP,0.0005036,1.8599999999999998e-05
23,16,OMP,0.0005993999999999999,1.52e-05
24,16,OMP,0.0004428,1.4799999999999999e-05
25,16,OMP,0.0006389999999999999,1.64e-05
26,16,OMP,0.0006466,1.7e-05
27,16,OMP,0.0009180000000000001,1.5399999999999998e-05
28,16,OMP,0.0005654,2.2e-05
29,16,OMP,0.0008106000000000001,1.6199999999999997e-05
30,16,OMP,0.0007846000000000001,1.8599999999999998e-05
31,16,OMP,0.0009136,1.5799999999999998e-05
32,16,OMP,0.0007294000000000001,1.6199999999999997e-05
33,16,OMP,0.0008428,1.7400000000000003e-05
34,16,OMP,0.0008222,1.5799999999999998e-05
35,16,OMP,0.0009035999999999998,1.64e-05
36,16,OMP,0.0008570000000000001,1.66e-05
37,16,OMP,0.0008026,1.8200000000000002e-05
38,16,OMP,0.0008376,1.7999999999999997e-05
39,16,OMP,0.0006786,1.8e-05
40,16,OMP,0.0007638,1.98e-05
41,16,OMP,0.0008324000000000002,1.84e-05
42,16,OMP,0.000898,1.8400000000000003e-05
43,16,OMP,0.0008504000000000001,2.0600000000000003e-05
44,16,OMP,0.0010685999999999998,1.86e-05
45,16,OMP,0.0009197999999999999,1.98e-05
46,16,OMP,0.0010532,1.92e-05
47,16,OMP,0.0011694,1.92e-05
48,16,OMP,0.0013188,2.02e-05
49,16,OMP,0.0008625999999999998,2.1000000000000002e-05
50,16,OMP,0.0011636,2.38e-05
51,16,OMP,0.000992,2e-05
52,16,OMP,0.0009586000000000001,2.06e-05
53,16,OMP,0.0010974000000000001,2.1199999999999997e-05
54,16,OMP,0.0012586,2.24e-05
55,16,OMP,0.0012191999999999997,2.2399999999999996e-05
56,16,OMP,0.0010456,2.6600000000000003e-05
57,16,OMP,0.0013128,2.1799999999999998e-05
58,16,OMP,0.0011941999999999999,2.3999999999999997e-05
59,16,OMP,0.0010821999999999997,2.42e-05
60,16,OMP,0.0010798000000000001,2.68e-05
61,16,OMP,0.001251,2.42e-05
62,16,OMP,0.0012714,2.64e-05
63,16,OMP,0.0012234,2.52e-05
64,16,OMP,0.0012381999999999998,2.32e-05
65,16,OMP,0.0011594,2.42e-05
66,16,OMP,0.0011883999999999998,2.8400000000000003e-05
67,16,OMP,0.0011824000000000001,2.46e-05
68,16,OMP,0.0012686000000000002,2.3999999999999997e-05
69,16,OMP,0.0012258,2.5800000000000004e-05
70,16,OMP,0.0012008000000000001,2.52e-05
71,16,OMP,0.0015186,2.5600000000000006e-05
72,16,OMP,0.0014394,2.6399999999999998e-05
73,16,OMP,0.0013302,2.5800000000000004e-05
74,16,OMP,0.0014272,2.8199999999999998e-05
75,16,OMP,0.0013348,2.6600000000000003e-05
76,16,OMP,0.0014212,2.6600000000000003e-05
77,16,OMP,0.0013574000000000001,2.7400000000000005e-05
78,16,OMP,0.0014096,3.2200000000000003e-05
79,16,OMP,0.0016226,2.7800000000000005e-05
80,16,OMP,0.0014744,4.1599999999999995e-05
81,16,OMP,0.0016928000000000002,3.44e-05
82,16,OMP,0.0015792,2.9599999999999998e-05
83,16,OMP,0.0016728,2.94e-05
84,16,OMP,0.0017232,3.12e-05
85,16,OMP,0.0026416,3.0000000000000004e-05
86,16,OMP,0.0018436000000000001,2.9199999999999998e-05
87,16,OMP,0.001761,3.12e-05
88,16,OMP,0.0031188,3.0000000000000004e-05
89,16,OMP,0.003342,2.9999999999999997e-05
90,16,OMP,0.0065842,0.0015352
91,16,OMP,0.0029767999999999995,3.14e-05
