Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000039,0.000009,OMP
1,4,0.000020,0.000003,OMP
1,4,0.000035,0.000008,OMP
1,4,0.000013,0.000003,OMP
1,4,0.000035,0.000008,OMP
2,4,0.000115,0.000008,OMP
2,4,0.000174,0.000017,OMP
2,4,0.000124,0.000014,OMP
2,4,0.000062,0.000009,OMP
2,4,0.000063,0.000007,OMP
3,4,0.000165,0.000011,OMP
3,4,0.000171,0.000014,OMP
3,4,0.000090,0.000010,OMP
3,4,0.000101,0.000008,OMP
3,4,0.000108,0.000009,OMP
4,4,0.000111,0.000011,OMP
4,4,0.000108,0.000010,OMP
4,4,0.000115,0.000011,OMP
4,4,0.000212,0.000013,OMP
4,4,0.000103,0.000009,OMP
5,4,0.000106,0.000011,OMP
5,4,0.000166,0.000029,OMP
5,4,0.000274,0.000015,OMP
5,4,0.000118,0.000013,OMP
5,4,0.000139,0.000010,OMP
6,4,0.000180,0.000010,OMP
6,4,0.000185,0.000010,OMP
6,4,0.000142,0.000010,OMP
6,4,0.000280,0.000016,OMP
6,4,0.000127,0.000014,OMP
7,4,0.000145,0.000012,OMP
7,4,0.000155,0.000013,OMP
7,4,0.000192,0.000020,OMP
7,4,0.000137,0.000011,OMP
7,4,0.000140,0.000010,OMP
8,4,0.000169,0.000012,OMP
8,4,0.000184,0.000011,OMP
8,4,0.000171,0.000010,OMP
8,4,0.000183,0.000013,OMP
8,4,0.000161,0.000010,OMP
9,4,0.000419,0.000018,OMP
9,4,0.000177,0.000011,OMP
9,4,0.000207,0.000023,OMP
9,4,0.000235,0.000016,OMP
9,4,0.000180,0.000012,OMP
10,4,0.000257,0.000015,OMP
10,4,0.000192,0.000013,OMP
10,4,0.000266,0.000012,OMP
10,4,0.000207,0.000020,OMP
10,4,0.000231,0.000021,OMP
11,4,0.000209,0.000010,OMP
11,4,0.000232,0.000013,OMP
11,4,0.000206,0.000018,OMP
11,4,0.000192,0.000010,OMP
11,4,0.000197,0.000012,OMP
12,4,0.000510,0.000010,OMP
12,4,0.000452,0.000013,OMP
