Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
1,4,SEQ,2e-07,0.0,,,,
1,4,OMP,2.84e-05,6.199999999999998e-06,0.007042253521126761,0.0,0.7042253521126761,0.0
2,4,OMP,0.0001076,1.1e-05,0.0018587360594795538,0.0,0.09293680297397769,0.0
3,4,OMP,0.000127,1.04e-05,0.0015748031496062992,0.0,0.05249343832020997,0.0
4,4,OMP,0.0001298,1.0800000000000003e-05,0.0015408320493066254,0.0,0.03852080123266564,0.0
5,4,OMP,0.00016060000000000005,1.56e-05,0.0012453300124532997,0.0,0.024906600249065994,0.0
6,4,OMP,0.0001828,1.2000000000000004e-05,0.0010940919037199124,0.0,0.01823486506199854,0.0
7,4,OMP,0.0001538,1.32e-05,0.0013003901170351106,0.0,0.01857700167193015,0.0
8,4,OMP,0.00017360000000000002,1.12e-05,0.0011520737327188938,0.0,0.014400921658986172,0.0
9,4,OMP,0.00024359999999999999,1.6e-05,0.0008210180623973727,0.0,0.009122422915526363,0.0
10,4,OMP,0.0002306,1.6199999999999994e-05,0.0008673026886383347,0.0,0.008673026886383347,0.0
11,4,OMP,0.0002072,1.2600000000000005e-05,0.0009652509652509653,0.0,0.008775008775008775,0.0
12,4,OMP,0.0003792,1.56e-05,0.0005274261603375527,0.0,0.004395218002812939,0.0
13,4,OMP,0.00030900000000000003,1.42e-05,0.0006472491909385112,0.0,0.004978839930296241,0.0
14,4,OMP,0.000331,1.7800000000000002e-05,0.0006042296072507552,0.0,0.004315925766076823,0.0
15,4,OMP,0.0003838,1.66e-05,0.0005211047420531526,0.0,0.0034740316136876847,0.0
16,4,OMP,0.00035380000000000003,2.08e-05,0.0005652911249293386,0.0,0.0035330695308083662,0.0
17,4,OMP,0.000401,1.84e-05,0.0004987531172069825,0.0,0.0029338418659234267,0.0
18,4,OMP,0.0003658,1.82e-05,0.0005467468562055768,0.0,0.0030374825344754264,0.0
19,4,OMP,0.0004988000000000001,2.8199999999999998e-05,0.00040096230954290285,0.0,0.0021103279449626467,0.0
20,4,OMP,0.0005015999999999999,2.12e-05,0.00039872408293460925,0.0,0.001993620414673046,0.0
21,4,OMP,0.000491,2.52e-05,0.00040733197556008143,0.0,0.0019396760740956257,0.0
22,4,OMP,0.0004164,2e-05,0.0004803073967339097,0.0,0.0021832154396995893,0.0
23,4,OMP,0.0005059999999999999,1.76e-05,0.0003952569169960475,0.0,0.0017185083347654238,0.0
24,4,OMP,0.000637,2.02e-05,0.0003139717425431711,0.0,0.0013082155939298796,0.0
25,4,OMP,0.0005769999999999999,2.36e-05,0.0003466204506065858,0.0,0.0013864818024263432,0.0
26,4,OMP,0.0008062000000000001,2.46e-05,0.0002480774001488464,0.0,0.0009541438467263322,0.0
27,4,OMP,0.0007414,2.5e-05,0.0002697599136768276,0.0,0.0009991107913956579,0.0
28,4,OMP,0.0007304,2.48e-05,0.0002738225629791895,0.0,0.0009779377249256767,0.0
29,4,OMP,0.0006874,2.8400000000000006e-05,0.00029095141111434386,0.0,0.001003280727980496,0.0
30,4,OMP,0.0006016,2.62e-05,0.0003324468085106383,0.0,0.0011081560283687942,0.0
31,4,OMP,0.0007065999999999999,2.94e-05,0.00028304557033682426,0.0,0.0009130502268929815,0.0
32,4,OMP,0.0006468,2.94e-05,0.0003092145949288806,0.0,0.0009662956091527519,0.0
33,4,OMP,0.000648,2.88e-05,0.00030864197530864197,0.0,0.0009352787130564908,0.0
34,4,OMP,0.0006387999999999999,2.96e-05,0.0003130870381966187,0.0,0.000920844229990055,0.0
35,4,OMP,0.0008676000000000001,3.1e-05,0.00023052097740894418,0.0,0.0006586313640255548,0.0
36,4,OMP,0.0006691999999999999,2.88e-05,0.0002988643156007173,0.0,0.000830178654446437,0.0
37,4,OMP,0.0009596,3.46e-05,0.00020842017507294704,0.0,0.0005632977704674245,0.0
38,4,OMP,0.0009022,2.72e-05,0.00022168033695411216,0.0,0.0005833693077739793,0.0
39,4,OMP,0.0006999999999999999,2.8999999999999997e-05,0.00028571428571428574,0.0,0.0007326007326007326,0.0
40,4,OMP,0.000763,3.2000000000000005e-05,0.0002621231979030144,0.0,0.000655307994757536,0.0
41,4,OMP,0.0007174,3.579999999999999e-05,0.00027878449958182325,0.0,0.0006799621941020079,0.0
42,4,OMP,0.0007728,3.9e-05,0.00025879917184265007,0.0,0.000616188504387262,0.0
43,4,OMP,0.0007592,3.980000000000001e-05,0.00026343519494204424,0.0,0.0006126399882373122,0.0
44,4,OMP,0.0007676,3.760000000000001e-05,0.0002605523710265763,0.0,0.0005921644796058552,0.0
45,4,OMP,0.0008275999999999997,3.3799999999999995e-05,0.00024166263895601745,0.0,0.0005370280865689276,0.0
46,4,OMP,0.0007912,2.8999999999999997e-05,0.0002527805864509605,0.0,0.0005495230140238272,0.0
47,4,OMP,0.0008832000000000001,3.6200000000000006e-05,0.0002264492753623188,0.0,0.0004818069688559974,0.0
48,4,OMP,0.0009692,4.96e-05,0.00020635575732562937,0.0,0.00042990782776172786,0.0
49,4,OMP,0.0010206,3.7e-05,0.0001959631589261219,0.0,0.00039992481413494264,0.0
