Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,IMP
1,4,0.000001,0.000001,IMP
1,4,0.000000,0.000001,IMP
1,4,0.000001,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000017,0.000007,OMP
1,4,0.000018,0.000003,OMP
1,4,0.000014,0.000003,OMP
1,4,0.000037,0.000008,OMP
1,4,0.000014,0.000002,OMP
2,4,0.000159,0.000009,OMP
2,4,0.000117,0.000010,OMP
2,4,0.000174,0.000014,OMP
2,4,0.000175,0.000012,OMP
2,4,0.000060,0.000010,OMP
3,4,0.000087,0.000011,OMP
3,4,0.000092,0.000009,OMP
3,4,0.000088,0.000012,OMP
3,4,0.000089,0.000008,OMP
3,4,0.000094,0.000012,OMP
4,4,0.000107,0.000011,OMP
4,4,0.000109,0.000010,OMP
4,4,0.000102,0.000009,OMP
4,4,0.000223,0.000014,OMP
4,4,0.000103,0.000012,OMP
5,4,0.000119,0.000012,OMP
5,4,0.000108,0.000022,OMP
5,4,0.000238,0.000014,OMP
5,4,0.000119,0.000032,OMP
5,4,0.000175,0.000012,OMP
6,4,0.000137,0.000009,OMP
6,4,0.000159,0.000017,OMP
6,4,0.000345,0.000009,OMP
6,4,0.000129,0.000012,OMP
6,4,0.000148,0.000019,OMP
7,4,0.000154,0.000014,OMP
7,4,0.000143,0.000012,OMP
7,4,0.000148,0.000013,OMP
7,4,0.000150,0.000011,OMP
7,4,0.000147,0.000011,OMP
8,4,0.000174,0.000010,OMP
8,4,0.000165,0.000012,OMP
8,4,0.000161,0.000013,OMP
8,4,0.000163,0.000009,OMP
8,4,0.000175,0.000010,OMP
9,4,0.000457,0.000014,OMP
9,4,0.000238,0.000012,OMP
9,4,0.000177,0.000014,OMP
9,4,0.000211,0.000010,OMP
9,4,0.000172,0.000011,OMP
10,4,0.000197,0.000010,OMP
10,4,0.000252,0.000011,OMP
10,4,0.000253,0.000010,OMP
10,4,0.000205,0.000012,OMP
10,4,0.000197,0.000017,OMP
11,4,0.000216,0.000013,OMP
11,4,0.000215,0.000029,OMP
11,4,0.000214,0.000013,OMP
11,4,0.000230,0.000011,OMP
11,4,0.000244,0.000012,OMP
12,4,0.000238,0.000010,OMP
12,4,0.000232,0.000014,OMP
12,4,0.000222,0.000010,OMP
12,4,0.000480,0.000014,OMP
12,4,0.000228,0.000010,OMP
13,4,0.000285,0.000012,OMP
13,4,0.000292,0.000013,OMP
13,4,0.000240,0.000013,OMP
13,4,0.000249,0.000026,OMP
13,4,0.000278,0.000017,OMP
14,4,0.000316,0.000017,OMP
14,4,0.000262,0.000014,OMP
14,4,0.000630,0.000484,OMP
14,4,0.000568,0.000017,OMP
14,4,0.000279,0.000016,OMP
15,4,0.000596,0.000028,OMP
15,4,0.000309,0.000017,OMP
15,4,0.000592,0.000032,OMP
15,4,0.000357,0.000020,OMP
15,4,0.000590,0.000015,OMP
16,4,0.000635,0.000024,OMP
16,4,0.000292,0.000015,OMP
16,4,0.000292,0.000013,OMP
16,4,0.000664,0.000021,OMP
16,4,0.000298,0.000016,OMP
17,4,0.000358,0.000019,OMP
17,4,0.000686,0.000015,OMP
17,4,0.000338,0.000015,OMP
17,4,0.000627,0.000033,OMP
17,4,0.000314,0.000012,OMP
18,4,0.000739,0.000017,OMP
18,4,0.000394,0.000034,OMP
18,4,0.000354,0.000015,OMP
18,4,0.000369,0.000021,OMP
18,4,0.000345,0.000013,OMP
19,4,0.000347,0.000019,OMP
19,4,0.000644,0.000025,OMP
19,4,0.000358,0.000020,OMP
19,4,0.000348,0.000014,OMP
19,4,0.000351,0.000016,OMP
20,4,0.000367,0.000015,OMP
20,4,0.000474,0.000014,OMP
20,4,0.000381,0.000017,OMP
20,4,0.000370,0.000015,OMP
20,4,0.000353,0.000014,OMP
21,4,0.000448,0.000014,OMP
21,4,0.000434,0.000019,OMP
21,4,0.000386,0.000014,OMP
21,4,0.000393,0.000012,OMP
21,4,0.000665,0.000016,OMP
22,4,0.000446,0.000024,OMP
22,4,0.000467,0.000027,OMP
22,4,0.000406,0.000021,OMP
22,4,0.000682,0.000011,OMP
22,4,0.000786,0.000017,OMP
23,4,0.000450,0.000020,OMP
23,4,0.000404,0.000016,OMP
23,4,0.000437,0.000021,OMP
23,4,0.000867,0.000018,OMP
23,4,0.000407,0.000014,OMP
24,4,0.000432,0.000015,OMP
24,4,0.000477,0.000017,OMP
24,4,0.000904,0.000019,OMP
24,4,0.000442,0.000016,OMP
24,4,0.000900,0.000019,OMP
25,4,0.000480,0.000017,OMP
25,4,0.000472,0.000016,OMP
25,4,0.000451,0.000017,OMP
25,4,0.000469,0.000020,OMP
25,4,0.000450,0.000022,OMP
26,4,0.001032,0.000020,OMP
26,4,0.001038,0.000024,OMP
26,4,0.000531,0.000016,OMP
26,4,0.000463,0.000018,OMP
26,4,0.001060,0.000020,OMP
27,4,0.000508,0.000019,OMP
27,4,0.000485,0.000032,OMP
27,4,0.000485,0.000023,OMP
27,4,0.000532,0.000019,OMP
27,4,0.000477,0.000018,OMP
28,4,0.000524,0.000022,OMP
28,4,0.000784,0.000035,OMP
28,4,0.001084,0.000018,OMP
28,4,0.000530,0.000015,OMP
28,4,0.000513,0.000019,OMP
29,4,0.000510,0.000018,OMP
29,4,0.000560,0.000019,OMP
29,4,0.000511,0.000022,OMP
29,4,0.000551,0.000022,OMP
29,4,0.001065,0.000023,OMP
30,4,0.000590,0.000020,OMP
