Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
1,4,0,0,SEQ,0.0000004,0.0000002
1,4,0.000001,0,SEQ,,
1,4,0,0.000001,SEQ,,
1,4,0,0,SEQ,,
1,4,0.000001,0,SEQ,,
1,4,0.000001,0.000001,IMP,0.0000006,0.0000004
1,4,0.000001,0,IMP,,
1,4,0.000001,0,IMP,,
1,4,0,0.000001,IMP,,
1,4,0,0,IMP,,
1,4,0.000012,0.000001,OMP,0.0000238,0.0000014
1,4,0.000033,0.000001,OMP,,
1,4,0.000016,0.000001,OMP,,
1,4,0.00003,0.000002,OMP,,
1,4,0.000028,0.000002,OMP,,
2,4,0.000059,0.000005,OMP,0.000113,0.0000056
2,4,0.00017,0.000007,OMP,,
2,4,0.000059,0.000003,OMP,,
2,4,0.000162,0.000007,OMP,,
2,4,0.000115,0.000006,OMP,,
3,4,0.000083,0.000004,OMP,0.000221,0.0000048
3,4,0.000084,0.000005,OMP,,
3,4,0.00016,0.000005,OMP,,
3,4,0.000115,0.000005,OMP,,
3,4,0.000663,0.000005,OMP,,
4,4,0.000098,0.000004,OMP,0.0001192,0.0000088
4,4,0.000096,0.000005,OMP,,
4,4,0.0001,0.000005,OMP,,
4,4,0.000099,0.000023,OMP,,
4,4,0.000203,0.000007,OMP,,
5,4,0.000105,0.000005,OMP,0.000117,0.000007
5,4,0.00014,0.000014,OMP,,
5,4,0.000106,0.000005,OMP,,
5,4,0.00011,0.000006,OMP,,
5,4,0.000124,0.000005,OMP,,
6,4,0.00018,0.000007,OMP,0.0002448,0.0000066
6,4,0.000282,0.000007,OMP,,
6,4,0.000313,0.000007,OMP,,
6,4,0.000144,0.000005,OMP,,
6,4,0.000305,0.000007,OMP,,
7,4,0.000142,0.000014,OMP,0.0001814,0.0000082
7,4,0.000322,0.000007,OMP,,
7,4,0.000131,0.000006,OMP,,
7,4,0.000179,0.000007,OMP,,
7,4,0.000133,0.000007,OMP,,
8,4,0.000208,0.000008,OMP,0.0002368,0.0000106
8,4,0.000328,0.000008,OMP,,
8,4,0.000335,0.00002,OMP,,
8,4,0.000157,0.000009,OMP,,
8,4,0.000156,0.000008,OMP,,
9,4,0.000247,0.000015,OMP,0.0002072,0.0000108
9,4,0.000241,0.000007,OMP,,
9,4,0.000165,0.000019,OMP,,
9,4,0.000175,0.000007,OMP,,
9,4,0.000208,0.000006,OMP,,
10,4,0.000234,0.000008,OMP,0.0002092,0.0000078
10,4,0.000196,0.000007,OMP,,
10,4,0.000236,0.000009,OMP,,
10,4,0.000193,0.000008,OMP,,
10,4,0.000187,0.000007,OMP,,
11,4,0.0002,0.000008,OMP,0.000301,0.0000082
11,4,0.000479,0.000009,OMP,,
11,4,0.000419,0.000009,OMP,,
11,4,0.000197,0.000008,OMP,,
11,4,0.00021,0.000007,OMP,,
12,4,0.000226,0.000008,OMP,0.0003982,0.000009
12,4,0.000357,0.00001,OMP,,
12,4,0.000471,0.000009,OMP,,
12,4,0.000465,0.000008,OMP,,
12,4,0.000472,0.00001,OMP,,
13,4,0.000506,0.000047,OMP,0.0004362,0.0000174
13,4,0.00056,0.000011,OMP,,
13,4,0.000518,0.00001,OMP,,
13,4,0.000344,0.00001,OMP,,
13,4,0.000253,0.000009,OMP,,
14,4,0.000609,0.00001,OMP,0.0004374,0.0000104
14,4,0.000259,0.000011,OMP,,
14,4,0.000537,0.000011,OMP,,
14,4,0.000247,0.000011,OMP,,
14,4,0.000535,0.000009,OMP,,
15,4,0.000319,0.00001,OMP,0.0002794,0.0000102
15,4,0.000273,0.000011,OMP,,
15,4,0.000269,0.000011,OMP,,
15,4,0.000266,0.000009,OMP,,
15,4,0.00027,0.00001,OMP,,
