Threads,Dim,CheckSym,MatTranspose,Version,Sym,Trans
1,4,0.000001,0,SEQ,0.0000004,0.0000002
1,4,0.000001,0.000001,SEQ,,
1,4,0,0,SEQ,,
1,4,0,0,SEQ,,
1,4,0,0,SEQ,,
1,4,0,0,IMP,0.0000004,0.0000004
1,4,0.000001,0.000001,IMP,,
1,4,0,0.000001,IMP,,
1,4,0.000001,0,IMP,,
1,4,0,0,IMP,,
1,4,0.000017,0.000007,OMP,0.00002,0.0000046
1,4,0.000018,0.000003,OMP,,
1,4,0.000014,0.000003,OMP,,
1,4,0.000037,0.000008,OMP,,
1,4,0.000014,0.000002,OMP,,
2,4,0.000159,0.000009,OMP,0.000137,0.000011
2,4,0.000117,0.00001,OMP,,
2,4,0.000174,0.000014,OMP,,
2,4,0.000175,0.000012,OMP,,
2,4,0.00006,0.00001,OMP,,
3,4,0.000087,0.000011,OMP,0.00009,0.0000104
3,4,0.000092,0.000009,OMP,,
3,4,0.000088,0.000012,OMP,,
3,4,0.000089,0.000008,OMP,,
3,4,0.000094,0.000012,OMP,,
4,4,0.000107,0.000011,OMP,0.0001288,0.0000112
4,4,0.000109,0.00001,OMP,,
4,4,0.000102,0.000009,OMP,,
4,4,0.000223,0.000014,OMP,,
4,4,0.000103,0.000012,OMP,,
5,4,0.000119,0.000012,OMP,0.0001518,0.0000184
5,4,0.000108,0.000022,OMP,,
5,4,0.000238,0.000014,OMP,,
5,4,0.000119,0.000032,OMP,,
5,4,0.000175,0.000012,OMP,,
6,4,0.000137,0.000009,OMP,0.0001836,0.0000132
6,4,0.000159,0.000017,OMP,,
6,4,0.000345,0.000009,OMP,,
6,4,0.000129,0.000012,OMP,,
6,4,0.000148,0.000019,OMP,,
7,4,0.000154,0.000014,OMP,0.0001484,0.0000122
7,4,0.000143,0.000012,OMP,,
7,4,0.000148,0.000013,OMP,,
7,4,0.00015,0.000011,OMP,,
7,4,0.000147,0.000011,OMP,,
8,4,0.000174,0.00001,OMP,0.0001676,0.0000108
8,4,0.000165,0.000012,OMP,,
8,4,0.000161,0.000013,OMP,,
8,4,0.000163,0.000009,OMP,,
8,4,0.000175,0.00001,OMP,,
9,4,0.000457,0.000014,OMP,0.000251,0.0000122
9,4,0.000238,0.000012,OMP,,
9,4,0.000177,0.000014,OMP,,
9,4,0.000211,0.00001,OMP,,
9,4,0.000172,0.000011,OMP,,
10,4,0.000197,0.00001,OMP,0.0002208,0.000012
10,4,0.000252,0.000011,OMP,,
10,4,0.000253,0.00001,OMP,,
10,4,0.000205,0.000012,OMP,,
10,4,0.000197,0.000017,OMP,,
11,4,0.000216,0.000013,OMP,0.0002238,0.0000156
11,4,0.000215,0.000029,OMP,,
11,4,0.000214,0.000013,OMP,,
11,4,0.00023,0.000011,OMP,,
11,4,0.000244,0.000012,OMP,,
12,4,0.000238,0.00001,OMP,0.00028,0.0000116
12,4,0.000232,0.000014,OMP,,
12,4,0.000222,0.00001,OMP,,
12,4,0.00048,0.000014,OMP,,
12,4,0.000228,0.00001,OMP,,
13,4,0.000285,0.000012,OMP,0.0002688,0.0000162
13,4,0.000292,0.000013,OMP,,
13,4,0.00024,0.000013,OMP,,
13,4,0.000249,0.000026,OMP,,
13,4,0.000278,0.000017,OMP,,
14,4,0.000316,0.000017,OMP,0.000411,0.0001096
14,4,0.000262,0.000014,OMP,,
14,4,0.00063,0.000484,OMP,,
14,4,0.000568,0.000017,OMP,,
14,4,0.000279,0.000016,OMP,,
15,4,0.000596,0.000028,OMP,0.0004888,0.0000224
15,4,0.000309,0.000017,OMP,,
15,4,0.000592,0.000032,OMP,,
15,4,0.000357,0.00002,OMP,,
15,4,0.00059,0.000015,OMP,,
16,4,0.000635,0.000024,OMP,0.0004362,0.0000178
16,4,0.000292,0.000015,OMP,,
16,4,0.000292,0.000013,OMP,,
16,4,0.000664,0.000021,OMP,,
16,4,0.000298,0.000016,OMP,,
17,4,0.000358,0.000019,OMP,0.0004646,0.0000188
17,4,0.000686,0.000015,OMP,,
17,4,0.000338,0.000015,OMP,,
17,4,0.000627,0.000033,OMP,,
17,4,0.000314,0.000012,OMP,,
18,4,0.000739,0.000017,OMP,0.0004402,0.00002
18,4,0.000394,0.000034,OMP,,
18,4,0.000354,0.000015,OMP,,
18,4,0.000369,0.000021,OMP,,
18,4,0.000345,0.000013,OMP,,
19,4,0.000347,0.000019,OMP,0.0004096,0.0000188
19,4,0.000644,0.000025,OMP,,
19,4,0.000358,0.00002,OMP,,
19,4,0.000348,0.000014,OMP,,
19,4,0.000351,0.000016,OMP,,
20,4,0.000367,0.000015,OMP,0.000389,0.000015
20,4,0.000474,0.000014,OMP,,
20,4,0.000381,0.000017,OMP,,
20,4,0.00037,0.000015,OMP,,
20,4,0.000353,0.000014,OMP,,
21,4,0.000448,0.000014,OMP,0.0004652,0.000015
21,4,0.000434,0.000019,OMP,,
21,4,0.000386,0.000014,OMP,,
21,4,0.000393,0.000012,OMP,,
21,4,0.000665,0.000016,OMP,,
22,4,0.000446,0.000024,OMP,0.0005574,0.00002
22,4,0.000467,0.000027,OMP,,
22,4,0.000406,0.000021,OMP,,
22,4,0.000682,0.000011,OMP,,
22,4,0.000786,0.000017,OMP,,
23,4,0.00045,0.00002,OMP,0.000513,0.0000178
23,4,0.000404,0.000016,OMP,,
23,4,0.000437,0.000021,OMP,,
23,4,0.000867,0.000018,OMP,,
23,4,0.000407,0.000014,OMP,,
24,4,0.000432,0.000015,OMP,0.000631,0.0000172
24,4,0.000477,0.000017,OMP,,
24,4,0.000904,0.000019,OMP,,
24,4,0.000442,0.000016,OMP,,
24,4,0.0009,0.000019,OMP,,
25,4,0.00048,0.000017,OMP,0.0004644,0.0000184
25,4,0.000472,0.000016,OMP,,
25,4,0.000451,0.000017,OMP,,
25,4,0.000469,0.00002,OMP,,
25,4,0.00045,0.000022,OMP,,
26,4,0.001032,0.00002,OMP,0.0008248,0.0000196
26,4,0.001038,0.000024,OMP,,
26,4,0.000531,0.000016,OMP,,
26,4,0.000463,0.000018,OMP,,
26,4,0.00106,0.00002,OMP,,
27,4,0.000508,0.000019,OMP,0.0004974,0.0000222
27,4,0.000485,0.000032,OMP,,
27,4,0.000485,0.000023,OMP,,
27,4,0.000532,0.000019,OMP,,
27,4,0.000477,0.000018,OMP,,
28,4,0.000524,0.000022,OMP,0.000687,0.0000218
28,4,0.000784,0.000035,OMP,,
28,4,0.001084,0.000018,OMP,,
28,4,0.00053,0.000015,OMP,,
28,4,0.000513,0.000019,OMP,,
29,4,0.00051,0.000018,OMP,0.0006394,0.0000208
29,4,0.00056,0.000019,OMP,,
29,4,0.000511,0.000022,OMP,,
29,4,0.000551,0.000022,OMP,,
29,4,0.001065,0.000023,OMP,,
30,4,0.00059,0.00002,OMP,0.000689,0.0000208
30,4,0.000509,0.000022,OMP,,
30,4,0.001138,0.000021,OMP,,
30,4,0.000568,0.000024,OMP,,
30,4,0.00064,0.000017,OMP,,
31,4,0.000975,0.000018,OMP,0.0007176,0.000021
31,4,0.000623,0.000022,OMP,,
31,4,0.000555,0.000021,OMP,,
31,4,0.00053,0.000027,OMP,,
31,4,0.000905,0.000017,OMP,,
32,4,0.00058,0.000024,OMP,0.0008182,0.000026
32,4,0.000563,0.000023,OMP,,
32,4,0.00057,0.000021,OMP,,
32,4,0.001193,0.000032,OMP,,
32,4,0.001185,0.00003,OMP,,
33,4,0.000984,0.000035,OMP,0.0006738,0.0000246
33,4,0.000616,0.000027,OMP,,
33,4,0.000578,0.000023,OMP,,
33,4,0.00061,0.00002,OMP,,
33,4,0.000581,0.000018,OMP,,
34,4,0.000667,0.000016,OMP,0.0006142,0.0000208
34,4,0.000642,0.000019,OMP,,
34,4,0.000597,0.000024,OMP,,
34,4,0.000583,0.000024,OMP,,
34,4,0.000582,0.000021,OMP,,
35,4,0.000927,0.000021,OMP,0.0006912,0.0000262
35,4,0.000632,0.000043,OMP,,
35,4,0.00065,0.000024,OMP,,
35,4,0.000639,0.000019,OMP,,
35,4,0.000608,0.000024,OMP,,
36,4,0.000649,0.000024,OMP,0.0007296,0.0000212
36,4,0.000661,0.000025,OMP,,
36,4,0.001061,0.00002,OMP,,
36,4,0.000647,0.000018,OMP,,
36,4,0.00063,0.000019,OMP,,
37,4,0.000699,0.000019,OMP,0.000715,0.0000236
37,4,0.000659,0.000025,OMP,,
37,4,0.000926,0.00002,OMP,,
37,4,0.000645,0.000031,OMP,,
37,4,0.000646,0.000023,OMP,,
38,4,0.000715,0.000019,OMP,0.0007966,0.0000238
38,4,0.00069,0.000024,OMP,,
38,4,0.00064,0.000022,OMP,,
38,4,0.000653,0.000029,OMP,,
38,4,0.001285,0.000025,OMP,,
39,4,0.000823,0.000024,OMP,0.0008966,0.0000264
39,4,0.00129,0.000019,OMP,,
39,4,0.001015,0.000034,OMP,,
39,4,0.000687,0.000026,OMP,,
39,4,0.000668,0.000029,OMP,,
40,4,0.001302,0.000022,OMP,0.0008886,0.000034
40,4,0.00105,0.000054,OMP,,
40,4,0.000674,0.000032,OMP,,
40,4,0.000726,0.000022,OMP,,
40,4,0.000691,0.00004,OMP,,
41,4,0.000749,0.000018,OMP,0.000895,0.0000352
41,4,0.00128,0.00003,OMP,,
41,4,0.000763,0.000039,OMP,,
41,4,0.000702,0.000067,OMP,,
41,4,0.000981,0.000022,OMP,,
42,4,0.000802,0.000017,OMP,0.0008102,0.0000254
42,4,0.000788,0.000024,OMP,,
42,4,0.000686,0.000034,OMP,,
42,4,0.001032,0.00003,OMP,,
42,4,0.000743,0.000022,OMP,,
43,4,0.00075,0.000028,OMP,0.0010042,0.000028
43,4,0.00071,0.000025,OMP,,
43,4,0.001379,0.00002,OMP,,
43,4,0.001364,0.000034,OMP,,
43,4,0.000818,0.000033,OMP,,
44,4,0.000846,0.000025,OMP,0.0008244,0.0000242
44,4,0.000853,0.000023,OMP,,
44,4,0.000821,0.000021,OMP,,
44,4,0.000805,0.000027,OMP,,
44,4,0.000797,0.000025,OMP,,
45,4,0.000832,0.000033,OMP,0.0008944,0.000029
45,4,0.001167,0.000023,OMP,,
45,4,0.000837,0.000027,OMP,,
45,4,0.000807,0.000037,OMP,,
45,4,0.000829,0.000025,OMP,,
46,4,0.000824,0.00003,OMP,0.0010166,0.0000278
46,4,0.001157,0.000024,OMP,,
46,4,0.001544,0.000023,OMP,,
46,4,0.000772,0.000035,OMP,,
46,4,0.000786,0.000027,OMP,,
47,4,0.000892,0.000043,OMP,0.0009964,0.0000304
47,4,0.000783,0.000028,OMP,,
47,4,0.001172,0.00003,OMP,,
47,4,0.001008,0.000029,OMP,,
47,4,0.001127,0.000022,OMP,,
48,4,0.000836,0.00003,OMP,0.0008836,0.0000314
48,4,0.000932,0.000021,OMP,,
48,4,0.000998,0.000024,OMP,,
48,4,0.00083,0.000044,OMP,,
48,4,0.000822,0.000038,OMP,,
49,4,0.001229,0.000031,OMP,0.0011392,0.0000332
49,4,0.001605,0.000044,OMP,,
49,4,0.000875,0.000033,OMP,,
49,4,0.001125,0.000033,OMP,,
49,4,0.000862,0.000025,OMP,,
50,4,0.001529,0.000031,OMP,0.0010286,0.0000388
50,4,0.000938,0.000024,OMP,,
50,4,0.000825,0.000081,OMP,,
50,4,0.000879,0.000032,OMP,,
50,4,0.000972,0.000026,OMP,,
51,4,0.001243,0.000066,OMP,0.0009558,0.000039
51,4,0.000884,0.000038,OMP,,
51,4,0.000876,0.000028,OMP,,
51,4,0.000885,0.000037,OMP,,
51,4,0.000891,0.000026,OMP,,
52,4,0.000945,0.000025,OMP,0.0009228,0.0000324
52,4,0.000934,0.000031,OMP,,
52,4,0.000885,0.000022,OMP,,
52,4,0.000879,0.000049,OMP,,
52,4,0.000971,0.000035,OMP,,
53,4,0.000901,0.000043,OMP,0.0009842,0.000033
53,4,0.00097,0.000046,OMP,,
53,4,0.001001,0.000026,OMP,,
53,4,0.000905,0.000021,OMP,,
53,4,0.001144,0.000029,OMP,,
54,4,0.000908,0.000026,OMP,0.0009408,0.0000334
54,4,0.000964,0.000026,OMP,,
54,4,0.000971,0.000036,OMP,,
54,4,0.000972,0.000051,OMP,,
54,4,0.000889,0.000028,OMP,,
55,4,0.001056,0.000023,OMP,0.0010564,0.0000392
55,4,0.000933,0.000041,OMP,,
55,4,0.000974,0.000039,OMP,,
55,4,0.001018,0.000053,OMP,,
55,4,0.001301,0.00004,OMP,,
56,4,0.00094,0.000025,OMP,0.0009562,0.0000358
56,4,0.000963,0.000032,OMP,,
56,4,0.00096,0.000029,OMP,,
56,4,0.000925,0.000052,OMP,,
56,4,0.000993,0.000041,OMP,,
57,4,0.0015,0.000023,OMP,0.0011442,0.0000338
57,4,0.000992,0.000066,OMP,,
57,4,0.001297,0.000025,OMP,,
57,4,0.000977,0.000029,OMP,,
57,4,0.000955,0.000026,OMP,,
58,4,0.001551,0.000029,OMP,0.0014002,0.000033
58,4,0.001033,0.000041,OMP,,
58,4,0.001756,0.000032,OMP,,
58,4,0.001623,0.000024,OMP,,
58,4,0.001038,0.000039,OMP,,
59,4,0.00105,0.000043,OMP,0.0010536,0.0000356
59,4,0.001098,0.000028,OMP,,
59,4,0.001098,0.000038,OMP,,
59,4,0.000973,0.000034,OMP,,
59,4,0.001049,0.000035,OMP,,
60,4,0.001123,0.000029,OMP,0.0010852,0.000037
60,4,0.001122,0.000041,OMP,,
60,4,0.001054,0.000034,OMP,,
60,4,0.001085,0.000053,OMP,,
60,4,0.001042,0.000028,OMP,,
61,4,0.001014,0.00003,OMP,0.0011006,0.0000392
61,4,0.001214,0.000034,OMP,,
61,4,0.001103,0.000066,OMP,,
61,4,0.001059,0.000034,OMP,,
61,4,0.001113,0.000032,OMP,,
62,4,0.001044,0.000037,OMP,0.001086,0.0000322
62,4,0.001092,0.000027,OMP,,
62,4,0.001057,0.000036,OMP,,
62,4,0.001166,0.000024,OMP,,
62,4,0.001071,0.000037,OMP,,
63,4,0.001507,0.000051,OMP,0.001291,0.000037
63,4,0.001221,0.000032,OMP,,
63,4,0.001153,0.000028,OMP,,
63,4,0.001508,0.000024,OMP,,
63,4,0.001066,0.00005,OMP,,
64,4,0.001154,0.00005,OMP,0.0011268,0.0000386
64,4,0.001114,0.000027,OMP,,
64,4,0.001117,0.000045,OMP,,
64,4,0.001139,0.000038,OMP,,
64,4,0.00111,0.000033,OMP,,
65,4,0.001145,0.000028,OMP,0.0012502,0.0000318
65,4,0.001105,0.000031,OMP,,
65,4,0.001263,0.000028,OMP,,
65,4,0.00118,0.000038,OMP,,
65,4,0.001558,0.000034,OMP,,
66,4,0.001198,0.000027,OMP,0.0013306,0.0000572
66,4,0.001107,0.000036,OMP,,
66,4,0.001897,0.00004,OMP,,
66,4,0.001249,0.000151,OMP,,
66,4,0.001202,0.000032,OMP,,
67,4,0.001211,0.000027,OMP,0.0012014,0.0000358
67,4,0.001115,0.000026,OMP,,
67,4,0.00123,0.000034,OMP,,
67,4,0.001261,0.000055,OMP,,
67,4,0.00119,0.000037,OMP,,
68,4,0.001196,0.000026,OMP,0.0013084,0.0000414
68,4,0.001571,0.000029,OMP,,
68,4,0.001205,0.000083,OMP,,
68,4,0.001208,0.000038,OMP,,
68,4,0.001362,0.000031,OMP,,
69,4,0.001259,0.000047,OMP,0.001229,0.0000474
69,4,0.001139,0.000085,OMP,,
69,4,0.001253,0.000033,OMP,,
69,4,0.00131,0.000032,OMP,,
69,4,0.001184,0.00004,OMP,,
70,4,0.0014,0.000095,OMP,0.0013342,0.0000436
70,4,0.001232,0.000032,OMP,,
70,4,0.001183,0.000029,OMP,,
70,4,0.001233,0.000029,OMP,,
70,4,0.001623,0.000033,OMP,,
71,4,0.001444,0.000041,OMP,0.0013162,0.0000402
71,4,0.001317,0.000052,OMP,,
71,4,0.00124,0.000036,OMP,,
71,4,0.001299,0.000033,OMP,,
71,4,0.001281,0.000039,OMP,,
72,4,0.001372,0.000035,OMP,0.0013918,0.000037
72,4,0.001237,0.000039,OMP,,
72,4,0.001739,0.000031,OMP,,
72,4,0.001282,0.000048,OMP,,
72,4,0.001329,0.000032,OMP,,
73,4,0.001375,0.000036,OMP,0.0013482,0.000044
73,4,0.001451,0.00006,OMP,,
73,4,0.001333,0.000043,OMP,,
73,4,0.001305,0.000031,OMP,,
73,4,0.001277,0.00005,OMP,,
