Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans,Weak Scaling
1,4,SEQ,4.00E-07,2.00E-07,0,0,0,0,
1,4,OMP,2.00E-05,4.60E-06,2.00E-02,4.35E-02,2.00E+00,4.35E+00,
2,4,OMP,0.000137,1.10E-05,2.92E-03,1.82E-02,1.46E-01,9.09E-01,
3,4,OMP,9.00E-05,1.04E-05,4.44E-03,1.92E-02,1.48E-01,6.41E-01,
4,4,OMP,0.0001288,1.12E-05,3.11E-03,1.79E-02,7.76E-02,4.46E-01,
5,4,OMP,0.0001518,1.84E-05,2.64E-03,1.09E-02,5.27E-02,2.17E-01,
6,4,OMP,0.0001836,1.32E-05,2.18E-03,1.52E-02,3.63E-02,2.53E-01,
7,4,OMP,0.0001484,1.22E-05,2.70E-03,1.64E-02,3.85E-02,2.34E-01,
8,4,OMP,0.0001676,1.08E-05,2.39E-03,1.85E-02,2.98E-02,2.31E-01,
9,4,OMP,0.000251,1.22E-05,1.59E-03,1.64E-02,1.77E-02,1.82E-01,
10,4,OMP,0.0002208,1.20E-05,1.81E-03,1.67E-02,1.81E-02,1.67E-01,
11,4,OMP,0.0002238,1.56E-05,1.79E-03,1.28E-02,1.62E-02,1.17E-01,
12,4,OMP,0.00028,1.16E-05,1.43E-03,1.72E-02,1.19E-02,1.44E-01,
13,4,OMP,0.0002688,1.62E-05,1.49E-03,1.23E-02,1.14E-02,9.50E-02,
14,4,OMP,0.000411,0.0001096,9.73E-04,1.82E-03,6.95E-03,1.30E-02,
15,4,OMP,0.0004888,2.24E-05,8.18E-04,8.93E-03,5.46E-03,5.95E-02,
16,4,OMP,0.0004362,1.78E-05,9.17E-04,1.12E-02,5.73E-03,7.02E-02,
17,4,OMP,0.0004646,1.88E-05,8.61E-04,1.06E-02,5.06E-03,6.26E-02,
18,4,OMP,0.0004402,2.00E-05,9.09E-04,1.00E-02,5.05E-03,5.56E-02,
19,4,OMP,0.0004096,1.88E-05,9.77E-04,1.06E-02,5.14E-03,5.60E-02,
20,4,OMP,0.000389,1.50E-05,1.03E-03,1.33E-02,5.14E-03,6.67E-02,
21,4,OMP,0.0004652,1.50E-05,8.60E-04,1.33E-02,4.09E-03,6.35E-02,
22,4,OMP,0.0005574,2.00E-05,7.18E-04,1.00E-02,3.26E-03,4.55E-02,
23,4,OMP,0.000513,1.78E-05,7.80E-04,1.12E-02,3.39E-03,4.89E-02,
24,4,OMP,0.000631,1.72E-05,6.34E-04,1.16E-02,2.64E-03,4.84E-02,
25,4,OMP,0.0004644,1.84E-05,8.61E-04,1.09E-02,3.45E-03,4.35E-02,
26,4,OMP,0.0008248,1.96E-05,4.85E-04,1.02E-02,1.87E-03,3.92E-02,
27,4,OMP,0.0004974,2.22E-05,8.04E-04,9.01E-03,2.98E-03,3.34E-02,
28,4,OMP,0.000687,2.18E-05,5.82E-04,9.17E-03,2.08E-03,3.28E-02,
29,4,OMP,0.0006394,2.08E-05,6.26E-04,9.62E-03,2.16E-03,3.32E-02,
30,4,OMP,0.000689,2.08E-05,5.81E-04,9.62E-03,1.94E-03,3.21E-02,
31,4,OMP,0.0007176,2.10E-05,5.57E-04,9.52E-03,1.80E-03,3.07E-02,
32,4,OMP,0.0008182,2.60E-05,4.89E-04,7.69E-03,1.53E-03,2.40E-02,
33,4,OMP,0.0006738,2.46E-05,5.94E-04,8.13E-03,1.80E-03,2.46E-02,
34,4,OMP,0.0006142,2.08E-05,6.51E-04,9.62E-03,1.92E-03,2.83E-02,
35,4,OMP,0.0006912,2.62E-05,5.79E-04,7.63E-03,1.65E-03,2.18E-02,
36,4,OMP,0.0007296,2.12E-05,5.48E-04,9.43E-03,1.52E-03,2.62E-02,
37,4,OMP,0.000715,2.36E-05,5.59E-04,8.47E-03,1.51E-03,2.29E-02,
38,4,OMP,0.0007966,2.38E-05,5.02E-04,8.40E-03,1.32E-03,2.21E-02,
39,4,OMP,0.0008966,2.64E-05,4.46E-04,7.58E-03,1.14E-03,1.94E-02,
40,4,OMP,0.0008886,3.40E-05,4.50E-04,5.88E-03,1.13E-03,1.47E-02,
41,4,OMP,0.000895,3.52E-05,4.47E-04,5.68E-03,1.09E-03,1.39E-02,
42,4,OMP,0.0008102,2.54E-05,4.94E-04,7.87E-03,1.18E-03,1.87E-02,
43,4,OMP,0.0010042,2.80E-05,3.98E-04,7.14E-03,9.26E-04,1.66E-02,
44,4,OMP,0.0008244,2.42E-05,4.85E-04,8.26E-03,1.10E-03,1.88E-02,
45,4,OMP,0.0008944,2.90E-05,4.47E-04,6.90E-03,9.94E-04,1.53E-02,
46,4,OMP,0.0010166,2.78E-05,3.93E-04,7.19E-03,8.55E-04,1.56E-02,
47,4,OMP,0.0009964,3.04E-05,4.01E-04,6.58E-03,8.54E-04,1.40E-02,
48,4,OMP,0.0008836,3.14E-05,4.53E-04,6.37E-03,9.43E-04,1.33E-02,
49,4,OMP,0.0011392,3.32E-05,3.51E-04,6.02E-03,7.17E-04,1.23E-02,
50,4,OMP,0.0010286,3.88E-05,3.89E-04,5.15E-03,7.78E-04,1.03E-02,
