Threads,Dim,Version,Sym,Trans
1,4,SEQ,4e-07,2e-07
1,4,OMP,2e-05,4.6e-06
2,4,OMP,0.000137,1.1e-05
3,4,OMP,9e-05,1.04e-05
4,4,OMP,0.0001288,1.12e-05
5,4,OMP,0.0001518,1.84e-05
6,4,OMP,0.0001836,1.32e-05
7,4,OMP,0.0001484,1.22e-05
8,4,OMP,0.0001676,1.08e-05
9,4,OMP,0.000251,1.22e-05
10,4,OMP,0.0002208,1.2e-05
11,4,OMP,0.0002238,1.56e-05
12,4,OMP,0.00028,1.16e-05
13,4,OMP,0.0002688,1.62e-05
14,4,OMP,0.000411,0.0001096
15,4,OMP,0.0004888,2.24e-05
16,4,OMP,0.0004362,1.78e-05
17,4,OMP,0.0004646,1.88e-05
18,4,OMP,0.0004402,2e-05
19,4,OMP,0.0004096,1.88e-05
20,4,OMP,0.000389,1.5e-05
21,4,OMP,0.0004652,1.5e-05
22,4,OMP,0.0005574,2e-05
23,4,OMP,0.000513,1.78e-05
24,4,OMP,0.000631,1.72e-05
25,4,OMP,0.0004644,1.84e-05
26,4,OMP,0.0008248,1.96e-05
27,4,OMP,0.0004974,2.22e-05
28,4,OMP,0.000687,2.18e-05
29,4,OMP,0.0006394,2.08e-05
30,4,OMP,0.000689,2.08e-05
31,4,OMP,0.0007176,2.1e-05
32,4,OMP,0.0008182,2.6e-05
33,4,OMP,0.0006738,2.46e-05
34,4,OMP,0.0006142,2.08e-05
35,4,OMP,0.0006912,2.62e-05
36,4,OMP,0.0007296,2.12e-05
37,4,OMP,0.000715,2.36e-05
38,4,OMP,0.0007966,2.38e-05
39,4,OMP,0.0008966,2.64e-05
40,4,OMP,0.0008886,3.4e-05
41,4,OMP,0.000895,3.52e-05
42,4,OMP,0.0008102,2.54e-05
43,4,OMP,0.0010042,2.8e-05
44,4,OMP,0.0008244,2.42e-05
45,4,OMP,0.0008944,2.9e-05
46,4,OMP,0.0010166,2.78e-05
47,4,OMP,0.0009964,3.04e-05
48,4,OMP,0.0008836,3.14e-05
49,4,OMP,0.0011392,3.32e-05
50,4,OMP,0.0010286,3.88e-05
51,4,OMP,0.0009558,3.9e-05
52,4,OMP,0.0009228,3.24e-05
53,4,OMP,0.0009842,3.3e-05
54,4,OMP,0.0009408,3.34e-05
55,4,OMP,0.0010564,3.92e-05
56,4,OMP,0.0009562,3.58e-05
57,4,OMP,0.0011442,3.38e-05
58,4,OMP,0.0014002,3.3e-05
59,4,OMP,0.0010536,3.56e-05
60,4,OMP,0.0010852,3.7e-05
61,4,OMP,0.0011006,3.92e-05
62,4,OMP,0.001086,3.22e-05
63,4,OMP,0.001291,3.7e-05
64,4,OMP,0.0011268,3.86e-05
65,4,OMP,0.0012502,3.18e-05
66,4,OMP,0.0013306,5.72e-05
67,4,OMP,0.0012014,3.58e-05
68,4,OMP,0.0013084,4.14e-05
69,4,OMP,0.001229,4.74e-05
70,4,OMP,0.0013342,4.36e-05
71,4,OMP,0.0013162,4.02e-05
72,4,OMP,0.0013918,3.7e-05
73,4,OMP,0.0013482,4.4e-05
74,4,OMP,0.0013584,5.14e-05
75,4,OMP,0.0013774,4.4e-05
76,4,OMP,0.001388,4.56e-05
77,4,OMP,0.0013686,4.14e-05
78,4,OMP,0.0016766,4.08e-05
79,4,OMP,0.0014592,5.48e-05
80,4,OMP,0.0014938,4.48e-05
81,4,OMP,0.001503,5.32e-05
82,4,OMP,0.0016558,5.02e-05
83,4,OMP,0.001785,6.14e-05
84,4,OMP,0.001812,7.4e-05
85,4,OMP,0.0018676,6.4e-05
86,4,OMP,0.0018314,5.52e-05
87,4,OMP,0.0016232,5.06e-05
88,4,OMP,0.0023658,5.4e-05
89,4,OMP,0.0025694,5.52e-05
90,4,OMP,0.0053556,0.001958
91,4,OMP,0.0059734,0.001965
92,4,OMP,0.0039894,5.54e-05
93,4,OMP,0.0072244,0.0038176
94,4,OMP,0.0088736,0.0019492
95,4,OMP,0.0087752,0.004805
96,4,OMP,0.009482,0.006993
1,8,SEQ,8e-07,2e-07
1,8,OMP,1.32e-05,2.6e-06
2,8,OMP,8.98e-05,8.8e-06
3,8,OMP,9.54e-05,9.4e-06
4,8,OMP,0.0001296,1.3e-05
5,8,OMP,0.0001594,1.08e-05
6,8,OMP,0.0002076,1.54e-05
7,8,OMP,0.0001918,1.14e-05
8,8,OMP,0.0001696,1.1e-05
9,8,OMP,0.0003116,1.54e-05
10,8,OMP,0.00031,1.4e-05
11,8,OMP,0.00025,1.46e-05
12,8,OMP,0.0002332,1.16e-05
13,8,OMP,0.000259,1.58e-05
14,8,OMP,0.0003322,1.26e-05
15,8,OMP,0.0002776,1.56e-05
16,8,OMP,0.0003752,1.84e-05
17,8,OMP,0.000398,1.84e-05
18,8,OMP,0.0003538,1.66e-05
19,8,OMP,0.0005198,2.1e-05
20,8,OMP,0.0003666,1.78e-05
21,8,OMP,0.0004686,1.58e-05
22,8,OMP,0.0004356,1.58e-05
23,8,OMP,0.000689,2.48e-05
24,8,OMP,0.0004268,2.72e-05
25,8,OMP,0.0005552,1.82e-05
26,8,OMP,0.0005438,2.3e-05
27,8,OMP,0.0006016,2.08e-05
28,8,OMP,0.0005652,2.06e-05
29,8,OMP,0.000723,2.66e-05
30,8,OMP,0.0006948,2.44e-05
31,8,OMP,0.0006672,1.94e-05
32,8,OMP,0.0005752,2.58e-05
33,8,OMP,0.0005878,2.36e-05
34,8,OMP,0.000722,2.94e-05
35,8,OMP,0.0006194,2.78e-05
36,8,OMP,0.0007604,3.3e-05
37,8,OMP,0.0007626,2.42e-05
38,8,OMP,0.000674,2.56e-05
39,8,OMP,0.0009478,2.7e-05
40,8,OMP,0.0008428,3.72e-05
41,8,OMP,0.0006918,3.3e-05
42,8,OMP,0.0008468,3.06e-05
43,8,OMP,0.0008826,2.82e-05
44,8,OMP,0.000895,2.78e-05
45,8,OMP,0.0009014,2.98e-05
46,8,OMP,0.000888,3.26e-05
47,8,OMP,0.000834,3.06e-05
48,8,OMP,0.0008166,2.76e-05
49,8,OMP,0.0008492,3.58e-05
50,8,OMP,0.000878,3.12e-05
51,8,OMP,0.001161,2.58e-05
52,8,OMP,0.001165,3.18e-05
53,8,OMP,0.0009346,3.68e-05
54,8,OMP,0.000924,3.42e-05
55,8,OMP,0.0009686,3.44e-05
56,8,OMP,0.0011348,3.56e-05
57,8,OMP,0.0009834,3.86e-05
58,8,OMP,0.00113,4.92e-05
59,8,OMP,0.0012728,3.9e-05
60,8,OMP,0.0011444,3.52e-05
61,8,OMP,0.001151,4.82e-05
62,8,OMP,0.001197,4.92e-05
63,8,OMP,0.0012274,5.66e-05
64,8,OMP,0.0012572,3.58e-05
65,8,OMP,0.0014346,3.5e-05
66,8,OMP,0.0013038,4.36e-05
67,8,OMP,0.0011888,3.48e-05
68,8,OMP,0.0012022,5.98e-05
69,8,OMP,0.0013432,3.82e-05
70,8,OMP,0.0013356,4.54e-05
71,8,OMP,0.001427,4.86e-05
72,8,OMP,0.0015402,3.78e-05
73,8,OMP,0.0015604,4.08e-05
74,8,OMP,0.0016016,4.38e-05
75,8,OMP,0.0013816,3.14e-05
76,8,OMP,0.0015632,4.32e-05
77,8,OMP,0.0014908,4.34e-05
78,8,OMP,0.0014804,5.9e-05
79,8,OMP,0.0014654,4.74e-05
80,8,OMP,0.00165,4.24e-05
81,8,OMP,0.0015052,4.34e-05
82,8,OMP,0.0016596,5.3e-05
83,8,OMP,0.0016644,4.78e-05
84,8,OMP,0.0016264,5.2e-05
85,8,OMP,0.001797,5.08e-05
86,8,OMP,0.002067,5.86e-05
87,8,OMP,0.0016908,4.1e-05
88,8,OMP,0.004087,0.0009624
89,8,OMP,0.0038706,0.0010014
90,8,OMP,0.0041832,0.0019352
91,8,OMP,0.0059956,5.48e-05
92,8,OMP,0.0077052,0.0014474
93,8,OMP,0.0086394,0.0038278
94,8,OMP,0.0098862,0.003865
95,8,OMP,0.0082608,0.0038416
96,8,OMP,0.0101126,0.0057446
1,16,SEQ,1.6e-06,1e-06
1,16,OMP,2.16e-05,4.2e-06
2,16,OMP,0.0001082,8e-06
3,16,OMP,9.04e-05,8e-06
4,16,OMP,0.0001418,1.24e-05
5,16,OMP,0.0001512,1.08e-05
6,16,OMP,0.0001644,1.02e-05
7,16,OMP,0.000214,1.18e-05
8,16,OMP,0.0002052,1.32e-05
9,16,OMP,0.000285,1.44e-05
10,16,OMP,0.0002696,1.64e-05
11,16,OMP,0.0002688,1.46e-05
12,16,OMP,0.0002396,1.44e-05
13,16,OMP,0.0002752,1.24e-05
14,16,OMP,0.0003294,1.48e-05
15,16,OMP,0.0004096,1.54e-05
16,16,OMP,0.0004676,1.46e-05
17,16,OMP,0.0003176,2.18e-05
18,16,OMP,0.000343,1.6e-05
19,16,OMP,0.0003918,2.2e-05
20,16,OMP,0.0005084,1.46e-05
21,16,OMP,0.0006486,1.86e-05
22,16,OMP,0.000611,1.76e-05
23,16,OMP,0.0004228,1.68e-05
24,16,OMP,0.0005246,1.76e-05
25,16,OMP,0.000541,2.08e-05
26,16,OMP,0.0006176,2.02e-05
27,16,OMP,0.0004946,2.4e-05
28,16,OMP,0.0005756,2.18e-05
29,16,OMP,0.0007236,2.26e-05
30,16,OMP,0.0007352,1.94e-05
31,16,OMP,0.0005602,2.3e-05
32,16,OMP,0.0008154,2.44e-05
33,16,OMP,0.0005918,2.12e-05
34,16,OMP,0.000738,2.86e-05
35,16,OMP,0.000861,2.7e-05
36,16,OMP,0.0008338,2.64e-05
37,16,OMP,0.0006956,2.92e-05
38,16,OMP,0.0007478,2.12e-05
39,16,OMP,0.000946,4.02e-05
40,16,OMP,0.0009736,2.6e-05
41,16,OMP,0.0006934,2.6e-05
42,16,OMP,0.0010126,2.2e-05
43,16,OMP,0.000916,2.84e-05
44,16,OMP,0.0009024,4.92e-05
45,16,OMP,0.0011032,2.1e-05
46,16,OMP,0.0010386,2.26e-05
47,16,OMP,0.0009306,3.86e-05
48,16,OMP,0.00096,2.5e-05
49,16,OMP,0.0010612,3.3e-05
50,16,OMP,0.0010404,3.28e-05
51,16,OMP,0.0009016,3.72e-05
52,16,OMP,0.0010344,3.32e-05
53,16,OMP,0.0009194,3.24e-05
54,16,OMP,0.0009552,2.64e-05
55,16,OMP,0.0011058,2.96e-05
56,16,OMP,0.0009856,3.1e-05
57,16,OMP,0.0009938,3e-05
58,16,OMP,0.0012146,2.88e-05
59,16,OMP,0.001195,3.9e-05
60,16,OMP,0.0012804,3.42e-05
61,16,OMP,0.0011596,3.68e-05
62,16,OMP,0.001174,2.92e-05
63,16,OMP,0.0011832,4.44e-05
64,16,OMP,0.0013304,3.22e-05
65,16,OMP,0.0011524,4.42e-05
66,16,OMP,0.0012026,5.78e-05
67,16,OMP,0.0013706,3.58e-05
68,16,OMP,0.0012442,3.74e-05
69,16,OMP,0.0013684,5.12e-05
70,16,OMP,0.0014628,4.62e-05
71,16,OMP,0.0012756,3.5e-05
72,16,OMP,0.0014078,7.28e-05
73,16,OMP,0.0013508,3.7e-05
74,16,OMP,0.0014106,4.38e-05
75,16,OMP,0.0015966,3.94e-05
76,16,OMP,0.001384,3.6e-05
77,16,OMP,0.0013876,4.14e-05
78,16,OMP,0.0014926,5.26e-05
79,16,OMP,0.0017002,5.22e-05
80,16,OMP,0.001407,4.82e-05
81,16,OMP,0.0014894,4.96e-05
82,16,OMP,0.0016214,7.18e-05
83,16,OMP,0.0017616,5.02e-05
84,16,OMP,0.0015596,4.3e-05
85,16,OMP,0.001634,6.04e-05
86,16,OMP,0.001732,4.78e-05
87,16,OMP,0.001961,5.16e-05
88,16,OMP,0.0017082,4.9e-05
89,16,OMP,0.0017002,5.3e-05
90,16,OMP,0.0017432,4.74e-05
91,16,OMP,0.0061674,0.0010168
92,16,OMP,0.0066476,5.46e-05
93,16,OMP,0.0063152,0.0019514
94,16,OMP,0.0111434,0.0057428
95,16,OMP,0.0093066,0.0038394
96,16,OMP,0.009162,0.006662
1,32,SEQ,6.4e-06,4.2e-06
1,32,OMP,2.4e-05,7e-06
2,32,OMP,9.64e-05,1.48e-05
3,32,OMP,9.74e-05,1.2e-05
4,32,OMP,0.0001544,1.7e-05
5,32,OMP,0.000152,1.36e-05
6,32,OMP,0.0001516,1.26e-05
7,32,OMP,0.000152,1.6e-05
8,32,OMP,0.0001656,1.24e-05
9,32,OMP,0.0002378,2.16e-05
10,32,OMP,0.000344,2.2e-05
11,32,OMP,0.0002308,1.4e-05
12,32,OMP,0.0004376,2.4e-05
13,32,OMP,0.0004436,1.94e-05
14,32,OMP,0.000414,1.78e-05
15,32,OMP,0.0005038,1.7e-05
16,32,OMP,0.000368,1.74e-05
17,32,OMP,0.0004894,2.2e-05
18,32,OMP,0.0005924,1.78e-05
19,32,OMP,0.0004584,1.96e-05
20,32,OMP,0.000612,2.12e-05
21,32,OMP,0.000525,1.52e-05
22,32,OMP,0.0005016,2.78e-05
23,32,OMP,0.0004112,2.14e-05
24,32,OMP,0.0004454,2.48e-05
25,32,OMP,0.0004366,2.1e-05
26,32,OMP,0.0005018,2.14e-05
27,32,OMP,0.0005984,2.06e-05
28,32,OMP,0.0006124,2.52e-05
29,32,OMP,0.0005824,2.32e-05
30,32,OMP,0.0005536,2.16e-05
31,32,OMP,0.000667,2.76e-05
32,32,OMP,0.0005552,2.94e-05
33,32,OMP,0.000576,2.16e-05
34,32,OMP,0.0006562,2.64e-05
35,32,OMP,0.0006862,3.24e-05
36,32,OMP,0.0006794,3.3e-05
37,32,OMP,0.0006298,2.8e-05
38,32,OMP,0.0006452,3.36e-05
39,32,OMP,0.0008438,2.58e-05
40,32,OMP,0.0009168,2.64e-05
41,32,OMP,0.0009458,3.74e-05
42,32,OMP,0.0008586,2.88e-05
43,32,OMP,0.0008916,3.42e-05
44,32,OMP,0.0009958,2.78e-05
45,32,OMP,0.000992,2.82e-05
46,32,OMP,0.0009446,5.2e-05
47,32,OMP,0.0009592,3.56e-05
48,32,OMP,0.0008658,3.04e-05
49,32,OMP,0.0010954,3.26e-05
50,32,OMP,0.0011138,5e-05
51,32,OMP,0.0009916,3.48e-05
52,32,OMP,0.0009122,3.28e-05
53,32,OMP,0.0011938,4.04e-05
54,32,OMP,0.001251,3.4e-05
55,32,OMP,0.0010214,3.92e-05
56,32,OMP,0.0010038,3.28e-05
57,32,OMP,0.0010294,5.02e-05
58,32,OMP,0.0010166,2.82e-05
59,32,OMP,0.0010718,3.04e-05
60,32,OMP,0.001327,4.78e-05
61,32,OMP,0.001077,4.34e-05
62,32,OMP,0.0011712,3.18e-05
63,32,OMP,0.0011088,4.2e-05
64,32,OMP,0.0011296,4.96e-05
65,32,OMP,0.001243,3.2e-05
66,32,OMP,0.0011738,4.4e-05
67,32,OMP,0.0012652,3.7e-05
68,32,OMP,0.0012128,4.52e-05
69,32,OMP,0.0012424,4e-05
70,32,OMP,0.0016738,5.48e-05
71,32,OMP,0.0014016,7.36e-05
72,32,OMP,0.001435,4.04e-05
73,32,OMP,0.0015518,4.18e-05
74,32,OMP,0.0014868,4.36e-05
75,32,OMP,0.0014074,6.56e-05
76,32,OMP,0.0016642,4.54e-05
77,32,OMP,0.0015012,4.82e-05
78,32,OMP,0.0017236,4.5e-05
79,32,OMP,0.0016962,4.44e-05
80,32,OMP,0.001483,4.84e-05
81,32,OMP,0.001535,5.54e-05
82,32,OMP,0.0015308,4.6e-05
83,32,OMP,0.0014914,4.42e-05
84,32,OMP,0.0014838,4.48e-05
85,32,OMP,0.003574,5.4e-05
86,32,OMP,0.0023204,5.38e-05
87,32,OMP,0.0021966,5.32e-05
88,32,OMP,0.0027308,6.36e-05
89,32,OMP,0.0024552,6.76e-05
90,32,OMP,0.0050634,5.92e-05
91,32,OMP,0.0061596,0.0010376
92,32,OMP,0.0074864,0.0019278
93,32,OMP,0.0047276,0.0019484
94,32,OMP,0.0074824,0.0019664
95,32,OMP,0.0098534,0.0075994
96,32,OMP,0.0091152,0.0075872
1,64,SEQ,1.28e-05,1.16e-05
1,64,OMP,4.16e-05,2.56e-05
2,64,OMP,0.0001002,2.04e-05
3,64,OMP,0.0001526,3.74e-05
4,64,OMP,0.0001158,2.2e-05
5,64,OMP,0.000136,2.16e-05
6,64,OMP,0.0002184,2.16e-05
7,64,OMP,0.0001908,2.82e-05
8,64,OMP,0.0001874,2.5e-05
9,64,OMP,0.0002992,3e-05
10,64,OMP,0.0003382,3.42e-05
11,64,OMP,0.0004056,4.38e-05
12,64,OMP,0.0003294,2.82e-05
13,64,OMP,0.0004156,3.42e-05
14,64,OMP,0.0003826,3.94e-05
15,64,OMP,0.0003086,2.9e-05
16,64,OMP,0.0003004,2.86e-05
17,64,OMP,0.0003432,2.94e-05
18,64,OMP,0.0005626,4.92e-05
19,64,OMP,0.00044,3.02e-05
20,64,OMP,0.000413,3.14e-05
21,64,OMP,0.0005008,3.58e-05
22,64,OMP,0.0004646,3.7e-05
23,64,OMP,0.0004346,3.46e-05
24,64,OMP,0.0005672,3.92e-05
25,64,OMP,0.0004628,3.3e-05
26,64,OMP,0.0007152,3.78e-05
27,64,OMP,0.0008368,5.54e-05
28,64,OMP,0.0005156,3.48e-05
29,64,OMP,0.0007278,4.24e-05
30,64,OMP,0.0005658,3.38e-05
31,64,OMP,0.0006228,3.64e-05
32,64,OMP,0.0007274,4.14e-05
33,64,OMP,0.0006242,3.86e-05
34,64,OMP,0.0008762,4e-05
35,64,OMP,0.0006892,3.92e-05
36,64,OMP,0.0007632,4.26e-05
37,64,OMP,0.0007858,3.94e-05
38,64,OMP,0.000706,3.92e-05
39,64,OMP,0.0008356,4.6e-05
40,64,OMP,0.0007196,4.06e-05
41,64,OMP,0.0007258,4.68e-05
42,64,OMP,0.0007966,4.06e-05
43,64,OMP,0.0007654,4.24e-05
44,64,OMP,0.0009348,4.4e-05
45,64,OMP,0.0007802,4.5e-05
46,64,OMP,0.0009566,4.72e-05
47,64,OMP,0.0009236,4.58e-05
48,64,OMP,0.0008574,4.46e-05
49,64,OMP,0.000931,4.4e-05
50,64,OMP,0.0008662,4.28e-05
51,64,OMP,0.0010018,4.8e-05
52,64,OMP,0.0010308,4.52e-05
53,64,OMP,0.0012024,5.8e-05
54,64,OMP,0.0010602,5.44e-05
55,64,OMP,0.0011974,5.1e-05
56,64,OMP,0.001245,4.94e-05
57,64,OMP,0.001346,4.7e-05
58,64,OMP,0.0012426,5.28e-05
59,64,OMP,0.001059,5.22e-05
60,64,OMP,0.0012294,5.4e-05
61,64,OMP,0.0010906,4.96e-05
62,64,OMP,0.001076,4.48e-05
63,64,OMP,0.001226,4.42e-05
64,64,OMP,0.00114,5.54e-05
65,64,OMP,0.0013878,5.18e-05
66,64,OMP,0.0013936,5.36e-05
67,64,OMP,0.0011832,5.58e-05
68,64,OMP,0.0012918,5.12e-05
69,64,OMP,0.0012562,6.62e-05
70,64,OMP,0.0013068,6.56e-05
71,64,OMP,0.0014084,5.28e-05
72,64,OMP,0.001314,5.32e-05
73,64,OMP,0.001334,5.4e-05
74,64,OMP,0.0014018,6.88e-05
75,64,OMP,0.0015752,5.66e-05
76,64,OMP,0.0014954,5.66e-05
77,64,OMP,0.001411,6.2e-05
78,64,OMP,0.0015962,6.06e-05
79,64,OMP,0.0014088,6.9e-05
80,64,OMP,0.001615,5.38e-05
81,64,OMP,0.0015994,5.3e-05
82,64,OMP,0.0016718,5.32e-05
83,64,OMP,0.0016496,6.66e-05
84,64,OMP,0.0015818,6.48e-05
85,64,OMP,0.0032536,7.18e-05
86,64,OMP,0.001888,6.66e-05
87,64,OMP,0.0017276,5.64e-05
88,64,OMP,0.0020828,9.86e-05
89,64,OMP,0.0018892,6.76e-05
90,64,OMP,0.0048722,0.001024
91,64,OMP,0.0049284,8.04e-05
92,64,OMP,0.0080646,0.0012166
93,64,OMP,0.009454,0.0038346
94,64,OMP,0.0065942,0.0038308
95,64,OMP,0.0091068,0.0067034
96,64,OMP,0.0115084,0.0060474
1,128,SEQ,4.68e-05,5.58e-05
1,128,OMP,7.58e-05,6e-05
2,128,OMP,0.0001528,9.4e-05
3,128,OMP,0.0001716,9.28e-05
4,128,OMP,0.0002094,9.54e-05
5,128,OMP,0.0002096,0.0001094
6,128,OMP,0.0002104,9.9e-05
7,128,OMP,0.000311,9.5e-05
8,128,OMP,0.0002312,9.54e-05
9,128,OMP,0.0002634,0.0001006
10,128,OMP,0.000313,9.62e-05
11,128,OMP,0.000269,9.82e-05
12,128,OMP,0.0003328,0.0001006
13,128,OMP,0.0002778,9.8e-05
14,128,OMP,0.0003156,9.86e-05
15,128,OMP,0.0003364,9.82e-05
16,128,OMP,0.0005054,9.5e-05
17,128,OMP,0.0003398,0.0001106
18,128,OMP,0.0003846,0.0001066
19,128,OMP,0.000374,0.0001022
20,128,OMP,0.000375,0.0001006
21,128,OMP,0.0004296,0.0001022
22,128,OMP,0.0005268,0.000101
23,128,OMP,0.0004566,0.0001086
24,128,OMP,0.0005196,0.0001136
25,128,OMP,0.0004912,0.0001292
26,128,OMP,0.0006386,0.0001052
27,128,OMP,0.0005216,0.0001058
28,128,OMP,0.0006182,0.0001064
29,128,OMP,0.0005658,0.0001032
30,128,OMP,0.0006834,0.0001024
31,128,OMP,0.0005884,0.0001082
32,128,OMP,0.0007366,9.7e-05
33,128,OMP,0.0006686,0.0001026
34,128,OMP,0.0006338,0.0001068
35,128,OMP,0.000646,0.0001078
36,128,OMP,0.0008292,9.48e-05
37,128,OMP,0.0007912,9.64e-05
38,128,OMP,0.000808,0.0001068
39,128,OMP,0.0008484,9.78e-05
40,128,OMP,0.0008504,0.0001036
41,128,OMP,0.0008386,9.58e-05
42,128,OMP,0.0007632,0.0001098
43,128,OMP,0.0008526,9.82e-05
44,128,OMP,0.0008336,0.000105
45,128,OMP,0.0008328,9.24e-05
46,128,OMP,0.0007886,9.3e-05
47,128,OMP,0.0009174,0.0001
48,128,OMP,0.0008466,9.64e-05
49,128,OMP,0.0008704,0.000105
50,128,OMP,0.000922,8.72e-05
51,128,OMP,0.0009316,9.54e-05
52,128,OMP,0.0010008,0.0001044
53,128,OMP,0.0009934,9.16e-05
54,128,OMP,0.0010286,0.0001012
55,128,OMP,0.0010174,8.04e-05
56,128,OMP,0.000979,0.0001022
57,128,OMP,0.0010806,8.34e-05
58,128,OMP,0.0011014,9.96e-05
59,128,OMP,0.0010706,8.72e-05
60,128,OMP,0.0011234,0.000101
61,128,OMP,0.0010946,8.44e-05
62,128,OMP,0.001168,9.08e-05
63,128,OMP,0.001128,9.9e-05
64,128,OMP,0.001122,9.38e-05
65,128,OMP,0.0012006,9.54e-05
66,128,OMP,0.0011442,8.84e-05
67,128,OMP,0.0011996,8.62e-05
68,128,OMP,0.0012394,8.56e-05
