Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000001,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000017,0.000002,OMP
1,4,0.000015,0.000002,OMP
1,4,0.000013,0.000002,OMP
1,4,0.000035,0.000005,OMP
1,4,0.000012,0.000002,OMP
2,4,0.000114,0.000009,OMP
2,4,0.000110,0.000006,OMP
2,4,0.000065,0.000007,OMP
2,4,0.000069,0.000009,OMP
2,4,0.000063,0.000009,OMP
3,4,0.000096,0.000007,OMP
3,4,0.000086,0.000008,OMP
3,4,0.000090,0.000008,OMP
3,4,0.000120,0.000008,OMP
3,4,0.000093,0.000008,OMP
4,4,0.000132,0.000021,OMP
4,4,0.000109,0.000010,OMP
4,4,0.000103,0.000011,OMP
4,4,0.000102,0.000013,OMP
4,4,0.000102,0.000012,OMP
5,4,0.000222,0.000012,OMP
5,4,0.000170,0.000010,OMP
5,4,0.000172,0.000011,OMP
5,4,0.000102,0.000008,OMP
5,4,0.000153,0.000009,OMP
6,4,0.000183,0.000013,OMP
6,4,0.000175,0.000012,OMP
6,4,0.000132,0.000009,OMP
6,4,0.000140,0.000009,OMP
6,4,0.000127,0.000012,OMP
7,4,0.000147,0.000010,OMP
7,4,0.000144,0.000011,OMP
7,4,0.000139,0.000011,OMP
7,4,0.000184,0.000012,OMP
7,4,0.000141,0.000011,OMP
8,4,0.000158,0.000010,OMP
8,4,0.000160,0.000016,OMP
8,4,0.000173,0.000020,OMP
8,4,0.000168,0.000010,OMP
8,4,0.000335,0.000011,OMP
9,4,0.000173,0.000011,OMP
9,4,0.000210,0.000012,OMP
9,4,0.000364,0.000015,OMP
9,4,0.000188,0.000010,OMP
9,4,0.000238,0.000011,OMP
10,4,0.000244,0.000015,OMP
10,4,0.000250,0.000012,OMP
10,4,0.000240,0.000012,OMP
10,4,0.000209,0.000011,OMP
10,4,0.000231,0.000012,OMP
11,4,0.000265,0.000033,OMP
11,4,0.000217,0.000011,OMP
11,4,0.000209,0.000011,OMP
11,4,0.000436,0.000013,OMP
11,4,0.000251,0.000013,OMP
12,4,0.000276,0.000013,OMP
12,4,0.000232,0.000014,OMP
12,4,0.000230,0.000014,OMP
12,4,0.000270,0.000011,OMP
12,4,0.000221,0.000016,OMP
13,4,0.000282,0.000012,OMP
13,4,0.000238,0.000012,OMP
13,4,0.000246,0.000013,OMP
13,4,0.000291,0.000012,OMP
13,4,0.000252,0.000014,OMP
14,4,0.000264,0.000016,OMP
14,4,0.000330,0.000016,OMP
14,4,0.000264,0.000014,OMP
14,4,0.000334,0.000016,OMP
14,4,0.000314,0.000014,OMP
15,4,0.000325,0.000017,OMP
15,4,0.000267,0.000031,OMP
15,4,0.000301,0.000015,OMP
15,4,0.000342,0.000017,OMP
15,4,0.000314,0.000015,OMP
16,4,0.000314,0.000015,OMP
16,4,0.000311,0.000014,OMP
16,4,0.000352,0.000014,OMP
16,4,0.000302,0.000017,OMP
16,4,0.000604,0.000015,OMP
17,4,0.000356,0.000020,OMP
17,4,0.000376,0.000014,OMP
17,4,0.000604,0.000014,OMP
17,4,0.000379,0.000015,OMP
17,4,0.000315,0.000018,OMP
18,4,0.000378,0.000018,OMP
18,4,0.000380,0.000015,OMP
18,4,0.000345,0.000013,OMP
18,4,0.000379,0.000017,OMP
18,4,0.000338,0.000019,OMP
19,4,0.000343,0.000017,OMP
19,4,0.000354,0.000016,OMP
19,4,0.000343,0.000015,OMP
19,4,0.000336,0.000016,OMP
19,4,0.000357,0.000012,OMP
20,4,0.000792,0.000027,OMP
20,4,0.000362,0.000016,OMP
20,4,0.000364,0.000018,OMP
20,4,0.000359,0.000019,OMP
20,4,0.000370,0.000020,OMP
