Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans
1,4,SEQ,4.00E-07,2.00E-07,0,0,0,0
1,4,OMP,1.84E-05,2.60E-06,2.17E-02,7.69E-02,2.17E+00,7.69E+00
2,4,OMP,8.42E-05,8.00E-06,4.75E-03,2.50E-02,2.38E-01,1.25E+00
3,4,OMP,9.70E-05,7.80E-06,4.12E-03,2.56E-02,1.37E-01,8.55E-01
4,4,OMP,0.0001096,1.34E-05,3.65E-03,1.49E-02,9.12E-02,3.73E-01
5,4,OMP,0.0001638,1.00E-05,2.44E-03,2.00E-02,4.88E-02,4.00E-01
6,4,OMP,0.0001514,1.10E-05,2.64E-03,1.82E-02,4.40E-02,3.03E-01
7,4,OMP,0.000151,1.10E-05,2.65E-03,1.82E-02,3.78E-02,2.60E-01
8,4,OMP,0.0001988,1.34E-05,2.01E-03,1.49E-02,2.52E-02,1.87E-01
9,4,OMP,0.0002346,1.18E-05,1.71E-03,1.69E-02,1.89E-02,1.88E-01
10,4,OMP,0.0002348,1.24E-05,1.70E-03,1.61E-02,1.70E-02,1.61E-01
11,4,OMP,0.0002756,1.62E-05,1.45E-03,1.23E-02,1.32E-02,1.12E-01
12,4,OMP,0.0002458,1.36E-05,1.63E-03,1.47E-02,1.36E-02,1.23E-01
13,4,OMP,0.0002618,1.26E-05,1.53E-03,1.59E-02,1.18E-02,1.22E-01
14,4,OMP,0.0003012,1.52E-05,1.33E-03,1.32E-02,9.49E-03,9.40E-02
15,4,OMP,0.0003098,1.90E-05,1.29E-03,1.05E-02,8.61E-03,7.02E-02
16,4,OMP,0.0003766,1.50E-05,1.06E-03,1.33E-02,6.64E-03,8.33E-02
17,4,OMP,0.000406,1.62E-05,9.85E-04,1.23E-02,5.80E-03,7.26E-02
18,4,OMP,0.000364,1.64E-05,1.10E-03,1.22E-02,6.11E-03,6.78E-02
19,4,OMP,0.0003466,1.52E-05,1.15E-03,1.32E-02,6.07E-03,6.93E-02
20,4,OMP,0.0004494,2.00E-05,8.90E-04,1.00E-02,4.45E-03,5.00E-02
21,4,OMP,0.0003974,1.68E-05,1.01E-03,1.19E-02,4.79E-03,5.67E-02
22,4,OMP,0.0004188,1.62E-05,9.55E-04,1.23E-02,4.34E-03,5.61E-02
23,4,OMP,0.0004482,1.84E-05,8.92E-04,1.09E-02,3.88E-03,4.73E-02
24,4,OMP,0.000431,1.84E-05,9.28E-04,1.09E-02,3.87E-03,4.53E-02
25,4,OMP,0.0004646,2.30E-05,8.61E-04,8.70E-03,3.44E-03,3.48E-02
26,4,OMP,0.0004956,2.12E-05,8.07E-04,9.43E-03,3.10E-03,3.63E-02
27,4,OMP,0.000493,2.18E-05,8.11E-04,9.17E-03,3.01E-03,3.40E-02
28,4,OMP,0.0005256,2.06E-05,7.61E-04,9.71E-03,2.72E-03,3.47E-02
29,4,OMP,0.0005906,2.52E-05,6.77E-04,7.94E-03,2.34E-03,2.74E-02
30,4,OMP,0.0005632,2.44E-05,7.10E-04,8.20E-03,2.37E-03,2.73E-02
31,4,OMP,0.0005728,2.36E-05,6.98E-04,8.47E-03,2.25E-03,2.73E-02
32,4,OMP,0.0007748,2.18E-05,5.16E-04,9.17E-03,1.61E-03,2.87E-02
33,4,OMP,0.0005936,2.34E-05,6.74E-04,8.55E-03,2.04E-03,2.59E-02
34,4,OMP,0.000607,2.66E-05,6.59E-04,7.52E-03,1.94E-03,2.21E-02
35,4,OMP,0.000661,2.46E-05,6.05E-04,8.13E-03,1.73E-03,2.32E-02
36,4,OMP,0.000659,2.62E-05,6.07E-04,7.63E-03,1.69E-03,2.12E-02
37,4,OMP,0.0007936,2.42E-05,5.04E-04,8.26E-03,1.36E-03,2.23E-02
38,4,OMP,0.000761,2.60E-05,5.26E-04,7.69E-03,1.38E-03,2.02E-02
39,4,OMP,0.0007572,2.72E-05,5.28E-04,7.35E-03,1.35E-03,1.89E-02
40,4,OMP,0.0007036,2.86E-05,5.69E-04,6.99E-03,1.42E-03,1.75E-02
41,4,OMP,0.0007216,2.86E-05,5.54E-04,6.99E-03,1.35E-03,1.71E-02
42,4,OMP,0.0007206,2.84E-05,5.55E-04,7.04E-03,1.32E-03,1.68E-02
43,4,OMP,0.0008326,2.88E-05,4.80E-04,6.94E-03,1.12E-03,1.61E-02
44,4,OMP,0.0009408,2.56E-05,4.25E-04,7.81E-03,9.66E-04,1.78E-02
45,4,OMP,0.000833,2.98E-05,4.80E-04,6.71E-03,1.07E-03,1.49E-02
46,4,OMP,0.0008288,2.98E-05,4.83E-04,6.71E-03,1.05E-03,1.46E-02
47,4,OMP,0.001015,3.12E-05,3.94E-04,6.41E-03,8.38E-04,1.36E-02
48,4,OMP,0.000852,2.98E-05,4.69E-04,6.71E-03,9.78E-04,1.40E-02
49,4,OMP,0.0008818,3.42E-05,4.54E-04,5.85E-03,9.26E-04,1.19E-02
50,4,OMP,0.0009006,2.64E-05,4.44E-04,7.58E-03,8.88E-04,1.52E-02
51,4,OMP,0.0009182,4.24E-05,4.36E-04,4.72E-03,8.54E-04,9.25E-03
52,4,OMP,0.0008886,3.50E-05,4.50E-04,5.71E-03,8.66E-04,1.10E-02
53,4,OMP,0.000972,3.16E-05,4.12E-04,6.33E-03,7.76E-04,1.19E-02
54,4,OMP,0.0009562,3.50E-05,4.18E-04,5.71E-03,7.75E-04,1.06E-02
55,4,OMP,0.0010406,3.30E-05,3.84E-04,6.06E-03,6.99E-04,1.10E-02
56,4,OMP,0.000974,3.48E-05,4.11E-04,5.75E-03,7.33E-04,1.03E-02
57,4,OMP,0.0010304,3.42E-05,3.88E-04,5.85E-03,6.81E-04,1.03E-02
58,4,OMP,0.001013,3.86E-05,3.95E-04,5.18E-03,6.81E-04,8.93E-03
59,4,OMP,0.0010232,3.24E-05,3.91E-04,6.17E-03,6.63E-04,1.05E-02
60,4,OMP,0.0010554,3.26E-05,3.79E-04,6.13E-03,6.32E-04,1.02E-02
61,4,OMP,0.0010788,3.62E-05,3.71E-04,5.52E-03,6.08E-04,9.06E-03
62,4,OMP,0.00112,3.58E-05,3.57E-04,5.59E-03,5.76E-04,9.01E-03
63,4,OMP,0.0011454,3.86E-05,3.49E-04,5.18E-03,5.54E-04,8.22E-03
64,4,OMP,0.0012026,3.86E-05,3.33E-04,5.18E-03,5.20E-04,8.10E-03
65,4,OMP,0.0012036,3.64E-05,3.32E-04,5.49E-03,5.11E-04,8.45E-03
66,4,OMP,0.0011742,3.60E-05,3.41E-04,5.56E-03,5.16E-04,8.42E-03
67,4,OMP,0.0011986,3.96E-05,3.34E-04,5.05E-03,4.98E-04,7.54E-03
