Threads,Dim,Version,Sym,Trans
1,4,SEQ,0.0,0.0
1,4,OMP,1.84e-05,2.6e-06
2,4,OMP,8.42e-05,8e-06
3,4,OMP,9.7e-05,7.8e-06
4,4,OMP,0.0001096,1.34e-05
5,4,OMP,0.0001638,1e-05
6,4,OMP,0.0001514,1.1e-05
7,4,OMP,0.000151,1.1e-05
8,4,OMP,0.0001988,1.34e-05
9,4,OMP,0.0002346,1.18e-05
10,4,OMP,0.0002348,1.24e-05
11,4,OMP,0.0002756,1.62e-05
12,4,OMP,0.0002458,1.36e-05
13,4,OMP,0.0002618,1.26e-05
14,4,OMP,0.0003012,1.52e-05
15,4,OMP,0.0003098,1.9e-05
16,4,OMP,0.0003766,1.5e-05
17,4,OMP,0.000406,1.62e-05
18,4,OMP,0.000364,1.64e-05
19,4,OMP,0.0003466,1.52e-05
20,4,OMP,0.0004494,2e-05
21,4,OMP,0.0003974,1.68e-05
22,4,OMP,0.0004188,1.62e-05
23,4,OMP,0.0004482,1.84e-05
24,4,OMP,0.000431,1.84e-05
25,4,OMP,0.0004646,2.3e-05
26,4,OMP,0.0004956,2.12e-05
27,4,OMP,0.000493,2.18e-05
28,4,OMP,0.0005256,2.06e-05
29,4,OMP,0.0005906,2.52e-05
30,4,OMP,0.0005632,2.44e-05
31,4,OMP,0.0005728,2.36e-05
32,4,OMP,0.0007748,2.18e-05
33,4,OMP,0.0005936,2.34e-05
34,4,OMP,0.000607,2.66e-05
35,4,OMP,0.000661,2.46e-05
36,4,OMP,0.000659,2.62e-05
37,4,OMP,0.0007936,2.42e-05
38,4,OMP,0.000761,2.6e-05
39,4,OMP,0.0007572,2.72e-05
40,4,OMP,0.0007036,2.86e-05
41,4,OMP,0.0007216,2.86e-05
42,4,OMP,0.0007206,2.84e-05
43,4,OMP,0.0008326,2.88e-05
44,4,OMP,0.0009408,2.56e-05
45,4,OMP,0.000833,2.98e-05
46,4,OMP,0.0008288,2.98e-05
47,4,OMP,0.001015,3.12e-05
48,4,OMP,0.000852,2.98e-05
49,4,OMP,0.0008818,3.42e-05
50,4,OMP,0.0009006,2.64e-05
51,4,OMP,0.0009182,4.24e-05
52,4,OMP,0.0008886,3.5e-05
53,4,OMP,0.000972,3.16e-05
54,4,OMP,0.0009562,3.5e-05
55,4,OMP,0.0010406,3.3e-05
56,4,OMP,0.000974,3.48e-05
57,4,OMP,0.0010304,3.42e-05
58,4,OMP,0.001013,3.86e-05
59,4,OMP,0.0010232,3.24e-05
60,4,OMP,0.0010554,3.26e-05
61,4,OMP,0.0010788,3.62e-05
62,4,OMP,0.00112,3.58e-05
63,4,OMP,0.0011454,3.86e-05
64,4,OMP,0.0012026,3.86e-05
65,4,OMP,0.0012036,3.64e-05
66,4,OMP,0.0011742,3.6e-05
67,4,OMP,0.0011986,3.96e-05
68,4,OMP,0.0012544,4.06e-05
69,4,OMP,0.0012236,3.78e-05
70,4,OMP,0.0013122,3.88e-05
71,4,OMP,0.0014052,4.1e-05
72,4,OMP,0.0012828,4.12e-05
73,4,OMP,0.0013026,4.26e-05
74,4,OMP,0.0014098,4.1e-05
75,4,OMP,0.0013698,3.88e-05
76,4,OMP,0.0013764,3.84e-05
77,4,OMP,0.0015206,4.04e-05
78,4,OMP,0.0014398,4.68e-05
79,4,OMP,0.0014594,4.62e-05
80,4,OMP,0.0014522,4.04e-05
81,4,OMP,0.0014972,4.62e-05
82,4,OMP,0.0016074,4.46e-05
83,4,OMP,0.0014918,4.64e-05
84,4,OMP,0.00157,4.24e-05
85,4,OMP,0.0028278,4.72e-05
86,4,OMP,0.0020918,4.58e-05
87,4,OMP,0.0021534,4.56e-05
88,4,OMP,0.003701,4.48e-05
89,4,OMP,0.003665,5.16e-05
90,4,OMP,0.0052884,0.0009852
91,4,OMP,0.005681,5.76e-05
92,4,OMP,0.0069012,5.38e-05
93,4,OMP,0.0071614,0.0010346
94,4,OMP,0.0084116,0.0066558
95,4,OMP,0.009038,0.0056964
96,4,OMP,0.009938,0.006689
1,8,SEQ,6e-07,2e-07
1,8,OMP,1.38e-05,2e-06
2,8,OMP,8.4e-05,8e-06
3,8,OMP,0.0001284,9e-06
4,8,OMP,0.000104,1.08e-05
5,8,OMP,0.0001178,1.12e-05
6,8,OMP,0.0001452,1.08e-05
7,8,OMP,0.0001518,1.14e-05
8,8,OMP,0.0001962,1.06e-05
9,8,OMP,0.0002558,1.08e-05
10,8,OMP,0.0002984,1.18e-05
11,8,OMP,0.000232,1.36e-05
12,8,OMP,0.0002838,1.34e-05
13,8,OMP,0.000383,1.36e-05
14,8,OMP,0.0002698,1.3e-05
15,8,OMP,0.0002792,1.96e-05
16,8,OMP,0.000359,1.74e-05
17,8,OMP,0.0003756,1.46e-05
18,8,OMP,0.0003474,1.46e-05
19,8,OMP,0.000422,1.76e-05
20,8,OMP,0.0005222,1.76e-05
21,8,OMP,0.0003982,1.68e-05
