Processes,Dim,CheckSym,MatTranspose,Version
1,16,0.000004,0.000002,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000003,0.000003,SEQ
1,16,0.000025,0.000001,MPI B
1,16,0.000022,0.000001,MPI B
1,16,0.000017,0.000001,MPI B
1,16,0.000017,0.000001,MPI B
1,16,0.000017,0.000002,MPI B
2,16,0.001046,0.000025,MPI B
2,16,0.000104,0.000021,MPI B
2,16,0.000139,0.000021,MPI B
2,16,0.000477,0.000020,MPI B
2,16,0.000901,0.000022,MPI B
3,16,0.000072,0.000029,MPI B
3,16,0.000390,0.000031,MPI B
3,16,0.000341,0.000029,MPI B
3,16,0.000232,0.000028,MPI B
3,16,0.000293,0.000031,MPI B
4,16,0.000059,0.000036,MPI B
4,16,0.000052,0.000038,MPI B
4,16,0.000158,0.000036,MPI B
4,16,0.000103,0.000036,MPI B
4,16,0.000059,0.000037,MPI B
5,16,0.000196,0.000043,MPI B
5,16,0.001154,0.000041,MPI B
5,16,0.000883,0.000517,MPI B
5,16,0.000875,0.000042,MPI B
5,16,0.000316,0.000321,MPI B
6,16,0.000484,0.000468,MPI B
6,16,0.000222,0.000523,MPI B
6,16,0.000721,0.000375,MPI B
6,16,0.000169,0.000061,MPI B
6,16,0.000737,0.000050,MPI B
7,16,0.000484,0.000419,MPI B
7,16,0.000511,0.000381,MPI B
7,16,0.000164,0.000339,MPI B
7,16,0.000560,0.000382,MPI B
7,16,0.000330,0.000376,MPI B
8,16,0.000113,0.000450,MPI B
8,16,0.000917,0.000335,MPI B
8,16,0.000384,0.000050,MPI B
8,16,0.000073,0.000354,MPI B
8,16,0.000623,0.000447,MPI B
9,16,0.000894,0.000486,MPI B
9,16,0.000900,0.000372,MPI B
9,16,0.000735,0.000375,MPI B
9,16,0.000370,0.000415,MPI B
9,16,0.000506,0.000039,MPI B
10,16,0.000073,0.000037,MPI B
10,16,0.000203,0.000034,MPI B
10,16,0.000383,0.000525,MPI B
10,16,0.000795,0.000398,MPI B
10,16,0.000773,0.000410,MPI B
11,16,0.000081,0.000329,MPI B
11,16,0.000077,0.000034,MPI B
11,16,0.000349,0.000364,MPI B
11,16,0.000278,0.000484,MPI B
11,16,0.000311,0.000038,MPI B
12,16,0.000386,0.000476,MPI B
12,16,0.000077,0.000043,MPI B
12,16,0.000247,0.000461,MPI B
12,16,0.000363,0.000057,MPI B
12,16,0.000095,0.000034,MPI B
13,16,0.000444,0.000366,MPI B
13,16,0.000389,0.000029,MPI B
13,16,0.000172,0.000047,MPI B
13,16,0.000198,0.000369,MPI B
13,16,0.000613,0.000435,MPI B
14,16,0.000642,0.000040,MPI B
14,16,0.000318,0.000050,MPI B
14,16,0.000243,0.000365,MPI B
14,16,0.000282,0.000034,MPI B
14,16,0.000284,0.000031,MPI B
15,16,0.000497,0.000104,MPI B
15,16,0.000592,0.000390,MPI B
15,16,0.000607,0.000409,MPI B
15,16,0.000296,0.000405,MPI B
15,16,0.000547,0.000435,MPI B
16,16,0.000364,0.000421,MPI B
16,16,0.000293,0.000491,MPI B
16,16,0.000122,0.000497,MPI B
16,16,0.000658,0.000047,MPI B
16,16,0.000441,0.000487,MPI B
17,16,0.000101,0.000444,MPI B
17,16,0.000278,0.000422,MPI B
17,16,0.000824,0.000499,MPI B
17,16,0.000105,0.000061,MPI B
17,16,0.000176,0.000517,MPI B
18,16,0.000567,0.000505,MPI B
18,16,0.000222,0.000037,MPI B
18,16,0.000439,0.000345,MPI B
18,16,0.000219,0.000487,MPI B
18,16,0.000590,0.000431,MPI B
19,16,0.000448,0.000044,MPI B
19,16,0.000325,0.000510,MPI B
19,16,0.000090,0.000515,MPI B
19,16,0.000312,0.000417,MPI B
19,16,0.000448,0.000467,MPI B
20,16,0.000103,0.000429,MPI B
20,16,0.000499,0.000504,MPI B
20,16,0.000720,0.000387,MPI B
20,16,0.000870,0.000440,MPI B
20,16,0.000550,0.000408,MPI B
21,16,0.000677,0.000045,MPI B
21,16,0.000099,0.000504,MPI B
21,16,0.000539,0.000505,MPI B
21,16,0.000541,0.000427,MPI B
21,16,0.000442,0.000450,MPI B
22,16,0.000105,0.000494,MPI B
22,16,0.000581,0.000062,MPI B
22,16,0.000140,0.000509,MPI B
22,16,0.000115,0.000055,MPI B
22,16,0.000105,0.000405,MPI B
23,16,0.000494,0.000515,MPI B
23,16,0.000135,0.000519,MPI B
23,16,0.000202,0.000490,MPI B
23,16,0.000263,0.000438,MPI B
23,16,0.000223,0.000413,MPI B
24,16,0.000211,0.000416,MPI B
24,16,0.000154,0.000509,MPI B
24,16,0.000391,0.000481,MPI B
24,16,0.000097,0.000108,MPI B
24,16,0.000776,0.000041,MPI B
25,16,0.000324,0.000526,MPI B
25,16,0.000657,0.000473,MPI B
25,16,0.000393,0.000060,MPI B
25,16,0.000627,0.000473,MPI B
25,16,0.000317,0.000437,MPI B
26,16,0.000565,0.000475,MPI B
26,16,0.001126,0.000480,MPI B
26,16,0.000291,0.000055,MPI B
26,16,0.000130,0.000503,MPI B
26,16,0.000683,0.000449,MPI B
27,16,0.000758,0.000484,MPI B
27,16,0.000217,0.000464,MPI B
27,16,0.000247,0.000051,MPI B
27,16,0.001413,0.000496,MPI B
27,16,0.001372,0.000446,MPI B
28,16,0.000312,0.000489,MPI B
28,16,0.001058,0.000491,MPI B
28,16,0.000135,0.000048,MPI B
28,16,0.000281,0.000448,MPI B
28,16,0.000486,0.000471,MPI B
29,16,0.000800,0.000062,MPI B
29,16,0.000578,0.000494,MPI B
29,16,0.000233,0.000056,MPI B
29,16,0.000457,0.000489,MPI B
29,16,0.000404,0.000507,MPI B
30,16,0.000489,0.000481,MPI B
30,16,0.000116,0.000485,MPI B
30,16,0.000524,0.000479,MPI B
30,16,0.000839,0.000497,MPI B
30,16,0.000540,0.000456,MPI B
31,16,0.000716,0.000048,MPI B
31,16,0.000300,0.000471,MPI B
31,16,0.000359,0.000456,MPI B
31,16,0.000124,0.000496,MPI B
31,16,0.000567,0.000456,MPI B
32,16,0.000216,0.000048,MPI B
32,16,0.001323,0.000053,MPI B
32,16,0.000286,0.000032,MPI B
32,16,0.000649,0.000490,MPI B
32,16,0.000486,0.000485,MPI B
33,16,0.000886,0.000494,MPI B
33,16,0.000138,0.000494,MPI B
33,16,0.000489,0.000504,MPI B
33,16,0.000183,0.000040,MPI B
33,16,0.000421,0.000496,MPI B
34,16,0.000138,0.000041,MPI B
34,16,0.000478,0.000514,MPI B
34,16,0.001171,0.000495,MPI B
34,16,0.001435,0.000444,MPI B
34,16,0.001248,0.000501,MPI B
35,16,0.000130,0.000518,MPI B
35,16,0.000166,0.000501,MPI B
35,16,0.000329,0.000035,MPI B
35,16,0.000319,0.000054,MPI B
35,16,0.000214,0.000491,MPI B
36,16,0.000144,0.000492,MPI B
36,16,0.000963,0.000049,MPI B
36,16,0.000131,0.000517,MPI B
36,16,0.000138,0.000516,MPI B
36,16,0.000132,0.000478,MPI B
37,16,0.000120,0.000499,MPI B
37,16,0.000143,0.000057,MPI B
37,16,0.000328,0.000503,MPI B
37,16,0.000568,0.000491,MPI B
37,16,0.000276,0.000044,MPI B
38,16,0.000127,0.000259,MPI B
38,16,0.000449,0.000467,MPI B
38,16,0.000387,0.000063,MPI B
38,16,0.000170,0.000050,MPI B
38,16,0.000159,0.000521,MPI B
39,16,0.000332,0.000050,MPI B
39,16,0.000182,0.000512,MPI B
