Threads/Proc,Dim,CheckSym,MatTranspose,Version
1,16,0.000001,0.000000,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000000,SEQ
1,16,0.000001,0.000000,SEQ
1,16,0.000019,0.000003,OMP
1,16,0.000047,0.000008,OMP
1,16,0.000016,0.000002,OMP
1,16,0.000016,0.000002,OMP
1,16,0.000015,0.000002,OMP
2,16,0.000119,0.000011,OMP
2,16,0.000119,0.000010,OMP
2,16,0.000066,0.000009,OMP
2,16,0.000067,0.000009,OMP
2,16,0.000067,0.000008,OMP
3,16,0.000091,0.000011,OMP
3,16,0.000088,0.000010,OMP
3,16,0.000091,0.000022,OMP
3,16,0.000159,0.000011,OMP
3,16,0.000089,0.000010,OMP
4,16,0.000112,0.000014,OMP
4,16,0.000109,0.000010,OMP
4,16,0.000099,0.000011,OMP
4,16,0.000108,0.000014,OMP
4,16,0.000193,0.000017,OMP
5,16,0.000131,0.000016,OMP
5,16,0.000236,0.000023,OMP
5,16,0.000114,0.000009,OMP
5,16,0.000177,0.000012,OMP
5,16,0.000171,0.000012,OMP
6,16,0.000146,0.000012,OMP
6,16,0.000129,0.000012,OMP
6,16,0.000189,0.000014,OMP
6,16,0.000129,0.000012,OMP
6,16,0.000258,0.000017,OMP
7,16,0.000149,0.000010,OMP
7,16,0.000234,0.000015,OMP
7,16,0.000146,0.000013,OMP
7,16,0.000291,0.000015,OMP
7,16,0.000188,0.000012,OMP
8,16,0.000336,0.000018,OMP
8,16,0.000171,0.000012,OMP
8,16,0.000145,0.000013,OMP
8,16,0.000170,0.000017,OMP
8,16,0.000154,0.000015,OMP
9,16,0.000227,0.000016,OMP
9,16,0.000195,0.000013,OMP
9,16,0.000182,0.000011,OMP
9,16,0.000173,0.000015,OMP
9,16,0.000189,0.000016,OMP
10,16,0.000249,0.000015,OMP
10,16,0.000196,0.000014,OMP
10,16,0.000239,0.000011,OMP
10,16,0.000198,0.000013,OMP
10,16,0.000190,0.000018,OMP
11,16,0.000230,0.000014,OMP
11,16,0.000205,0.000016,OMP
11,16,0.000219,0.000014,OMP
11,16,0.000207,0.000016,OMP
11,16,0.000250,0.000013,OMP
12,16,0.000216,0.000022,OMP
12,16,0.000237,0.000013,OMP
12,16,0.000239,0.000014,OMP
12,16,0.000225,0.000014,OMP
12,16,0.000268,0.000012,OMP
13,16,0.000297,0.000014,OMP
13,16,0.000248,0.000012,OMP
13,16,0.000235,0.000015,OMP
13,16,0.000673,0.000018,OMP
13,16,0.000233,0.000013,OMP
14,16,0.000349,0.000011,OMP
14,16,0.000275,0.000012,OMP
14,16,0.000274,0.000015,OMP
14,16,0.000333,0.000015,OMP
14,16,0.000260,0.000025,OMP
15,16,0.000290,0.000025,OMP
15,16,0.000268,0.000013,OMP
15,16,0.000281,0.000014,OMP
15,16,0.000274,0.000014,OMP
15,16,0.000279,0.000020,OMP
16,16,0.000600,0.000016,OMP
16,16,0.000293,0.000013,OMP
16,16,0.000281,0.000017,OMP
16,16,0.000309,0.000015,OMP
16,16,0.000291,0.000018,OMP
17,16,0.000351,0.000021,OMP
17,16,0.000720,0.000017,OMP
17,16,0.000309,0.000016,OMP
17,16,0.000465,0.000014,OMP
17,16,0.000303,0.000019,OMP
18,16,0.000396,0.000015,OMP
18,16,0.000379,0.000023,OMP
18,16,0.000322,0.000018,OMP
18,16,0.000324,0.000018,OMP
18,16,0.000696,0.000015,OMP
19,16,0.000362,0.000019,OMP
19,16,0.000353,0.000018,OMP
19,16,0.000347,0.000024,OMP
19,16,0.000391,0.000018,OMP
19,16,0.000336,0.000020,OMP
20,16,0.000354,0.000015,OMP
20,16,0.000368,0.000018,OMP
20,16,0.000755,0.000024,OMP
20,16,0.000351,0.000019,OMP
20,16,0.000352,0.000023,OMP
21,16,0.000432,0.000016,OMP
21,16,0.000816,0.000023,OMP
21,16,0.000392,0.000032,OMP
21,16,0.000354,0.000015,OMP
21,16,0.000381,0.000017,OMP
22,16,0.000443,0.000021,OMP
22,16,0.000474,0.000021,OMP
22,16,0.000355,0.000025,OMP
22,16,0.000381,0.000015,OMP
22,16,0.000393,0.000018,OMP
23,16,0.000405,0.000014,OMP
23,16,0.000600,0.000024,OMP
23,16,0.000436,0.000022,OMP
23,16,0.000392,0.000018,OMP
23,16,0.000410,0.000018,OMP
24,16,0.000848,0.000029,OMP
24,16,0.000438,0.000025,OMP
24,16,0.000419,0.000019,OMP
24,16,0.000434,0.000017,OMP
24,16,0.000427,0.000019,OMP
25,16,0.000481,0.000020,OMP
25,16,0.000779,0.000021,OMP
25,16,0.000436,0.000021,OMP
25,16,0.000935,0.000032,OMP
25,16,0.000473,0.000032,OMP
26,16,0.001038,0.000024,OMP
26,16,0.000441,0.000018,OMP
26,16,0.000757,0.000022,OMP
26,16,0.000523,0.000020,OMP
26,16,0.000441,0.000017,OMP
27,16,0.000523,0.000019,OMP
27,16,0.000525,0.000018,OMP
27,16,0.000482,0.000023,OMP
27,16,0.000485,0.000021,OMP
27,16,0.000459,0.000024,OMP
28,16,0.000870,0.000020,OMP
28,16,0.000498,0.000018,OMP
28,16,0.000471,0.000017,OMP
28,16,0.000605,0.000023,OMP
28,16,0.000459,0.000020,OMP
29,16,0.000514,0.000018,OMP
29,16,0.001173,0.000022,OMP
29,16,0.000525,0.000021,OMP
29,16,0.001118,0.000020,OMP
29,16,0.000532,0.000018,OMP
30,16,0.000551,0.000018,OMP
30,16,0.000585,0.000032,OMP
30,16,0.001299,0.000024,OMP
30,16,0.000517,0.000021,OMP
30,16,0.000502,0.000020,OMP
31,16,0.000594,0.000026,OMP
31,16,0.000521,0.000021,OMP
31,16,0.000551,0.000028,OMP
31,16,0.000555,0.000022,OMP
31,16,0.000539,0.000020,OMP
32,16,0.000562,0.000022,OMP
32,16,0.000548,0.000035,OMP
32,16,0.000547,0.000020,OMP
32,16,0.000553,0.000021,OMP
32,16,0.000534,0.000021,OMP
33,16,0.000640,0.000022,OMP
33,16,0.000595,0.000021,OMP
33,16,0.000595,0.000037,OMP
33,16,0.000835,0.000035,OMP
33,16,0.000582,0.000026,OMP
34,16,0.000705,0.000024,OMP
34,16,0.000611,0.000027,OMP
34,16,0.000614,0.000026,OMP
34,16,0.000624,0.000020,OMP
34,16,0.001160,0.000026,OMP
35,16,0.000665,0.000023,OMP
35,16,0.000584,0.000026,OMP
35,16,0.000638,0.000023,OMP
35,16,0.000600,0.000027,OMP
35,16,0.000640,0.000021,OMP
36,16,0.001300,0.000027,OMP
36,16,0.000612,0.000021,OMP
36,16,0.000616,0.000024,OMP
36,16,0.000613,0.000022,OMP
36,16,0.000594,0.000022,OMP
37,16,0.000674,0.000027,OMP
37,16,0.001329,0.000025,OMP
37,16,0.000625,0.000025,OMP
37,16,0.000623,0.000023,OMP
37,16,0.000622,0.000024,OMP
38,16,0.001352,0.000020,OMP
38,16,0.000677,0.000027,OMP
38,16,0.001066,0.000026,OMP
38,16,0.000655,0.000019,OMP
38,16,0.001026,0.000026,OMP
39,16,0.000740,0.000027,OMP
39,16,0.001016,0.000024,OMP
39,16,0.000665,0.000028,OMP
39,16,0.000658,0.000028,OMP
39,16,0.000680,0.000025,OMP
40,16,0.000648,0.000023,OMP
40,16,0.000736,0.000028,OMP
40,16,0.001016,0.000022,OMP
40,16,0.000664,0.000023,OMP
40,16,0.000665,0.000023,OMP
41,16,0.000672,0.000024,OMP
41,16,0.000741,0.000023,OMP
41,16,0.000675,0.000023,OMP
41,16,0.000770,0.000024,OMP
41,16,0.000708,0.000031,OMP
42,16,0.000831,0.000027,OMP
42,16,0.000750,0.000038,OMP
42,16,0.000703,0.000028,OMP
42,16,0.000712,0.000037,OMP
42,16,0.001011,0.000028,OMP
43,16,0.000795,0.000033,OMP
43,16,0.001377,0.000030,OMP
43,16,0.000701,0.000025,OMP
43,16,0.000776,0.000026,OMP
43,16,0.000703,0.000027,OMP
44,16,0.000743,0.000028,OMP
44,16,0.000749,0.000027,OMP
44,16,0.000722,0.000026,OMP
44,16,0.000727,0.000033,OMP
44,16,0.000728,0.000025,OMP
45,16,0.000822,0.000027,OMP
45,16,0.001334,0.000027,OMP
45,16,0.000756,0.000039,OMP
45,16,0.001403,0.000033,OMP
45,16,0.000771,0.000035,OMP
46,16,0.001518,0.000031,OMP
46,16,0.000829,0.000026,OMP
46,16,0.000743,0.000026,OMP
46,16,0.000761,0.000034,OMP
46,16,0.001133,0.000027,OMP
47,16,0.000845,0.000024,OMP
47,16,0.001188,0.000033,OMP
47,16,0.000774,0.000026,OMP
47,16,0.000844,0.000039,OMP
47,16,0.000766,0.000027,OMP
48,16,0.000825,0.000027,OMP
48,16,0.000856,0.000026,OMP
48,16,0.000838,0.000036,OMP
48,16,0.000828,0.000022,OMP
48,16,0.001089,0.000027,OMP
49,16,0.000982,0.000026,OMP
49,16,0.001018,0.000025,OMP
49,16,0.000885,0.000030,OMP
49,16,0.000842,0.000027,OMP
49,16,0.000890,0.000026,OMP
50,16,0.001232,0.000029,OMP
50,16,0.000831,0.000031,OMP
50,16,0.000823,0.000029,OMP
50,16,0.000894,0.000041,OMP
50,16,0.000988,0.000030,OMP
51,16,0.000876,0.000028,OMP
51,16,0.001397,0.000032,OMP
51,16,0.000927,0.000031,OMP
51,16,0.000914,0.000038,OMP
51,16,0.000938,0.000038,OMP
52,16,0.000909,0.000033,OMP
52,16,0.000858,0.000031,OMP
52,16,0.000886,0.000027,OMP
52,16,0.000957,0.000026,OMP
52,16,0.001263,0.000028,OMP
53,16,0.001026,0.000029,OMP
53,16,0.000950,0.000036,OMP
53,16,0.000880,0.000033,OMP
53,16,0.001001,0.000032,OMP
53,16,0.000917,0.000033,OMP
54,16,0.000910,0.000045,OMP
54,16,0.000915,0.000044,OMP
54,16,0.001279,0.000028,OMP
54,16,0.001002,0.000064,OMP
54,16,0.001529,0.000035,OMP
55,16,0.000955,0.000039,OMP
55,16,0.001637,0.000035,OMP
55,16,0.000991,0.000026,OMP
55,16,0.001211,0.000031,OMP
55,16,0.000997,0.000031,OMP
56,16,0.001726,0.000041,OMP
56,16,0.000946,0.000034,OMP
56,16,0.001045,0.000041,OMP
56,16,0.000963,0.000041,OMP
56,16,0.001572,0.000031,OMP
57,16,0.001061,0.000051,OMP
57,16,0.001010,0.000034,OMP
57,16,0.000953,0.000037,OMP
57,16,0.001188,0.000031,OMP
57,16,0.001020,0.000034,OMP
58,16,0.001040,0.000057,OMP
58,16,0.000992,0.000029,OMP
58,16,0.000966,0.000038,OMP
58,16,0.001061,0.000028,OMP
58,16,0.000976,0.000034,OMP
59,16,0.000992,0.000043,OMP
59,16,0.001146,0.000035,OMP
59,16,0.000986,0.000039,OMP
59,16,0.001362,0.000037,OMP
59,16,0.001210,0.000033,OMP
60,16,0.001045,0.000040,OMP
60,16,0.001310,0.000036,OMP
60,16,0.001027,0.000029,OMP
60,16,0.001092,0.000031,OMP
60,16,0.001864,0.000042,OMP
61,16,0.001045,0.000032,OMP
61,16,0.001030,0.000042,OMP
61,16,0.001033,0.000046,OMP
61,16,0.001910,0.000039,OMP
61,16,0.001663,0.000031,OMP
62,16,0.001400,0.000033,OMP
