Threads/Proc,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,16,SEQ,1e-06,4e-07
1,16,OMP,2.26e-05,3.4e-06
2,16,OMP,8.76e-05,9.400000000000001e-06
3,16,OMP,0.0001036,1.28e-05
4,16,OMP,0.0001242,1.32e-05
5,16,OMP,0.00016580000000000002,1.4400000000000001e-05
6,16,OMP,0.0001702,1.34e-05
7,16,OMP,0.0002016,1.3000000000000001e-05
8,16,OMP,0.00019520000000000003,1.5000000000000002e-05
9,16,OMP,0.00019319999999999998,1.4199999999999998e-05
10,16,OMP,0.0002144,1.4200000000000001e-05
11,16,OMP,0.0002222,1.4599999999999999e-05
12,16,OMP,0.00023700000000000001,1.5000000000000002e-05
13,16,OMP,0.00033720000000000006,1.4400000000000001e-05
14,16,OMP,0.00029820000000000004,1.56e-05
15,16,OMP,0.0002784,1.72e-05
16,16,OMP,0.0003548,1.5799999999999998e-05
17,16,OMP,0.0004295999999999999,1.74e-05
18,16,OMP,0.0004234,1.7800000000000002e-05
19,16,OMP,0.0003578,1.98e-05
20,16,OMP,0.000436,1.98e-05
21,16,OMP,0.000475,2.0599999999999996e-05
22,16,OMP,0.0004092,2e-05
23,16,OMP,0.00044859999999999995,1.92e-05
24,16,OMP,0.0005132,2.1799999999999998e-05
25,16,OMP,0.0006207999999999999,2.52e-05
26,16,OMP,0.00064,2.0200000000000003e-05
27,16,OMP,0.0004947999999999999,2.1000000000000002e-05
28,16,OMP,0.0005806,1.96e-05
29,16,OMP,0.0007724,1.98e-05
30,16,OMP,0.0006907999999999999,2.2999999999999997e-05
31,16,OMP,0.000552,2.34e-05
32,16,OMP,0.0005488,2.38e-05
33,16,OMP,0.0006494,2.8199999999999998e-05
34,16,OMP,0.0007428,2.46e-05
35,16,OMP,0.0006254,2.4e-05
36,16,OMP,0.0007469999999999999,2.32e-05
37,16,OMP,0.0007746000000000001,2.48e-05
38,16,OMP,0.0009552,2.3600000000000004e-05
39,16,OMP,0.0007518000000000001,2.64e-05
40,16,OMP,0.0007458000000000001,2.3800000000000003e-05
41,16,OMP,0.0007132,2.5e-05
42,16,OMP,0.0008014000000000001,3.16e-05
43,16,OMP,0.0008704,2.82e-05
44,16,OMP,0.0007338,2.7800000000000005e-05
45,16,OMP,0.0010171999999999998,3.2200000000000003e-05
46,16,OMP,0.0009968,2.8800000000000002e-05
47,16,OMP,0.0008834,2.9800000000000003e-05
48,16,OMP,0.0008872000000000001,2.76e-05
49,16,OMP,0.0009233999999999999,2.68e-05
50,16,OMP,0.0009536,3.2e-05
51,16,OMP,0.0010103999999999998,3.34e-05
52,16,OMP,0.0009745999999999999,2.9000000000000007e-05
53,16,OMP,0.0009548000000000001,3.26e-05
54,16,OMP,0.001127,4.32e-05
55,16,OMP,0.0011581999999999999,3.2399999999999995e-05
56,16,OMP,0.0012504,3.76e-05
57,16,OMP,0.0010463999999999998,3.74e-05
58,16,OMP,0.001007,3.7199999999999996e-05
59,16,OMP,0.0011392000000000002,3.74e-05
60,16,OMP,0.0012676,3.56e-05
61,16,OMP,0.0013361999999999998,3.7999999999999995e-05
62,16,OMP,0.0012844000000000002,4.1400000000000003e-05
63,16,OMP,0.0013362,4.24e-05
64,16,OMP,0.0014075999999999997,3.48e-05
65,16,OMP,0.0015238,3.94e-05
66,16,OMP,0.0014533999999999999,3.539999999999999e-05
67,16,OMP,0.0012798,4.1e-05
68,16,OMP,0.0013592,4.14e-05
69,16,OMP,0.0015926,4.14e-05
70,16,OMP,0.0012205999999999999,4.62e-05
71,16,OMP,0.0013180000000000002,4.2000000000000004e-05
72,16,OMP,0.0013852,4.54e-05
73,16,OMP,0.001539,4.1599999999999995e-05
74,16,OMP,0.0015068,4.98e-05
75,16,OMP,0.0013062,4.039999999999999e-05
76,16,OMP,0.0015012,4.44e-05
77,16,OMP,0.0015298,4.22e-05
