Processes,Dim,CheckSym,MatTranspose,Version
1,16,0.000020,0.000003,OMP
1,16,0.000019,0.000002,OMP
1,16,0.000015,0.000002,OMP
1,16,0.000016,0.000002,OMP
1,16,0.000015,0.000002,OMP
2,32,0.000182,0.000020,OMP
2,32,0.000122,0.000020,OMP
2,32,0.000140,0.000019,OMP
2,32,0.000139,0.000019,OMP
2,32,0.000130,0.000020,OMP
4,64,0.000230,0.000046,OMP
4,64,0.000125,0.000040,OMP
4,64,0.000137,0.000040,OMP
4,64,0.000118,0.000040,OMP
4,64,0.000122,0.000034,OMP
8,128,0.000267,0.000090,OMP
8,128,0.000211,0.000089,OMP
8,128,0.000215,0.000091,OMP
8,128,0.000202,0.000107,OMP
8,128,0.000209,0.000101,OMP
16,256,0.000422,0.000183,OMP
16,256,0.000378,0.000215,OMP
16,256,0.000351,0.000194,OMP
16,256,0.000396,0.000242,OMP
16,256,0.000364,0.000218,OMP
32,512,0.000823,0.000468,OMP
32,512,0.000681,0.000547,OMP
32,512,0.000760,0.000517,OMP
32,512,0.000759,0.000617,OMP
32,512,0.000739,0.000529,OMP
64,1024,0.001656,0.002011,OMP
64,1024,0.001950,0.001942,OMP
64,1024,0.001674,0.001966,OMP
64,1024,0.001689,0.002395,OMP
64,1024,0.001735,0.001929,OMP
1,16,0.000026,0.000001,MPI DT
1,16,0.000017,0.000001,MPI DT
1,16,0.000026,0.000001,MPI DT
1,16,0.000352,0.000001,MPI DT
1,16,0.000020,0.000001,MPI DT
2,32,0.000519,0.000039,MPI DT
2,32,0.000825,0.000033,MPI DT
2,32,0.000588,0.000035,MPI DT
2,32,0.000047,0.000034,MPI DT
2,32,0.000398,0.000040,MPI DT
4,64,0.000453,0.000080,MPI DT
4,64,0.000614,0.000059,MPI DT
4,64,0.000266,0.000070,MPI DT
4,64,0.000532,0.000056,MPI DT
4,64,0.000295,0.000071,MPI DT
8,128,0.000692,0.000145,MPI DT
8,128,0.000671,0.000139,MPI DT
8,128,0.000786,0.000132,MPI DT
8,128,0.000822,0.000135,MPI DT
8,128,0.000404,0.000131,MPI DT
16,256,0.001408,0.000591,MPI DT
16,256,0.001300,0.000513,MPI DT
16,256,0.001206,0.000567,MPI DT
16,256,0.001310,0.000545,MPI DT
16,256,0.001271,0.000553,MPI DT
32,512,0.004193,0.004252,MPI DT
32,512,0.003985,0.004086,MPI DT
32,512,0.003917,0.003686,MPI DT
32,512,0.004079,0.003867,MPI DT
32,512,0.004018,0.003962,MPI DT
64,1024,0.010470,0.013109,MPI DT
64,1024,0.010733,0.015349,MPI DT
64,1024,0.011090,0.016992,MPI DT
64,1024,0.010295,0.016811,MPI DT
64,1024,0.010374,0.015726,MPI DT
1,32,0.000054,0.000005,OMP
1,32,0.000055,0.000015,OMP
1,32,0.000059,0.000015,OMP
1,32,0.000017,0.000005,OMP
1,32,0.000050,0.000015,OMP
2,64,0.000212,0.000057,OMP
2,64,0.000153,0.000033,OMP
2,64,0.000205,0.000059,OMP
2,64,0.000132,0.000039,OMP
2,64,0.000144,0.000041,OMP
4,128,0.000298,0.000114,OMP
4,128,0.000168,0.000118,OMP
4,128,0.000271,0.000108,OMP
4,128,0.000238,0.000118,OMP
4,128,0.000285,0.000117,OMP
8,256,0.000330,0.000197,OMP
8,256,0.000327,0.000231,OMP
8,256,0.000269,0.000269,OMP
8,256,0.000276,0.000233,OMP
8,256,0.000283,0.000247,OMP
16,512,0.000612,0.000598,OMP
16,512,0.000516,0.000781,OMP
16,512,0.000507,0.000655,OMP
16,512,0.000570,0.000618,OMP
16,512,0.000554,0.000630,OMP
32,1024,0.001088,0.002028,OMP
32,1024,0.001190,0.002136,OMP
32,1024,0.001107,0.002061,OMP
32,1024,0.001200,0.001949,OMP
32,1024,0.001193,0.002036,OMP
64,2048,0.002934,0.007475,OMP
64,2048,0.002826,0.006337,OMP
64,2048,0.002803,0.006395,OMP
64,2048,0.002637,0.006885,OMP
64,2048,0.002489,0.006979,OMP
1,32,0.000032,0.000004,MPI DT
1,32,0.000021,0.000002,MPI DT
1,32,0.000029,0.000004,MPI DT
1,32,0.000021,0.000002,MPI DT
1,32,0.000021,0.000002,MPI DT
2,64,0.000957,0.000069,MPI DT
2,64,0.000069,0.000058,MPI DT
2,64,0.000096,0.000060,MPI DT
2,64,0.000082,0.000059,MPI DT
2,64,0.000069,0.000058,MPI DT
4,128,0.000317,0.000118,MPI DT
4,128,0.000914,0.000148,MPI DT
4,128,0.000303,0.000128,MPI DT
4,128,0.001193,0.000141,MPI DT
4,128,0.000296,0.000166,MPI DT
8,256,0.001040,0.000495,MPI DT
8,256,0.000917,0.000465,MPI DT
8,256,0.000879,0.000487,MPI DT
8,256,0.001047,0.000514,MPI DT
8,256,0.000930,0.000425,MPI DT
16,512,0.002344,0.003096,MPI DT
16,512,0.002286,0.003091,MPI DT
16,512,0.002692,0.003337,MPI DT
16,512,0.002437,0.003144,MPI DT
16,512,0.002594,0.003086,MPI DT
32,1024,0.008646,0.011666,MPI DT
32,1024,0.008300,0.011526,MPI DT
32,1024,0.008571,0.011672,MPI DT
32,1024,0.008277,0.010889,MPI DT
32,1024,0.008200,0.011338,MPI DT
64,2048,0.038247,0.054210,MPI DT
64,2048,0.035713,0.050803,MPI DT
64,2048,0.037301,0.051870,MPI DT
64,2048,0.033908,0.050552,MPI DT
64,2048,0.036495,0.054494,MPI DT
1,64,0.000034,0.000020,OMP
1,64,0.000038,0.000021,OMP
1,64,0.000031,0.000017,OMP
1,64,0.000033,0.000018,OMP
1,64,0.000031,0.000017,OMP
2,128,0.000142,0.000108,OMP
2,128,0.000201,0.000117,OMP
2,128,0.000140,0.000158,OMP
2,128,0.000130,0.000112,OMP
2,128,0.000249,0.000214,OMP
4,256,0.000369,0.000375,OMP
4,256,0.000308,0.000318,OMP
4,256,0.000359,0.000335,OMP
4,256,0.000249,0.000302,OMP
4,256,0.000355,0.000346,OMP
8,512,0.000702,0.000740,OMP
8,512,0.000553,0.000918,OMP
8,512,0.000574,0.000767,OMP
8,512,0.000518,0.000765,OMP
8,512,0.000532,0.000798,OMP
16,1024,0.001050,0.002518,OMP
16,1024,0.001313,0.002460,OMP
16,1024,0.000916,0.002313,OMP
16,1024,0.001096,0.002242,OMP
16,1024,0.000984,0.002321,OMP
32,2048,0.002174,0.007129,OMP
32,2048,0.002160,0.006904,OMP
32,2048,0.002236,0.007053,OMP
32,2048,0.002190,0.006944,OMP
32,2048,0.002160,0.007369,OMP
64,4096,0.006697,0.024025,OMP
64,4096,0.006291,0.024031,OMP
64,4096,0.006514,0.023858,OMP
64,4096,0.006593,0.023860,OMP
64,4096,0.006949,0.022953,OMP
1,64,0.000042,0.000015,MPI DT
1,64,0.000036,0.000014,MPI DT
1,64,0.000032,0.000013,MPI DT
1,64,0.000029,0.000013,MPI DT
1,64,0.000032,0.000011,MPI DT
2,128,0.000439,0.000134,MPI DT
2,128,0.000191,0.000113,MPI DT
2,128,0.000618,0.000118,MPI DT
2,128,0.000192,0.000116,MPI DT
2,128,0.000260,0.000109,MPI DT
4,256,0.000835,0.000560,MPI DT
4,256,0.000691,0.000537,MPI DT
4,256,0.000674,0.000497,MPI DT
4,256,0.000706,0.000514,MPI DT
4,256,0.000810,0.000541,MPI DT
8,512,0.002450,0.002309,MPI DT
8,512,0.002036,0.002017,MPI DT
8,512,0.002122,0.002144,MPI DT
8,512,0.001894,0.002110,MPI DT
8,512,0.002085,0.002056,MPI DT
16,1024,0.007253,0.009736,MPI DT
16,1024,0.006894,0.009853,MPI DT
16,1024,0.006727,0.009135,MPI DT
16,1024,0.006954,0.008524,MPI DT
16,1024,0.006921,0.009228,MPI DT
32,2048,0.034657,0.036530,MPI DT
32,2048,0.030304,0.034428,MPI DT
32,2048,0.032699,0.035548,MPI DT
32,2048,0.032412,0.036941,MPI DT
32,2048,0.032533,0.034747,MPI DT
64,4096,0.158147,0.183752,MPI DT
64,4096,0.160318,0.176779,MPI DT
64,4096,0.152632,0.178671,MPI DT
64,4096,0.155949,0.175993,MPI DT
64,4096,0.141203,0.153015,MPI DT
1,128,0.000263,0.000211,OMP
1,128,0.000088,0.000077,OMP
1,128,0.000089,0.000072,OMP
1,128,0.000265,0.000067,OMP
1,128,0.000123,0.000065,OMP
2,256,0.000317,0.000410,OMP
2,256,0.000250,0.000386,OMP
2,256,0.000377,0.000491,OMP
2,256,0.000364,0.000501,OMP
2,256,0.000336,0.000400,OMP
4,512,0.000762,0.001095,OMP
4,512,0.000580,0.001095,OMP
4,512,0.000746,0.001065,OMP
4,512,0.000800,0.001115,OMP
4,512,0.000975,0.001177,OMP
8,1024,0.001239,0.003283,OMP
8,1024,0.001545,0.003024,OMP
8,1024,0.001387,0.003309,OMP
8,1024,0.001381,0.003063,OMP
8,1024,0.001348,0.003304,OMP
16,2048,0.002615,0.008828,OMP
16,2048,0.002753,0.008825,OMP
16,2048,0.002628,0.008619,OMP
16,2048,0.002542,0.008578,OMP
16,2048,0.002742,0.009035,OMP
32,4096,0.006510,0.028884,OMP
32,4096,0.006482,0.026934,OMP
32,4096,0.006650,0.026656,OMP
32,4096,0.006482,0.027648,OMP
32,4096,0.006747,0.028518,OMP
1,128,0.000070,0.000068,MPI DT
1,128,0.000062,0.000062,MPI DT
1,128,0.000076,0.000086,MPI DT
1,128,0.000065,0.000066,MPI DT
1,128,0.000062,0.000071,MPI DT
2,256,0.001282,0.000443,MPI DT
2,256,0.000396,0.000382,MPI DT
2,256,0.000468,0.000443,MPI DT
2,256,0.000394,0.000376,MPI DT
2,256,0.000423,0.000377,MPI DT
4,512,0.001766,0.001994,MPI DT
4,512,0.001533,0.002098,MPI DT
4,512,0.001741,0.001941,MPI DT
4,512,0.001504,0.001883,MPI DT
4,512,0.001572,0.001920,MPI DT
8,1024,0.007225,0.008556,MPI DT
8,1024,0.006672,0.007701,MPI DT
8,1024,0.005944,0.008013,MPI DT
8,1024,0.006541,0.008283,MPI DT
8,1024,0.005793,0.007695,MPI DT
16,2048,0.034903,0.031143,MPI DT
16,2048,0.032572,0.031654,MPI DT
16,2048,0.029897,0.030581,MPI DT
16,2048,0.031951,0.030926,MPI DT
16,2048,0.032748,0.027699,MPI DT
32,4096,0.136760,0.119465,MPI DT
32,4096,0.146824,0.126620,MPI DT
32,4096,0.138820,0.123122,MPI DT
