Processes,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,scaling_RollingMean_MatTranspose,scaling_RollingMean_CheckSym
1,16,OMP,1.7e-05,2.2e-06,1.0,1.0
2,32,OMP,0.0001426,1.9600000000000002e-05,0.11224489795918367,0.11921458625525946
4,64,OMP,0.00014640000000000006,4e-05,0.055,0.11612021857923492
8,128,OMP,0.00022080000000000003,9.559999999999999e-05,0.023012552301255235,0.0769927536231884
16,256,OMP,0.0003822,0.00021040000000000005,0.010456273764258553,0.044479330193615906
32,512,OMP,0.0007524000000000001,0.0005356,0.004107542942494399,0.022594364699627854
64,1024,OMP,0.0017408,0.0020486,0.001073904129649517,0.009765625
1,16,MPI DT,8.82e-05,1e-06,1.0,1.0
2,32,MPI DT,0.0004754000000000001,3.6200000000000006e-05,0.02762430939226519,0.18552797644089183
4,64,MPI DT,0.00043200000000000004,6.720000000000001e-05,0.014880952380952378,0.20416666666666666
8,128,MPI DT,0.0006749999999999999,0.0001364,0.007331378299120234,0.13066666666666668
16,256,MPI DT,0.0012989999999999998,0.0005537999999999999,0.001805706031058144,0.0678983833718245
32,512,MPI DT,0.0040384,0.0039705999999999995,0.00025185110562635373,0.021840332805071316
64,1024,MPI DT,0.0105924,0.015597400000000003,6.411324964417145e-05,0.008326724821570182
1,32,OMP,4.7e-05,1.1e-05,1.0,1.0
2,64,OMP,0.0001692,4.58e-05,0.24017467248908295,0.2777777777777778
4,128,OMP,0.00025199999999999995,0.00011499999999999999,0.09565217391304348,0.18650793650793654
8,256,OMP,0.000297,0.00023540000000000006,0.04672897196261681,0.15824915824915822
16,512,OMP,0.0005518000000000001,0.0006564,0.01675807434491164,0.08517578832910473
32,1024,OMP,0.0011556,0.0020419999999999995,0.005386875612144957,0.04067151263412946
64,2048,OMP,0.0027378,0.006814199999999999,0.0016142760705585397,0.01716706844911973
1,32,MPI DT,2.48e-05,2.7999999999999994e-06,1.0,1.0
2,64,MPI DT,0.0002546,6.08e-05,0.04605263157894736,0.0974076983503535
4,128,MPI DT,0.0006046000000000001,0.0001402,0.01997146932952924,0.04101885544161429
8,256,MPI DT,0.0009626,0.0004772,0.005867560771165129,0.02576355703303553
