Processes,Dim,CheckSym,MatTranspose,Version
1,16,-42.000000,0.000005,MPI BB
1,16,-42.000000,0.000004,MPI BB
1,16,-42.000000,0.000004,MPI BB
1,16,-42.000000,0.000006,MPI BB
1,16,-42.000000,0.000004,MPI BB
4,16,-42.000000,0.000431,MPI BB
4,16,-42.000000,0.000353,MPI BB
4,16,-42.000000,0.000437,MPI BB
4,16,-42.000000,0.000783,MPI BB
4,16,-42.000000,0.000500,MPI BB
16,16,-42.000000,0.000574,MPI BB
16,16,-42.000000,0.000546,MPI BB
16,16,-42.000000,0.000639,MPI BB
16,16,-42.000000,0.000671,MPI BB
16,16,-42.000000,0.000640,MPI BB
1,16,-42.000000,0.000184,MPI BDV
1,16,-42.000000,0.000160,MPI BDV
1,16,-42.000000,0.000168,MPI BDV
1,16,-42.000000,0.000147,MPI BDV
1,16,-42.000000,0.000147,MPI BDV
4,16,-42.000000,0.000877,MPI BDV
4,16,-42.000000,0.000209,MPI BDV
4,16,-42.000000,0.000645,MPI BDV
4,16,-42.000000,0.000870,MPI BDV
4,16,-42.000000,0.000384,MPI BDV
16,16,-42.000000,0.000763,MPI BDV
16,16,-42.000000,0.000565,MPI BDV
16,16,-42.000000,0.000591,MPI BDV
16,16,-42.000000,0.000689,MPI BDV
16,16,-42.000000,0.000719,MPI BDV
1,16,-42.000000,0.000020,MPI BNVD
1,16,-42.000000,0.000015,MPI BNVD
1,16,-42.000000,0.000015,MPI BNVD
1,16,-42.000000,0.000015,MPI BNVD
1,16,-42.000000,0.000015,MPI BNVD
4,16,-42.000000,0.000248,MPI BNVD
4,16,-42.000000,0.000103,MPI BNVD
4,16,-42.000000,0.000532,MPI BNVD
4,16,-42.000000,0.000861,MPI BNVD
4,16,-42.000000,0.000252,MPI BNVD
16,16,-42.000000,0.000295,MPI BNVD
16,16,-42.000000,0.000095,MPI BNVD
16,16,-42.000000,0.000222,MPI BNVD
16,16,-42.000000,0.000719,MPI BNVD
16,16,-42.000000,0.000234,MPI BNVD
1,16,-42.000000,0.000034,MPI BOD
1,16,-42.000000,0.000027,MPI BOD
1,16,-42.000000,0.000025,MPI BOD
1,16,-42.000000,0.000025,MPI BOD
1,16,-42.000000,0.000025,MPI BOD
4,16,-42.000000,0.000626,MPI BOD
4,16,-42.000000,0.000879,MPI BOD
4,16,-42.000000,0.000083,MPI BOD
4,16,-42.000000,0.000082,MPI BOD
4,16,-42.000000,0.000085,MPI BOD
16,16,-42.000000,0.000173,MPI BOD
16,16,-42.000000,0.000187,MPI BOD
16,16,-42.000000,0.000319,MPI BOD
16,16,-42.000000,0.000275,MPI BOD
16,16,-42.000000,0.000644,MPI BOD
1,32,-42.000000,0.000010,MPI BB
1,32,-42.000000,0.000010,MPI BB
1,32,-42.000000,0.000009,MPI BB
1,32,-42.000000,0.000009,MPI BB
1,32,-42.000000,0.000010,MPI BB
4,32,-42.000000,0.000565,MPI BB
4,32,-42.000000,0.000794,MPI BB
4,32,-42.000000,0.000585,MPI BB
4,32,-42.000000,0.000127,MPI BB
4,32,-42.000000,0.000725,MPI BB
16,32,-42.000000,0.001081,MPI BB
16,32,-42.000000,0.000855,MPI BB
16,32,-42.000000,0.000632,MPI BB
16,32,-42.000000,0.000694,MPI BB
16,32,-42.000000,0.000678,MPI BB
1,32,-42.000000,0.000186,MPI BDV
1,32,-42.000000,0.000166,MPI BDV
1,32,-42.000000,0.000160,MPI BDV
1,32,-42.000000,0.000170,MPI BDV
1,32,-42.000000,0.000150,MPI BDV
4,32,-42.000000,0.000259,MPI BDV
4,32,-42.000000,0.000427,MPI BDV
4,32,-42.000000,0.000779,MPI BDV
4,32,-42.000000,0.000605,MPI BDV
4,32,-42.000000,0.000240,MPI BDV
16,32,-42.000000,0.000861,MPI BDV
16,32,-42.000000,0.001446,MPI BDV
16,32,-42.000000,0.000926,MPI BDV
16,32,-42.000000,0.000746,MPI BDV
16,32,-42.000000,0.000644,MPI BDV
1,32,-42.000000,0.000032,MPI BNVD
1,32,-42.000000,0.000026,MPI BNVD
1,32,-42.000000,0.000028,MPI BNVD
1,32,-42.000000,0.000025,MPI BNVD
1,32,-42.000000,0.000025,MPI BNVD
4,32,-42.000000,0.000820,MPI BNVD
4,32,-42.000000,0.000776,MPI BNVD
4,32,-42.000000,0.000085,MPI BNVD
4,32,-42.000000,0.000628,MPI BNVD
4,32,-42.000000,0.000416,MPI BNVD
16,32,-42.000000,0.000328,MPI BNVD
16,32,-42.000000,0.000123,MPI BNVD
16,32,-42.000000,0.000343,MPI BNVD
16,32,-42.000000,0.000177,MPI BNVD
16,32,-42.000000,0.000333,MPI BNVD
1,32,-42.000000,0.000039,MPI BOD
1,32,-42.000000,0.000032,MPI BOD
1,32,-42.000000,0.000033,MPI BOD
1,32,-42.000000,0.000032,MPI BOD
1,32,-42.000000,0.000032,MPI BOD
4,32,-42.000000,0.000588,MPI BOD
4,32,-42.000000,0.000760,MPI BOD
4,32,-42.000000,0.000093,MPI BOD
4,32,-42.000000,0.000667,MPI BOD
4,32,-42.000000,0.000093,MPI BOD
16,32,-42.000000,0.000853,MPI BOD
16,32,-42.000000,0.001069,MPI BOD
16,32,-42.000000,0.000741,MPI BOD
16,32,-42.000000,0.000393,MPI BOD
16,32,-42.000000,0.000170,MPI BOD
1,64,-42.000000,0.000032,MPI BB
1,64,-42.000000,0.000035,MPI BB
1,64,-42.000000,0.000037,MPI BB
1,64,-42.000000,0.000035,MPI BB
1,64,-42.000000,0.000035,MPI BB
4,64,-42.000000,0.000520,MPI BB
4,64,-42.000000,0.000971,MPI BB
4,64,-42.000000,0.000493,MPI BB
4,64,-42.000000,0.000345,MPI BB
4,64,-42.000000,0.000510,MPI BB
16,64,-42.000000,0.000980,MPI BB
16,64,-42.000000,0.001041,MPI BB
16,64,-42.000000,0.000947,MPI BB
16,64,-42.000000,0.000896,MPI BB
16,64,-42.000000,0.001034,MPI BB
64,64,-42.000000,0.002174,MPI BB
64,64,-42.000000,0.002108,MPI BB
64,64,-42.000000,0.002148,MPI BB
64,64,-42.000000,0.002086,MPI BB
64,64,-42.000000,0.002054,MPI BB
1,64,-42.000000,0.000201,MPI BDV
1,64,-42.000000,0.000175,MPI BDV
1,64,-42.000000,0.000188,MPI BDV
1,64,-42.000000,0.000169,MPI BDV
1,64,-42.000000,0.000165,MPI BDV
4,64,-42.000000,0.000204,MPI BDV
4,64,-42.000000,0.001183,MPI BDV
4,64,-42.000000,0.000372,MPI BDV
4,64,-42.000000,0.001323,MPI BDV
4,64,-42.000000,0.000283,MPI BDV
16,64,-42.000000,0.000939,MPI BDV
16,64,-42.000000,0.000754,MPI BDV
16,64,-42.000000,0.000640,MPI BDV
16,64,-42.000000,0.000759,MPI BDV
16,64,-42.000000,0.000568,MPI BDV
64,64,-42.000000,0.001482,MPI BDV
64,64,-42.000000,0.001018,MPI BDV
64,64,-42.000000,0.001230,MPI BDV
64,64,-42.000000,0.001348,MPI BDV
64,64,-42.000000,0.001663,MPI BDV
1,64,-42.000000,0.000080,MPI BNVD
1,64,-42.000000,0.000074,MPI BNVD
1,64,-42.000000,0.000092,MPI BNVD
1,64,-42.000000,0.000079,MPI BNVD
1,64,-42.000000,0.000084,MPI BNVD
4,64,-42.000000,0.000154,MPI BNVD
4,64,-42.000000,0.000662,MPI BNVD
4,64,-42.000000,0.000251,MPI BNVD
4,64,-42.000000,0.000147,MPI BNVD
4,64,-42.000000,0.000734,MPI BNVD
16,64,-42.000000,0.000240,MPI BNVD
16,64,-42.000000,0.000728,MPI BNVD
16,64,-42.000000,0.000350,MPI BNVD
16,64,-42.000000,0.000323,MPI BNVD
16,64,-42.000000,0.000226,MPI BNVD
64,64,-42.000000,0.000739,MPI BNVD
64,64,-42.000000,0.000749,MPI BNVD
64,64,-42.000000,0.001072,MPI BNVD
64,64,-42.000000,0.002173,MPI BNVD
64,64,-42.000000,0.001115,MPI BNVD
1,64,-42.000000,0.000083,MPI BOD
1,64,-42.000000,0.000076,MPI BOD
1,64,-42.000000,0.000077,MPI BOD
1,64,-42.000000,0.000075,MPI BOD
1,64,-42.000000,0.000075,MPI BOD
4,64,-42.000000,0.000146,MPI BOD
4,64,-42.000000,0.000874,MPI BOD
4,64,-42.000000,0.000123,MPI BOD
4,64,-42.000000,0.000341,MPI BOD
4,64,-42.000000,0.000139,MPI BOD
16,64,-42.000000,0.000187,MPI BOD
16,64,-42.000000,0.000734,MPI BOD
16,64,-42.000000,0.000929,MPI BOD
16,64,-42.000000,0.000807,MPI BOD
16,64,-42.000000,0.000349,MPI BOD
64,64,-42.000000,0.001285,MPI BOD
64,64,-42.000000,0.001420,MPI BOD
64,64,-42.000000,0.001364,MPI BOD
64,64,-42.000000,0.001642,MPI BOD
64,64,-42.000000,0.001065,MPI BOD
1,128,-42.000000,0.000130,MPI BB
1,128,-42.000000,0.000127,MPI BB
1,128,-42.000000,0.000134,MPI BB
1,128,-42.000000,0.000129,MPI BB
1,128,-42.000000,0.000123,MPI BB
4,128,-42.000000,0.000873,MPI BB
4,128,-42.000000,0.000453,MPI BB
4,128,-42.000000,0.000765,MPI BB
4,128,-42.000000,0.000779,MPI BB
4,128,-42.000000,0.000971,MPI BB
16,128,-42.000000,0.001613,MPI BB
16,128,-42.000000,0.001698,MPI BB
16,128,-42.000000,0.001547,MPI BB
16,128,-42.000000,0.001810,MPI BB
16,128,-42.000000,0.001621,MPI BB
64,128,-42.000000,0.003804,MPI BB
64,128,-42.000000,0.004425,MPI BB
64,128,-42.000000,0.003955,MPI BB
64,128,-42.000000,0.003886,MPI BB
64,128,-42.000000,0.003881,MPI BB
1,128,-42.000000,0.000307,MPI BDV
1,128,-42.000000,0.000371,MPI BDV
1,128,-42.000000,0.000328,MPI BDV
1,128,-42.000000,0.000261,MPI BDV
1,128,-42.000000,0.000261,MPI BDV
4,128,-42.000000,0.000665,MPI BDV
4,128,-42.000000,0.000354,MPI BDV
4,128,-42.000000,0.000488,MPI BDV
4,128,-42.000000,0.000611,MPI BDV
4,128,-42.000000,0.000560,MPI BDV
16,128,-42.000000,0.000851,MPI BDV
16,128,-42.000000,0.000832,MPI BDV
16,128,-42.000000,0.000885,MPI BDV
16,128,-42.000000,0.000984,MPI BDV
16,128,-42.000000,0.000782,MPI BDV
64,128,-42.000000,0.001217,MPI BDV
64,128,-42.000000,0.000998,MPI BDV
64,128,-42.000000,0.001064,MPI BDV
64,128,-42.000000,0.001040,MPI BDV
64,128,-42.000000,0.001097,MPI BDV
1,128,-42.000000,0.000273,MPI BNVD
1,128,-42.000000,0.000262,MPI BNVD
1,128,-42.000000,0.000268,MPI BNVD
1,128,-42.000000,0.000259,MPI BNVD
1,128,-42.000000,0.000243,MPI BNVD
4,128,-42.000000,0.000423,MPI BNVD
4,128,-42.000000,0.000339,MPI BNVD
4,128,-42.000000,0.000335,MPI BNVD
4,128,-42.000000,0.000422,MPI BNVD
4,128,-42.000000,0.000368,MPI BNVD
16,128,-42.000000,0.000815,MPI BNVD
16,128,-42.000000,0.000711,MPI BNVD
16,128,-42.000000,0.000777,MPI BNVD
16,128,-42.000000,0.000483,MPI BNVD
16,128,-42.000000,0.000881,MPI BNVD
64,128,-42.000000,0.001193,MPI BNVD
64,128,-42.000000,0.001318,MPI BNVD
64,128,-42.000000,0.000854,MPI BNVD
64,128,-42.000000,0.000823,MPI BNVD
64,128,-42.000000,0.001728,MPI BNVD
1,128,-42.000000,0.000225,MPI BOD
1,128,-42.000000,0.000220,MPI BOD
1,128,-42.000000,0.000238,MPI BOD
1,128,-42.000000,0.000213,MPI BOD
1,128,-42.000000,0.000209,MPI BOD
4,128,-42.000000,0.000223,MPI BOD
4,128,-42.000000,0.000413,MPI BOD
4,128,-42.000000,0.000442,MPI BOD
4,128,-42.000000,0.000241,MPI BOD
4,128,-42.000000,0.000190,MPI BOD
16,128,-42.000000,0.000247,MPI BOD
16,128,-42.000000,0.000260,MPI BOD
16,128,-42.000000,0.000716,MPI BOD
16,128,-42.000000,0.000273,MPI BOD
16,128,-42.000000,0.000257,MPI BOD
64,128,-42.000000,0.001111,MPI BOD
64,128,-42.000000,0.000744,MPI BOD
64,128,-42.000000,0.001511,MPI BOD
64,128,-42.000000,0.001957,MPI BOD
64,128,-42.000000,0.001693,MPI BOD
1,256,-42.000000,0.000757,MPI BB
1,256,-42.000000,0.000705,MPI BB
1,256,-42.000000,0.000689,MPI BB
1,256,-42.000000,0.000715,MPI BB
1,256,-42.000000,0.000684,MPI BB
4,256,-42.000000,0.001444,MPI BB
4,256,-42.000000,0.001660,MPI BB
4,256,-42.000000,0.001523,MPI BB
4,256,-42.000000,0.001739,MPI BB
4,256,-42.000000,0.001472,MPI BB
16,256,-42.000000,0.002175,MPI BB
16,256,-42.000000,0.002133,MPI BB
16,256,-42.000000,0.002169,MPI BB
16,256,-42.000000,0.002153,MPI BB
16,256,-42.000000,0.002134,MPI BB
64,256,-42.000000,0.008615,MPI BB
64,256,-42.000000,0.007979,MPI BB
64,256,-42.000000,0.007493,MPI BB
64,256,-42.000000,0.006349,MPI BB
64,256,-42.000000,0.007120,MPI BB
1,256,-42.000000,0.000874,MPI BDV
1,256,-42.000000,0.000935,MPI BDV
1,256,-42.000000,0.000803,MPI BDV
1,256,-42.000000,0.000803,MPI BDV
1,256,-42.000000,0.000911,MPI BDV
4,256,-42.000000,0.000607,MPI BDV
4,256,-42.000000,0.000793,MPI BDV
4,256,-42.000000,0.000650,MPI BDV
4,256,-42.000000,0.000679,MPI BDV
4,256,-42.000000,0.000693,MPI BDV
16,256,-42.000000,0.001102,MPI BDV
16,256,-42.000000,0.001147,MPI BDV
16,256,-42.000000,0.001167,MPI BDV
16,256,-42.000000,0.000986,MPI BDV
16,256,-42.000000,0.001086,MPI BDV
64,256,-42.000000,0.001407,MPI BDV
64,256,-42.000000,0.001451,MPI BDV
64,256,-42.000000,0.001456,MPI BDV
64,256,-42.000000,0.001423,MPI BDV
64,256,-42.000000,0.001392,MPI BDV
1,256,-42.000000,0.001262,MPI BNVD
1,256,-42.000000,0.001269,MPI BNVD
1,256,-42.000000,0.001237,MPI BNVD
1,256,-42.000000,0.001294,MPI BNVD
1,256,-42.000000,0.001173,MPI BNVD
4,256,-42.000000,0.001199,MPI BNVD
4,256,-42.000000,0.001147,MPI BNVD
4,256,-42.000000,0.001070,MPI BNVD
4,256,-42.000000,0.001101,MPI BNVD
4,256,-42.000000,0.001099,MPI BNVD
16,256,-42.000000,0.001444,MPI BNVD
16,256,-42.000000,0.001380,MPI BNVD
16,256,-42.000000,0.001320,MPI BNVD
16,256,-42.000000,0.001427,MPI BNVD
16,256,-42.000000,0.001440,MPI BNVD
64,256,-42.000000,0.001906,MPI BNVD
64,256,-42.000000,0.001909,MPI BNVD
64,256,-42.000000,0.002131,MPI BNVD
64,256,-42.000000,0.001918,MPI BNVD
64,256,-42.000000,0.002327,MPI BNVD
1,256,-42.000000,0.001061,MPI BOD
1,256,-42.000000,0.001080,MPI BOD
1,256,-42.000000,0.001018,MPI BOD
1,256,-42.000000,0.000976,MPI BOD
1,256,-42.000000,0.001019,MPI BOD
4,256,-42.000000,0.000721,MPI BOD
4,256,-42.000000,0.000947,MPI BOD
4,256,-42.000000,0.000753,MPI BOD
4,256,-42.000000,0.000669,MPI BOD
4,256,-42.000000,0.000726,MPI BOD
16,256,-42.000000,0.000637,MPI BOD
16,256,-42.000000,0.000601,MPI BOD
16,256,-42.000000,0.000555,MPI BOD
16,256,-42.000000,0.000604,MPI BOD
16,256,-42.000000,0.000598,MPI BOD
64,256,-42.000000,0.002152,MPI BOD
64,256,-42.000000,0.001993,MPI BOD
64,256,-42.000000,0.000999,MPI BOD
64,256,-42.000000,0.001729,MPI BOD
64,256,-42.000000,0.001385,MPI BOD
1,512,-42.000000,0.004223,MPI BB
1,512,-42.000000,0.003933,MPI BB
1,512,-42.000000,0.003878,MPI BB
1,512,-42.000000,0.003913,MPI BB
1,512,-42.000000,0.003994,MPI BB
4,512,-42.000000,0.003796,MPI BB
4,512,-42.000000,0.003408,MPI BB
4,512,-42.000000,0.003374,MPI BB
4,512,-42.000000,0.003672,MPI BB
4,512,-42.000000,0.003645,MPI BB
16,512,-42.000000,0.006502,MPI BB
16,512,-42.000000,0.006485,MPI BB
16,512,-42.000000,0.006188,MPI BB
16,512,-42.000000,0.006371,MPI BB
16,512,-42.000000,0.006227,MPI BB
64,512,-42.000000,0.011832,MPI BB
64,512,-42.000000,0.011557,MPI BB
64,512,-42.000000,0.011575,MPI BB
64,512,-42.000000,0.011712,MPI BB
64,512,-42.000000,0.012056,MPI BB
1,512,-42.000000,0.003788,MPI BDV
1,512,-42.000000,0.003927,MPI BDV
1,512,-42.000000,0.003739,MPI BDV
1,512,-42.000000,0.003790,MPI BDV
1,512,-42.000000,0.003848,MPI BDV
4,512,-42.000000,0.002174,MPI BDV
4,512,-42.000000,0.002201,MPI BDV
4,512,-42.000000,0.002156,MPI BDV
4,512,-42.000000,0.001810,MPI BDV
4,512,-42.000000,0.001715,MPI BDV
16,512,-42.000000,0.002322,MPI BDV
16,512,-42.000000,0.002319,MPI BDV
16,512,-42.000000,0.002496,MPI BDV
16,512,-42.000000,0.002683,MPI BDV
16,512,-42.000000,0.002442,MPI BDV
64,512,-42.000000,0.002818,MPI BDV
64,512,-42.000000,0.002882,MPI BDV
64,512,-42.000000,0.002966,MPI BDV
64,512,-42.000000,0.002880,MPI BDV
64,512,-42.000000,0.002927,MPI BDV
1,512,-42.000000,0.006692,MPI BNVD
1,512,-42.000000,0.006275,MPI BNVD
1,512,-42.000000,0.007138,MPI BNVD
1,512,-42.000000,0.006305,MPI BNVD
1,512,-42.000000,0.006080,MPI BNVD
4,512,-42.000000,0.004072,MPI BNVD
4,512,-42.000000,0.004407,MPI BNVD
4,512,-42.000000,0.003851,MPI BNVD
4,512,-42.000000,0.004595,MPI BNVD
4,512,-42.000000,0.003753,MPI BNVD
16,512,-42.000000,0.004357,MPI BNVD
16,512,-42.000000,0.004653,MPI BNVD
16,512,-42.000000,0.004620,MPI BNVD
16,512,-42.000000,0.004236,MPI BNVD
16,512,-42.000000,0.004371,MPI BNVD
64,512,-42.000000,0.005274,MPI BNVD
64,512,-42.000000,0.005693,MPI BNVD
64,512,-42.000000,0.005172,MPI BNVD
64,512,-42.000000,0.005374,MPI BNVD
64,512,-42.000000,0.005458,MPI BNVD
1,512,-42.000000,0.005036,MPI BOD
1,512,-42.000000,0.005362,MPI BOD
1,512,-42.000000,0.005087,MPI BOD
1,512,-42.000000,0.005202,MPI BOD
1,512,-42.000000,0.004954,MPI BOD
4,512,-42.000000,0.002475,MPI BOD
4,512,-42.000000,0.002458,MPI BOD
4,512,-42.000000,0.002198,MPI BOD
4,512,-42.000000,0.002526,MPI BOD
4,512,-42.000000,0.002245,MPI BOD
16,512,-42.000000,0.002738,MPI BOD
16,512,-42.000000,0.003053,MPI BOD
16,512,-42.000000,0.003121,MPI BOD
16,512,-42.000000,0.003175,MPI BOD
16,512,-42.000000,0.003036,MPI BOD
64,512,-42.000000,0.002575,MPI BOD
64,512,-42.000000,0.002422,MPI BOD
64,512,-42.000000,0.002323,MPI BOD
64,512,-42.000000,0.002703,MPI BOD
64,512,-42.000000,0.002385,MPI BOD
1,1024,-42.000000,0.022707,MPI BB
1,1024,-42.000000,0.024092,MPI BB
1,1024,-42.000000,0.022912,MPI BB
1,1024,-42.000000,0.022721,MPI BB
1,1024,-42.000000,0.022418,MPI BB
4,1024,-42.000000,0.014374,MPI BB
4,1024,-42.000000,0.014184,MPI BB
4,1024,-42.000000,0.013650,MPI BB
4,1024,-42.000000,0.013423,MPI BB
4,1024,-42.000000,0.013538,MPI BB
16,1024,-42.000000,0.018999,MPI BB
16,1024,-42.000000,0.019605,MPI BB
16,1024,-42.000000,0.018162,MPI BB
16,1024,-42.000000,0.018742,MPI BB
16,1024,-42.000000,0.017735,MPI BB
64,1024,-42.000000,0.027418,MPI BB
64,1024,-42.000000,0.027160,MPI BB
64,1024,-42.000000,0.026995,MPI BB
64,1024,-42.000000,0.027615,MPI BB
64,1024,-42.000000,0.028193,MPI BB
1,1024,-42.000000,0.022653,MPI BDV
1,1024,-42.000000,0.024123,MPI BDV
1,1024,-42.000000,0.022533,MPI BDV
1,1024,-42.000000,0.021917,MPI BDV
1,1024,-42.000000,0.021943,MPI BDV
4,1024,-42.000000,0.007402,MPI BDV
4,1024,-42.000000,0.007200,MPI BDV
4,1024,-42.000000,0.007268,MPI BDV
4,1024,-42.000000,0.008127,MPI BDV
4,1024,-42.000000,0.007143,MPI BDV
16,1024,-42.000000,0.007469,MPI BDV
16,1024,-42.000000,0.006383,MPI BDV
16,1024,-42.000000,0.006240,MPI BDV
16,1024,-42.000000,0.007146,MPI BDV
16,1024,-42.000000,0.007520,MPI BDV
64,1024,-42.000000,0.007747,MPI BDV
64,1024,-42.000000,0.008813,MPI BDV
64,1024,-42.000000,0.008678,MPI BDV
64,1024,-42.000000,0.008833,MPI BDV
64,1024,-42.000000,0.008780,MPI BDV
1,1024,-42.000000,0.035979,MPI BNVD
1,1024,-42.000000,0.033443,MPI BNVD
1,1024,-42.000000,0.030861,MPI BNVD
1,1024,-42.000000,0.030942,MPI BNVD
1,1024,-42.000000,0.030178,MPI BNVD
4,1024,-42.000000,0.015232,MPI BNVD
4,1024,-42.000000,0.017770,MPI BNVD
4,1024,-42.000000,0.018100,MPI BNVD
4,1024,-42.000000,0.016253,MPI BNVD
4,1024,-42.000000,0.014353,MPI BNVD
16,1024,-42.000000,0.016690,MPI BNVD
16,1024,-42.000000,0.016559,MPI BNVD
16,1024,-42.000000,0.015830,MPI BNVD
16,1024,-42.000000,0.016305,MPI BNVD
16,1024,-42.000000,0.016163,MPI BNVD
64,1024,-42.000000,0.016754,MPI BNVD
64,1024,-42.000000,0.018064,MPI BNVD
64,1024,-42.000000,0.017853,MPI BNVD
64,1024,-42.000000,0.015653,MPI BNVD
64,1024,-42.000000,0.019036,MPI BNVD
1,1024,-42.000000,0.027595,MPI BOD
1,1024,-42.000000,0.029196,MPI BOD
1,1024,-42.000000,0.027070,MPI BOD
1,1024,-42.000000,0.027424,MPI BOD
1,1024,-42.000000,0.027139,MPI BOD
4,1024,-42.000000,0.009173,MPI BOD
4,1024,-42.000000,0.009101,MPI BOD
4,1024,-42.000000,0.008524,MPI BOD
4,1024,-42.000000,0.008977,MPI BOD
4,1024,-42.000000,0.008552,MPI BOD
16,1024,-42.000000,0.008435,MPI BOD
16,1024,-42.000000,0.008049,MPI BOD
16,1024,-42.000000,0.007482,MPI BOD
16,1024,-42.000000,0.008446,MPI BOD
16,1024,-42.000000,0.007851,MPI BOD
64,1024,-42.000000,0.011314,MPI BOD
64,1024,-42.000000,0.011886,MPI BOD
64,1024,-42.000000,0.011430,MPI BOD
64,1024,-42.000000,0.011231,MPI BOD
64,1024,-42.000000,0.011342,MPI BOD
1,2048,-42.000000,0.116676,MPI BB
1,2048,-42.000000,0.123493,MPI BB
1,2048,-42.000000,0.119154,MPI BB
1,2048,-42.000000,0.113774,MPI BB
1,2048,-42.000000,0.131181,MPI BB
4,2048,-42.000000,0.056581,MPI BB
4,2048,-42.000000,0.056491,MPI BB
4,2048,-42.000000,0.054827,MPI BB
4,2048,-42.000000,0.056169,MPI BB
4,2048,-42.000000,0.055255,MPI BB
16,2048,-42.000000,0.087343,MPI BB
16,2048,-42.000000,0.085979,MPI BB
16,2048,-42.000000,0.083884,MPI BB
16,2048,-42.000000,0.083247,MPI BB
16,2048,-42.000000,0.081739,MPI BB
64,2048,-42.000000,0.100290,MPI BB
64,2048,-42.000000,0.093536,MPI BB
64,2048,-42.000000,0.093280,MPI BB
64,2048,-42.000000,0.091601,MPI BB
64,2048,-42.000000,0.106475,MPI BB
