Processes,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,16,MPI BB,-42.0,4.6e-06
4,16,MPI BB,-42.0,0.0005007999999999999
16,16,MPI BB,-42.0,0.0006140000000000001
1,16,MPI BDV,-42.0,0.0001612
4,16,MPI BDV,-42.0,0.000597
16,16,MPI BDV,-42.0,0.0006654
1,16,MPI BNVD,-42.0,1.6e-05
4,16,MPI BNVD,-42.0,0.0003992
16,16,MPI BNVD,-42.0,0.000313
1,16,MPI BOD,-42.0,2.72e-05
4,16,MPI BOD,-42.0,0.00035099999999999997
16,16,MPI BOD,-42.0,0.0003196
1,32,MPI BB,-42.0,9.6e-06
4,32,MPI BB,-42.0,0.0005591999999999999
16,32,MPI BB,-42.0,0.0007880000000000002
1,32,MPI BDV,-42.0,0.00016639999999999998
4,32,MPI BDV,-42.0,0.0004619999999999999
16,32,MPI BDV,-42.0,0.0009246
1,32,MPI BNVD,-42.0,2.72e-05
4,32,MPI BNVD,-42.0,0.000545
16,32,MPI BNVD,-42.0,0.0002608
1,32,MPI BOD,-42.0,3.36e-05
4,32,MPI BOD,-42.0,0.00044019999999999997
16,32,MPI BOD,-42.0,0.0006452
1,64,MPI BB,-42.0,3.48e-05
4,64,MPI BB,-42.0,0.0005678
16,64,MPI BB,-42.0,0.0009796000000000002
64,64,MPI BB,-42.0,0.002114
1,64,MPI BDV,-42.0,0.00017959999999999997
4,64,MPI BDV,-42.0,0.000673
16,64,MPI BDV,-42.0,0.000732
64,64,MPI BDV,-42.0,0.0013482000000000001
1,64,MPI BNVD,-42.0,8.180000000000001e-05
4,64,MPI BNVD,-42.0,0.00038960000000000004
16,64,MPI BNVD,-42.0,0.00037339999999999997
64,64,MPI BNVD,-42.0,0.0011695999999999998
1,64,MPI BOD,-42.0,7.72e-05
4,64,MPI BOD,-42.0,0.00032460000000000003
16,64,MPI BOD,-42.0,0.0006011999999999999
64,64,MPI BOD,-42.0,0.0013552
1,128,MPI BB,-42.0,0.00012860000000000004
4,128,MPI BB,-42.0,0.0007682
16,128,MPI BB,-42.0,0.0016577999999999999
64,128,MPI BB,-42.0,0.0039902
1,128,MPI BDV,-42.0,0.00030559999999999995
4,128,MPI BDV,-42.0,0.0005356
16,128,MPI BDV,-42.0,0.0008668
64,128,MPI BDV,-42.0,0.0010831999999999999
1,128,MPI BNVD,-42.0,0.000261
4,128,MPI BNVD,-42.0,0.0003774
16,128,MPI BNVD,-42.0,0.0007334
64,128,MPI BNVD,-42.0,0.0011832000000000001
1,128,MPI BOD,-42.0,0.000221
4,128,MPI BOD,-42.0,0.00030179999999999996
16,128,MPI BOD,-42.0,0.00035060000000000007
64,128,MPI BOD,-42.0,0.0014031999999999998
1,256,MPI BB,-42.0,0.00071
4,256,MPI BB,-42.0,0.0015676
16,256,MPI BB,-42.0,0.0021528
64,256,MPI BB,-42.0,0.0075112
1,256,MPI BDV,-42.0,0.0008652
4,256,MPI BDV,-42.0,0.0006843999999999999
16,256,MPI BDV,-42.0,0.0010976
64,256,MPI BDV,-42.0,0.0014258
1,256,MPI BNVD,-42.0,0.0012469999999999998
4,256,MPI BNVD,-42.0,0.0011232
16,256,MPI BNVD,-42.0,0.0014022
64,256,MPI BNVD,-42.0,0.0020381999999999996
1,256,MPI BOD,-42.0,0.0010308
4,256,MPI BOD,-42.0,0.0007632
16,256,MPI BOD,-42.0,0.0005989999999999999
64,256,MPI BOD,-42.0,0.0016515999999999996
1,512,MPI BB,-42.0,0.0039882
4,512,MPI BB,-42.0,0.003579
16,512,MPI BB,-42.0,0.006354599999999999
64,512,MPI BB,-42.0,0.0117464
1,512,MPI BDV,-42.0,0.0038183999999999996
4,512,MPI BDV,-42.0,0.0020112000000000003
16,512,MPI BDV,-42.0,0.0024523999999999995
64,512,MPI BDV,-42.0,0.0028945999999999998
1,512,MPI BNVD,-42.0,0.0064979999999999994
4,512,MPI BNVD,-42.0,0.0041356000000000006
16,512,MPI BNVD,-42.0,0.0044474
