Processes,Dim,CheckSym,MatTranspose,Version
1,16,0.000001,0.000002,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000001,0.000001,SEQ
1,16,-42.000000,0.000202,MPI BDV
1,16,-42.000000,0.000164,MPI BDV
1,16,-42.000000,0.000166,MPI BDV
1,16,-42.000000,0.000149,MPI BDV
1,16,-42.000000,0.000187,MPI BDV
4,16,-42.000000,0.000247,MPI BDV
4,16,-42.000000,0.000596,MPI BDV
4,16,-42.000000,0.000175,MPI BDV
4,16,-42.000000,0.000465,MPI BDV
4,16,-42.000000,0.000535,MPI BDV
16,16,-42.000000,0.000774,MPI BDV
16,16,-42.000000,0.000929,MPI BDV
16,16,-42.000000,0.000608,MPI BDV
16,16,-42.000000,0.000725,MPI BDV
16,16,-42.000000,0.000594,MPI BDV
1,16,0.000030,0.000001,MPI DT
1,16,0.000019,0.000001,MPI DT
1,16,0.000018,0.000001,MPI DT
1,16,0.000017,0.000001,MPI DT
1,16,0.000018,0.000001,MPI DT
2,16,0.000501,0.000039,MPI DT
2,16,0.000043,0.000032,MPI DT
2,16,0.000095,0.000032,MPI DT
2,16,0.000068,0.000036,MPI DT
2,16,0.000043,0.000032,MPI DT
3,16,0.000045,0.000043,MPI DT
3,16,0.000361,0.000032,MPI DT
3,16,0.000490,0.000045,MPI DT
3,16,0.000046,0.000033,MPI DT
3,16,0.000045,0.000043,MPI DT
4,16,0.000511,0.000036,MPI DT
4,16,0.000057,0.000052,MPI DT
4,16,0.000287,0.000037,MPI DT
4,16,0.000096,0.000036,MPI DT
4,16,0.000057,0.000033,MPI DT
5,16,0.000483,0.000034,MPI DT
5,16,0.000056,0.000051,MPI DT
5,16,0.000520,0.000037,MPI DT
5,16,0.000749,0.000034,MPI DT
5,16,0.000578,0.000036,MPI DT
6,16,0.000589,0.000041,MPI DT
6,16,0.000149,0.000043,MPI DT
6,16,0.000644,0.000066,MPI DT
6,16,0.000304,0.000036,MPI DT
6,16,0.000377,0.000061,MPI DT
7,16,0.000268,0.000040,MPI DT
7,16,0.000374,0.000058,MPI DT
7,16,0.000171,0.000044,MPI DT
7,16,0.000138,0.000055,MPI DT
7,16,0.000063,0.000046,MPI DT
8,16,0.000613,0.000050,MPI DT
8,16,0.000529,0.000040,MPI DT
8,16,0.000294,0.000053,MPI DT
8,16,0.000112,0.000057,MPI DT
8,16,0.000651,0.000047,MPI DT
9,16,0.000308,0.000060,MPI DT
9,16,0.000085,0.000040,MPI DT
9,16,0.000298,0.000041,MPI DT
9,16,0.000502,0.000107,MPI DT
9,16,0.000801,0.000036,MPI DT
10,16,0.000801,0.000499,MPI DT
10,16,0.000644,0.000051,MPI DT
10,16,0.000236,0.000036,MPI DT
10,16,0.000593,0.000435,MPI DT
10,16,0.000620,0.000066,MPI DT
11,16,0.000551,0.000061,MPI DT
11,16,0.000087,0.000066,MPI DT
11,16,0.000082,0.000068,MPI DT
11,16,0.000528,0.000059,MPI DT
11,16,0.000325,0.000053,MPI DT
12,16,0.000156,0.000479,MPI DT
12,16,0.000077,0.000413,MPI DT
12,16,0.000182,0.000095,MPI DT
12,16,0.000771,0.000042,MPI DT
12,16,0.000410,0.000436,MPI DT
13,16,0.000251,0.000467,MPI DT
13,16,0.000543,0.000074,MPI DT
13,16,0.000516,0.000073,MPI DT
13,16,0.000247,0.000073,MPI DT
13,16,0.000410,0.000078,MPI DT
14,16,0.000205,0.000066,MPI DT
14,16,0.000279,0.000439,MPI DT
14,16,0.000258,0.000060,MPI DT
14,16,0.000581,0.000068,MPI DT
14,16,0.000129,0.000526,MPI DT
15,16,0.000406,0.000559,MPI DT
15,16,0.000709,0.000478,MPI DT
15,16,0.000124,0.000521,MPI DT
15,16,0.000087,0.000054,MPI DT
15,16,0.000462,0.000479,MPI DT
16,16,0.000120,0.000533,MPI DT
16,16,0.000094,0.000423,MPI DT
16,16,0.000083,0.000067,MPI DT
16,16,0.000818,0.000536,MPI DT
16,16,0.000458,0.000062,MPI DT
17,16,0.000403,0.000539,MPI DT
17,16,0.000110,0.000092,MPI DT
17,16,0.000101,0.000435,MPI DT
17,16,0.000132,0.000554,MPI DT
17,16,0.000112,0.000454,MPI DT
18,16,0.000437,0.000561,MPI DT
18,16,0.000458,0.000517,MPI DT
18,16,0.000352,0.000089,MPI DT
18,16,0.000624,0.000492,MPI DT
18,16,0.000125,0.000049,MPI DT
19,16,0.000220,0.000505,MPI DT
19,16,0.000145,0.000564,MPI DT
19,16,0.000186,0.000127,MPI DT
19,16,0.000142,0.000425,MPI DT
19,16,0.000653,0.000529,MPI DT
20,16,0.000753,0.000096,MPI DT
20,16,0.000106,0.000534,MPI DT
20,16,0.000102,0.000554,MPI DT
20,16,0.000571,0.000486,MPI DT
20,16,0.000478,0.000099,MPI DT
21,16,0.000108,0.000547,MPI DT
21,16,0.000199,0.000465,MPI DT
21,16,0.000818,0.000496,MPI DT
21,16,0.000238,0.000112,MPI DT
21,16,0.000141,0.000551,MPI DT
22,16,0.000679,0.000512,MPI DT
22,16,0.000762,0.000554,MPI DT
22,16,0.000137,0.000132,MPI DT
22,16,0.000639,0.000506,MPI DT
22,16,0.000280,0.000507,MPI DT
23,16,0.000265,0.001183,MPI DT
23,16,0.000098,0.000481,MPI DT
23,16,0.000527,0.000554,MPI DT
23,16,0.000487,0.000557,MPI DT
23,16,0.000482,0.000112,MPI DT
24,16,0.000096,0.000522,MPI DT
24,16,0.000219,0.000542,MPI DT
24,16,0.000711,0.000515,MPI DT
24,16,0.000236,0.000537,MPI DT
24,16,0.000952,0.000568,MPI DT
25,16,0.000521,0.000166,MPI DT
25,16,0.000351,0.000576,MPI DT
25,16,0.000306,0.000548,MPI DT
25,16,0.000118,0.000520,MPI DT
25,16,0.000515,0.000526,MPI DT
26,16,0.000321,0.000560,MPI DT
26,16,0.000282,0.000576,MPI DT
26,16,0.000161,0.000542,MPI DT
26,16,0.000129,0.000556,MPI DT
26,16,0.000111,0.000585,MPI DT
27,16,0.000382,0.013106,MPI DT
27,16,0.000327,0.000552,MPI DT
27,16,0.000387,0.000509,MPI DT
27,16,0.000538,0.000573,MPI DT
27,16,0.000293,0.000162,MPI DT
28,16,0.000918,0.000539,MPI DT
28,16,0.000215,0.000570,MPI DT
28,16,0.000564,0.000580,MPI DT
28,16,0.000100,0.000731,MPI DT
28,16,0.001373,0.000586,MPI DT
29,16,0.001831,0.000564,MPI DT
29,16,0.000224,0.000552,MPI DT
29,16,0.001750,0.000537,MPI DT
29,16,0.000171,0.000591,MPI DT
29,16,0.000369,0.000535,MPI DT
30,16,0.000507,0.000557,MPI DT
30,16,0.000992,0.000579,MPI DT
30,16,0.000483,0.000553,MPI DT
30,16,0.000145,0.000522,MPI DT
30,16,0.000197,0.000562,MPI DT
31,16,0.001149,0.000557,MPI DT
31,16,0.000968,0.000588,MPI DT
31,16,0.000213,0.000601,MPI DT
31,16,0.000139,0.000564,MPI DT
31,16,0.000674,0.000595,MPI DT
32,16,0.000323,0.000621,MPI DT
32,16,0.001168,0.000568,MPI DT
32,16,0.000156,0.000616,MPI DT
32,16,0.000648,0.000604,MPI DT
32,16,0.000181,0.000553,MPI DT
33,16,0.000867,0.000582,MPI DT
33,16,0.000940,0.002295,MPI DT
33,16,0.000249,0.000591,MPI DT
33,16,0.000483,0.000624,MPI DT
33,16,0.000277,0.002492,MPI DT
34,16,0.000346,0.000540,MPI DT
34,16,0.000140,0.000598,MPI DT
34,16,0.000311,0.000552,MPI DT
34,16,0.001879,0.000555,MPI DT
34,16,0.000293,0.000593,MPI DT
35,16,0.000431,0.000187,MPI DT
35,16,0.000884,0.000552,MPI DT
35,16,0.000315,0.000565,MPI DT
35,16,0.000164,0.000557,MPI DT
35,16,0.000372,0.000572,MPI DT
