Processes,Dim,Version,RollingMean_MatTranspose
1,16,SEQ,1.2e-06
1,16,MPI BDV,0.0001736
4,16,MPI BDV,0.00040359999999999994
16,16,MPI BDV,0.000726
1,16,MPI DT,1e-06
2,16,MPI DT,3.42e-05
3,16,MPI DT,3.920000000000001e-05
4,16,MPI DT,3.88e-05
5,16,MPI DT,3.84e-05
6,16,MPI DT,4.940000000000001e-05
7,16,MPI DT,4.86e-05
8,16,MPI DT,4.9399999999999995e-05
9,16,MPI DT,5.6800000000000005e-05
10,16,MPI DT,0.00021740000000000003
11,16,MPI DT,6.14e-05
12,16,MPI DT,0.00029299999999999997
13,16,MPI DT,0.000153
14,16,MPI DT,0.00023179999999999997
15,16,MPI DT,0.0004182
16,16,MPI DT,0.0003242
17,16,MPI DT,0.0004148
18,16,MPI DT,0.0003416
19,16,MPI DT,0.00043
20,16,MPI DT,0.0003538
21,16,MPI DT,0.00043419999999999993
22,16,MPI DT,0.00044220000000000007
23,16,MPI DT,0.0005774000000000002
24,16,MPI DT,0.0005367999999999999
25,16,MPI DT,0.0004672000000000001
26,16,MPI DT,0.0005637999999999999
27,16,MPI DT,0.0029804000000000002
28,16,MPI DT,0.0006012
29,16,MPI DT,0.0005558
30,16,MPI DT,0.0005545999999999999
31,16,MPI DT,0.000581
32,16,MPI DT,0.0005924000000000001
33,16,MPI DT,0.0013168000000000001
34,16,MPI DT,0.0005676
35,16,MPI DT,0.00048660000000000006
36,16,MPI DT,0.0005804
37,16,MPI DT,0.0004522
38,16,MPI DT,0.0005514
39,16,MPI DT,0.0005164
40,16,MPI DT,0.0006088
41,16,MPI DT,0.0005154
42,16,MPI DT,0.0016999999999999997
43,16,MPI DT,0.0005606
44,16,MPI DT,0.0010192
45,16,MPI DT,0.0009204
46,16,MPI DT,0.0008921999999999999
47,16,MPI DT,0.0006274
48,16,MPI DT,0.0006392
49,16,MPI DT,0.0006306
50,16,MPI DT,0.0005283999999999999
51,16,MPI DT,0.0006476
52,16,MPI DT,0.002326
53,16,MPI DT,0.0006564
54,16,MPI DT,0.0006264
55,16,MPI DT,0.0012545999999999998
56,16,MPI DT,0.0006552000000000001
57,16,MPI DT,0.0006794
58,16,MPI DT,0.0006548
59,16,MPI DT,0.0006726
60,16,MPI DT,0.0006896
61,16,MPI DT,0.000658
62,16,MPI DT,0.0008085999999999999
63,16,MPI DT,0.000688
64,16,MPI DT,0.0007132
65,16,MPI DT,0.0006938
66,16,MPI DT,0.0009629999999999998
67,16,MPI DT,0.0009954
68,16,MPI DT,0.0006818
69,16,MPI DT,0.0011108000000000001
70,16,MPI DT,0.0006876
71,16,MPI DT,0.0007601999999999999
72,16,MPI DT,0.0007622
73,16,MPI DT,0.0031445999999999996
74,16,MPI DT,0.0007578
75,16,MPI DT,0.0007306
76,16,MPI DT,0.0033464000000000002
77,16,MPI DT,0.0007834000000000001
78,16,MPI DT,0.000775
79,16,MPI DT,0.0008590000000000001
80,16,MPI DT,0.0008448
81,16,MPI DT,0.0008429999999999998
82,16,MPI DT,0.0007897999999999999
83,16,MPI DT,0.0032638
84,16,MPI DT,0.0011274
85,16,MPI DT,0.0032552000000000006
86,16,MPI DT,0.0029772
87,16,MPI DT,0.000812
88,16,MPI DT,0.0023155999999999997
89,16,MPI DT,0.003327
90,16,MPI DT,0.0008774000000000001
91,16,MPI DT,0.0016728
92,16,MPI DT,0.0008742
93,16,MPI DT,0.010565600000000001
94,16,MPI DT,0.0081084
95,16,MPI DT,0.0059546
96,16,MPI DT,0.00834
1,32,SEQ,6.4e-06
1,32,MPI BDV,0.0001866
4,32,MPI BDV,0.0005943999999999999
16,32,MPI BDV,0.0007
1,32,MPI DT,2e-06
2,32,MPI DT,3.92e-05
3,32,MPI DT,4.02e-05
4,32,MPI DT,4.44e-05
5,32,MPI DT,4.32e-05
6,32,MPI DT,4.5600000000000004e-05
7,32,MPI DT,4.82e-05
8,32,MPI DT,5.52e-05
9,32,MPI DT,5.5599999999999996e-05
10,32,MPI DT,0.0001586
11,32,MPI DT,7.139999999999999e-05
12,32,MPI DT,0.00016800000000000002
13,32,MPI DT,6.76e-05
