Processes,Dim,Version,RollingMean_MatTranspose,scaling_RollingMean_MatTranspose
1,16,MPI DT,1e-06,1.0
2,32,MPI DT,3.5999999999999994e-05,0.02777777777777778
4,64,MPI DT,6.620000000000001e-05,0.01510574018126888
8,128,MPI DT,0.00014160000000000005,0.007062146892655365
16,256,MPI DT,0.0005577999999999999,0.0017927572606669059
32,512,MPI DT,0.0041432,0.00024135933577910793
64,1024,MPI DT,0.015598400000000004,6.41091393989127e-05
1,16,MPI BDV,0.0001982,1.0
4,64,MPI BDV,0.0003698,0.5359653866955111
16,256,MPI BDV,0.0011126,0.17814129067050152
64,1024,MPI BDV,0.0089972,0.02202907571244387
1,32,MPI DT,2.2e-06,1.0
2,64,MPI DT,5.3800000000000013e-05,0.04089219330855018
4,128,MPI DT,0.00012920000000000002,0.017027863777089782
8,256,MPI DT,0.0004763999999999999,0.004617968094038624
16,512,MPI DT,0.003073,0.0007159127888057273
32,1024,MPI DT,0.0108624,0.00020253351008985124
64,2048,MPI DT,0.052805399999999995,4.166240573880702e-05
1,32,MPI BDV,0.00017619999999999997,1.0
4,128,MPI BDV,0.000472,0.3733050847457627
16,512,MPI BDV,0.0025708000000000003,0.06853897619418078
64,2048,MPI BDV,0.027433,0.006422921299165238
1,64,MPI DT,1.34e-05,1.0
2,128,MPI DT,0.00011240000000000001,0.1192170818505338
4,256,MPI DT,0.0005139999999999999,0.02607003891050584
8,512,MPI DT,0.0021744000000000004,0.0061626195732155985
16,1024,MPI DT,0.0093792,0.0014286932787444557
32,2048,MPI DT,0.036864,0.0003634982638888889
64,4096,MPI DT,0.17852700000000002,7.505867459824003e-05
1,64,MPI BDV,0.0002444,1.0
4,256,MPI BDV,0.000773,0.31617076326002586
16,1024,MPI BDV,0.007264199999999999,0.033644448115415324
64,4096,MPI BDV,0.0923554,0.0026462989711484113
1,128,MPI DT,6.52e-05,1.0
2,256,MPI DT,0.0004056,0.16074950690335305
4,512,MPI DT,0.0018864,0.03456318914334181
8,1024,MPI DT,0.007795600000000001,0.008363692339268305
16,2048,MPI DT,0.030274,0.0021536632093545616
32,4096,MPI DT,0.1249434,0.0005218362874709669
1,128,MPI BDV,0.00028199999999999997,1.0
4,512,MPI BDV,0.0018026,0.1564406967713303
16,2048,MPI BDV,0.0224608,0.012555207294486392
1,256,MPI DT,0.000414,1.0
2,512,MPI DT,0.0020018,0.20681386751923267
4,1024,MPI DT,0.0083714,0.049454093699978496
8,2048,MPI DT,0.030733,0.013470861939934272
16,4096,MPI DT,0.11648139999999998,0.0035542155228216695
1,256,MPI BDV,0.0008242000000000001,1.0
4,1024,MPI BDV,0.0074294,0.11093762618784829
16,4096,MPI BDV,0.1026178,0.008031744979915767
1,512,MPI DT,0.0028414,1.0
2,1024,MPI DT,0.0107436,0.2644737331993
4,2048,MPI DT,0.033701800000000004,0.08431003685263101
8,4096,MPI DT,0.1272564,0.022328150096969583
1,512,MPI BDV,0.004224,1.0
4,2048,MPI BDV,0.0380544,0.11099899091826439
1,1024,MPI DT,0.017598,1.0
2,2048,MPI DT,0.0469432,0.3748785766628607
4,4096,MPI DT,0.186345,0.09443773645657248
1,1024,MPI BDV,0.0232918,1.0
4,4096,MPI BDV,0.1574612,0.14792088463697725
1,2048,MPI DT,0.0766748,1.0
2,4096,MPI DT,0.2083396,0.36802796971867086
1,2048,MPI BDV,0.0961862,1.0
1,4096,MPI DT,0.35374459999999996,1.0
1,4096,MPI BDV,0.4267318,1.0
