Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000000,IMP
1,4,0.000000,0.000001,IMP
1,4,0.000000,0.000001,IMP
1,4,0.000001,0.000000,IMP
1,4,0.000001,0.000001,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000001,0.000001,IMP
1,8,0.000000,0.000000,IMP
1,8,0.000000,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000002,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,32,0.000004,0.000004,IMP
1,32,0.000004,0.000004,IMP
1,32,0.000003,0.000004,IMP
1,32,0.000003,0.000004,IMP
1,32,0.000004,0.000004,IMP
1,64,0.000014,0.000093,IMP
1,64,0.000015,0.000022,IMP
1,64,0.000031,0.000047,IMP
1,64,0.000014,0.000021,IMP
1,64,0.000014,0.000019,IMP
1,128,0.000058,0.000081,IMP
1,128,0.000058,0.000125,IMP
1,128,0.000061,0.000090,IMP
1,128,0.000142,0.000088,IMP
1,128,0.000058,0.000089,IMP
1,256,0.000234,0.000369,IMP
1,256,0.000236,0.000610,IMP
1,256,0.000307,0.000360,IMP
1,256,0.000248,0.000396,IMP
1,256,0.000236,0.000480,IMP
1,512,0.001275,0.002221,IMP
1,512,0.001345,0.001423,IMP
1,512,0.001401,0.001737,IMP
1,512,0.001367,0.001606,IMP
1,512,0.001314,0.001584,IMP
1,1024,0.007196,0.007343,IMP
1,1024,0.006046,0.007034,IMP
1,1024,0.006223,0.006367,IMP
1,1024,0.006189,0.007169,IMP
1,1024,0.006235,0.007360,IMP
1,2048,0.071283,0.035687,IMP
1,2048,0.029218,0.034960,IMP
1,2048,0.029990,0.034077,IMP
1,2048,0.033306,0.032038,IMP
1,2048,0.032539,0.031955,IMP
1,4096,0.190312,0.150154,IMP
1,4096,0.196531,0.153027,IMP
1,4096,0.203226,0.165973,IMP
1,4096,0.197356,0.161118,IMP
1,4096,0.198929,0.155567,IMP
