Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000001,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000001,0.000000,IMP
1,4,0.000001,0.000000,IMP
1,4,0.000001,0.000000,IMP
1,8,0.000002,0.000001,SEQ
1,8,0.000002,0.000001,SEQ
1,8,0.000002,0.000001,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000001,0.000002,IMP
1,8,0.000002,0.000001,IMP
1,8,0.000000,0.000001,IMP
1,8,0.000002,0.000002,IMP
1,8,0.000001,0.000002,IMP
1,16,0.000004,0.000002,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000001,0.000001,SEQ
1,16,0.000003,0.000003,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000002,0.000002,IMP
1,16,0.000003,0.000002,IMP
1,16,0.000002,0.000002,IMP
1,16,0.000002,0.000003,IMP
1,16,0.000002,0.000002,IMP
1,32,0.000012,0.000008,SEQ
1,32,0.000011,0.000008,SEQ
1,32,0.000003,0.000003,SEQ
1,32,0.000011,0.000007,SEQ
1,32,0.000011,0.000008,SEQ
1,32,0.000005,0.000007,IMP
1,32,0.000005,0.000006,IMP
1,32,0.000004,0.000005,IMP
1,32,0.000005,0.000006,IMP
1,32,0.000006,0.000006,IMP
1,64,0.000040,0.000038,SEQ
1,64,0.000040,0.000039,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000040,0.000039,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000018,0.000027,IMP
1,64,0.000020,0.000032,IMP
1,64,0.000006,0.000010,IMP
1,64,0.000020,0.000032,IMP
1,64,0.000020,0.000032,IMP
1,128,0.000168,0.000185,SEQ
1,128,0.000158,0.000200,SEQ
1,128,0.000048,0.000059,SEQ
1,128,0.000170,0.000186,SEQ
1,128,0.000158,0.000185,SEQ
1,128,0.000079,0.000139,IMP
1,128,0.000079,0.000152,IMP
1,128,0.000079,0.000138,IMP
1,128,0.000079,0.000137,IMP
1,128,0.000078,0.000137,IMP
1,256,0.000617,0.001494,SEQ
1,256,0.000617,0.001516,SEQ
1,256,0.000616,0.001372,SEQ
1,256,0.000617,0.001494,SEQ
1,256,0.000616,0.001527,SEQ
1,256,0.000327,0.000875,IMP
1,256,0.000316,0.000940,IMP
1,256,0.000132,0.000366,IMP
1,256,0.000315,0.000884,IMP
1,256,0.000326,0.000870,IMP
1,512,0.002324,0.006040,SEQ
1,512,0.002116,0.004176,SEQ
1,512,0.002573,0.004122,SEQ
1,512,0.001891,0.004997,SEQ
1,512,0.002799,0.004646,SEQ
1,512,0.001065,0.002614,IMP
1,512,0.001268,0.003139,IMP
1,512,0.001270,0.003128,IMP
1,512,0.001415,0.003126,IMP
1,512,0.001278,0.003132,IMP
1,1024,0.005111,0.022802,SEQ
1,1024,0.005455,0.018691,SEQ
1,1024,0.005590,0.018992,SEQ
1,1024,0.005159,0.022155,SEQ
1,1024,0.005437,0.018341,SEQ
1,1024,0.004225,0.007919,IMP
1,1024,0.004496,0.006625,IMP
1,1024,0.004453,0.007190,IMP
1,1024,0.004186,0.006762,IMP
1,1024,0.005553,0.005887,IMP
1,2048,0.029479,0.079844,SEQ
1,2048,0.020424,0.113056,SEQ
1,2048,0.028850,0.078235,SEQ
1,2048,0.031068,0.076329,SEQ
1,2048,0.020362,0.101578,SEQ
1,2048,0.011134,0.013298,IMP
1,2048,0.009329,0.016849,IMP
1,2048,0.009748,0.018254,IMP
1,2048,0.012253,0.013481,IMP
1,2048,0.009591,0.016724,IMP
1,4096,0.227923,0.366289,SEQ
1,4096,0.226006,0.378734,SEQ
1,4096,0.201126,0.390212,SEQ
1,4096,0.225739,0.370575,SEQ
1,4096,0.226472,0.360490,SEQ
1,4096,0.047424,0.084672,IMP
1,4096,0.063390,0.085001,IMP
1,4096,0.047681,0.084848,IMP
1,4096,0.047699,0.084703,IMP
1,4096,0.062962,0.084808,IMP
