Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000000,SEQ
1,4,0.000000,0.000001,SEQ
1,4,0.000000,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,IMP
1,4,0.000001,0.000001,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000001,0.000000,IMP
1,4,0.000001,0.000001,IMP
1,8,0.000002,0.000001,SEQ
1,8,0.000002,0.000000,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000001,0.000000,SEQ
1,8,0.000002,0.000001,SEQ
1,8,0.000001,0.000001,IMP
1,8,0.000001,0.000001,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000002,0.000001,IMP
1,8,0.000002,0.000001,IMP
1,16,0.000004,0.000002,SEQ
1,16,0.000004,0.000003,SEQ
1,16,0.000002,0.000001,SEQ
1,16,0.000004,0.000003,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000003,0.000002,IMP
1,16,0.000003,0.000002,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000003,0.000002,IMP
1,16,0.000003,0.000002,IMP
1,32,0.000012,0.000008,SEQ
1,32,0.000011,0.000007,SEQ
1,32,0.000004,0.000002,SEQ
1,32,0.000012,0.000007,SEQ
1,32,0.000012,0.000007,SEQ
1,32,0.000009,0.000007,IMP
1,32,0.000009,0.000008,IMP
1,32,0.000009,0.000007,IMP
1,32,0.000009,0.000008,IMP
1,32,0.000009,0.000008,IMP
1,64,0.000037,0.000035,SEQ
1,64,0.000057,0.000038,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000037,0.000038,IMP
1,64,0.000036,0.000038,IMP
1,64,0.000011,0.000012,IMP
1,64,0.000037,0.000038,IMP
1,64,0.000038,0.000039,IMP
1,128,0.000159,0.000187,SEQ
1,128,0.000158,0.000187,SEQ
1,128,0.000159,0.000185,SEQ
1,128,0.000168,0.000185,SEQ
1,128,0.000169,0.000186,SEQ
1,128,0.000152,0.000185,IMP
1,128,0.000164,0.000196,IMP
1,128,0.000152,0.000208,IMP
1,128,0.000152,0.000185,IMP
1,128,0.000164,0.000187,IMP
1,256,0.000562,0.001374,SEQ
1,256,0.000624,0.001544,SEQ
1,256,0.000639,0.001360,SEQ
1,256,0.000622,0.001490,SEQ
1,256,0.000621,0.001496,SEQ
1,256,0.000600,0.001454,IMP
1,256,0.000599,0.001533,IMP
1,256,0.000251,0.000619,IMP
1,256,0.000561,0.001474,IMP
1,256,0.000607,0.001496,IMP
1,512,0.003121,0.004599,SEQ
1,512,0.003066,0.005017,SEQ
1,512,0.003117,0.004312,SEQ
1,512,0.003119,0.004230,SEQ
1,512,0.002273,0.005869,SEQ
1,512,0.003017,0.007654,IMP
1,512,0.003129,0.007114,IMP
1,512,0.002919,0.007773,IMP
1,512,0.002994,0.005850,IMP
1,512,0.002838,0.006212,IMP
1,1024,0.005189,0.023086,SEQ
1,1024,0.005655,0.018746,SEQ
1,1024,0.005900,0.018722,SEQ
1,1024,0.005369,0.022276,SEQ
1,1024,0.005446,0.018351,SEQ
1,1024,0.007044,0.018831,IMP
1,1024,0.008043,0.018701,IMP
1,1024,0.008093,0.022269,IMP
1,1024,0.006836,0.019211,IMP
1,1024,0.008055,0.018478,IMP
1,2048,0.029430,0.082359,SEQ
1,2048,0.020730,0.121179,SEQ
1,2048,0.029430,0.078087,SEQ
1,2048,0.028043,0.076630,SEQ
1,2048,0.019913,0.102913,SEQ
1,2048,0.020238,0.106893,IMP
1,2048,0.029449,0.076740,IMP
1,2048,0.028078,0.078514,IMP
1,2048,0.020171,0.105403,IMP
1,2048,0.030727,0.076485,IMP
1,4096,0.227512,0.347872,SEQ
1,4096,0.225707,0.359721,SEQ
1,4096,0.204140,0.398142,SEQ
1,4096,0.226572,0.355827,SEQ
1,4096,0.226959,0.361185,SEQ
1,4096,0.226720,0.357756,IMP
1,4096,0.227520,0.360682,IMP
1,4096,0.201174,0.411925,IMP
1,4096,0.225741,0.372585,IMP
1,4096,0.224624,0.355671,IMP
