Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,6e-07,2e-07
1,4,IMP,8e-07,6e-07
1,8,SEQ,1.6e-06,6e-07
1,8,IMP,1.3999999999999997e-06,8e-07
1,16,SEQ,3.5999999999999994e-06,2.1999999999999997e-06
1,16,IMP,2.5999999999999997e-06,1.7999999999999997e-06
1,32,SEQ,1.02e-05,6.2e-06
1,32,IMP,9e-06,7.599999999999999e-06
1,64,SEQ,4.28e-05,3.74e-05
1,64,IMP,3.18e-05,3.3e-05
1,128,SEQ,0.0001626,0.00018600000000000002
1,128,IMP,0.0001568,0.00019219999999999998
1,256,SEQ,0.0006136,0.0014528
1,256,IMP,0.0005235999999999999,0.0013152
1,512,SEQ,0.0029392000000000003,0.0048054
1,512,IMP,0.0029794,0.006920600000000001
1,1024,SEQ,0.005511799999999999,0.020236200000000003
1,1024,IMP,0.0076142,0.019497999999999998
1,2048,SEQ,0.0255092,0.0922336
1,2048,IMP,0.0257326,0.08880700000000001
1,4096,SEQ,0.222178,0.3645493999999999
1,4096,IMP,0.22115579999999996,0.3717238
