Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000000,0.000001,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000000,0.000000,IMP
1,4,0.000001,0.000000,IMP
1,8,0.000002,0.000001,SEQ
1,8,0.000002,0.000001,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000001,0.000001,SEQ
1,8,0.000002,0.000001,SEQ
1,8,0.000000,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000001,0.000000,IMP
1,8,0.000001,0.000001,IMP
1,8,0.000001,0.000000,IMP
1,16,0.000004,0.000002,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000002,0.000002,SEQ
1,16,0.000004,0.000002,SEQ
1,16,0.000003,0.000002,SEQ
1,16,0.000001,0.000000,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000002,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,16,0.000001,0.000001,IMP
1,32,0.000012,0.000007,SEQ
1,32,0.000011,0.000008,SEQ
1,32,0.000004,0.000002,SEQ
1,32,0.000011,0.000008,SEQ
1,32,0.000012,0.000007,SEQ
1,32,0.000003,0.000002,IMP
1,32,0.000004,0.000002,IMP
1,32,0.000005,0.000002,IMP
1,32,0.000004,0.000002,IMP
1,32,0.000004,0.000002,IMP
1,64,0.000040,0.000038,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000017,0.000016,SEQ
1,64,0.000039,0.000038,SEQ
1,64,0.000040,0.000038,SEQ
1,64,0.000018,0.000017,IMP
1,64,0.000018,0.000017,IMP
1,64,0.000017,0.000016,IMP
1,64,0.000016,0.000017,IMP
1,64,0.000022,0.000017,IMP
1,128,0.000133,0.000168,SEQ
1,128,0.000175,0.000186,SEQ
1,128,0.000063,0.000076,SEQ
1,128,0.000159,0.000198,SEQ
1,128,0.000168,0.000186,SEQ
1,128,0.000063,0.000177,IMP
1,128,0.000072,0.000193,IMP
1,128,0.000019,0.000056,IMP
1,128,0.000062,0.000177,IMP
1,128,0.000075,0.000178,IMP
1,256,0.000617,0.001518,SEQ
1,256,0.000616,0.001586,SEQ
1,256,0.000258,0.000642,SEQ
1,256,0.000626,0.001469,SEQ
1,256,0.000624,0.001501,SEQ
1,256,0.000256,0.000826,IMP
1,256,0.000249,0.000882,IMP
1,256,0.000243,0.000842,IMP
1,256,0.000248,0.000826,IMP
1,256,0.000256,0.000824,IMP
1,512,0.001701,0.004186,SEQ
1,512,0.001934,0.004892,SEQ
1,512,0.002023,0.004359,SEQ
1,512,0.002809,0.003934,SEQ
1,512,0.001243,0.002858,SEQ
1,512,0.001111,0.003449,IMP
1,512,0.001387,0.003476,IMP
1,512,0.001140,0.003449,IMP
1,512,0.001090,0.003434,IMP
1,512,0.001404,0.003476,IMP
1,1024,0.005194,0.022500,SEQ
1,1024,0.005989,0.018688,SEQ
1,1024,0.005716,0.018596,SEQ
1,1024,0.005320,0.020633,SEQ
1,1024,0.005941,0.018203,SEQ
1,1024,0.007185,0.007673,IMP
1,1024,0.006412,0.008479,IMP
1,1024,0.006797,0.008227,IMP
1,1024,0.006923,0.008109,IMP
1,1024,0.008447,0.007641,IMP
1,2048,0.029137,0.079283,SEQ
1,2048,0.020763,0.124502,SEQ
1,2048,0.029080,0.078650,SEQ
1,2048,0.029629,0.077294,SEQ
1,2048,0.019961,0.103989,SEQ
1,2048,0.015962,0.025747,IMP
1,2048,0.019627,0.027187,IMP
1,2048,0.020432,0.028819,IMP
1,2048,0.015766,0.023225,IMP
1,2048,0.020767,0.027305,IMP
1,4096,0.225959,0.360189,SEQ
1,4096,0.226533,0.347942,SEQ
1,4096,0.199867,0.407919,SEQ
1,4096,0.226702,0.368702,SEQ
1,4096,0.226017,0.370084,SEQ
1,4096,0.132714,0.162420,IMP
1,4096,0.127940,0.171700,IMP
1,4096,0.132440,0.151559,IMP
1,4096,0.131851,0.152264,IMP
1,4096,0.130344,0.175865,IMP
