Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,0.0,2e-07
1,4,IMP,2e-07,2e-07
1,8,SEQ,6e-07,2e-07
1,8,IMP,2e-07,0.0
1,16,SEQ,1e-06,6e-07
1,16,IMP,6e-07,0.0
1,32,SEQ,3.2e-06,2.9999999999999997e-06
1,32,IMP,1.6e-06,8e-07
1,64,SEQ,2.32e-05,2.2e-05
1,64,IMP,7.8e-06,9.400000000000001e-06
1,128,SEQ,4.6e-05,5.4600000000000006e-05
1,128,IMP,1.8e-05,5.26e-05
1,256,SEQ,0.00018020000000000002,0.00042919999999999997
1,256,IMP,0.00011639999999999998,0.0002482
1,512,SEQ,0.0011494,0.0029228
1,512,IMP,0.0004374,0.001225
1,1024,SEQ,0.0050914,0.019381199999999998
1,1024,IMP,0.0032488000000000005,0.0051844
1,2048,SEQ,0.0286018,0.0765398
1,2048,IMP,0.0178608,0.0356486
1,4096,SEQ,0.400728,0.9011762000000001
1,4096,IMP,0.3550972,0.7184244
