Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,0.0,2e-07
1,4,IMP,2e-07,0.0
1,8,SEQ,1e-06,4e-07
1,8,IMP,0.0,0.0
1,16,SEQ,1.2e-06,6e-07
1,16,IMP,0.0,4e-07
1,32,SEQ,3.2e-06,2.1999999999999997e-06
1,32,IMP,1e-06,2e-07
1,64,SEQ,1.2e-05,1.1400000000000001e-05
1,64,IMP,4.9999999999999996e-06,5.199999999999999e-06
1,128,SEQ,4.68e-05,5.5400000000000005e-05
1,128,IMP,1.8800000000000003e-05,5.480000000000001e-05
1,256,SEQ,0.0001866,0.0004522
1,256,IMP,0.0001058,0.00031340000000000003
1,512,SEQ,0.0011560000000000001,0.0029222000000000002
1,512,IMP,0.0004334,0.0011882
1,1024,SEQ,0.0051866,0.019456400000000002
1,1024,IMP,0.0032812,0.005342
1,2048,SEQ,0.026796999999999998,0.08847780000000001
1,2048,IMP,0.016862400000000003,0.031753199999999995
1,4096,SEQ,0.3583756,0.7351396
1,4096,IMP,0.30383400000000005,0.5640126
