Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000041,0.000006,OMP
1,4,0.000045,0.000006,OMP
1,4,0.000040,0.000005,OMP
1,4,0.000040,0.000006,OMP
1,4,0.000039,0.000005,OMP
2,4,0.000156,0.000011,OMP
2,4,0.000126,0.000010,OMP
2,4,0.000184,0.000010,OMP
2,4,0.000180,0.000011,OMP
2,4,0.000132,0.000012,OMP
3,4,0.000210,0.000011,OMP
3,4,0.000231,0.000010,OMP
3,4,0.000175,0.000013,OMP
3,4,0.000176,0.000012,OMP
3,4,0.000175,0.000011,OMP
4,4,0.000279,0.000036,OMP
4,4,0.000252,0.000013,OMP
4,4,0.000208,0.000011,OMP
4,4,0.000257,0.000010,OMP
4,4,0.000234,0.000010,OMP
5,4,0.000243,0.000012,OMP
5,4,0.000277,0.000013,OMP
5,4,0.000269,0.000014,OMP
5,4,0.000258,0.000013,OMP
5,4,0.000309,0.000012,OMP
6,4,0.000339,0.000012,OMP
6,4,0.000318,0.000013,OMP
6,4,0.000298,0.000013,OMP
6,4,0.000275,0.000012,OMP
6,4,0.000322,0.000023,OMP
7,4,0.000390,0.000016,OMP
7,4,0.000361,0.000014,OMP
7,4,0.000379,0.000014,OMP
7,4,0.000374,0.000014,OMP
7,4,0.000383,0.000011,OMP
8,4,0.000413,0.000015,OMP
8,4,0.000386,0.000015,OMP
8,4,0.000377,0.000014,OMP
8,4,0.000401,0.000013,OMP
8,4,0.000375,0.000013,OMP
9,4,0.000413,0.000016,OMP
9,4,0.000450,0.000015,OMP
9,4,0.000445,0.000012,OMP
9,4,0.000445,0.000014,OMP
9,4,0.000434,0.000014,OMP
10,4,0.000480,0.000015,OMP
10,4,0.000496,0.000016,OMP
10,4,0.000505,0.000015,OMP
10,4,0.000486,0.000014,OMP
10,4,0.000468,0.000014,OMP
11,4,0.000523,0.000018,OMP
11,4,0.000487,0.000015,OMP
11,4,0.000521,0.000016,OMP
11,4,0.000499,0.000014,OMP
11,4,0.000465,0.000016,OMP
12,4,0.000523,0.000015,OMP
12,4,0.000543,0.000016,OMP
12,4,0.000522,0.000017,OMP
12,4,0.000564,0.000019,OMP
12,4,0.000525,0.000016,OMP
13,4,0.000602,0.000020,OMP
13,4,0.000587,0.000018,OMP
13,4,0.000590,0.000018,OMP
13,4,0.000601,0.000016,OMP
13,4,0.000580,0.000018,OMP
14,4,0.000620,0.000017,OMP
14,4,0.000615,0.000016,OMP
14,4,0.000598,0.000021,OMP
14,4,0.000577,0.000017,OMP
14,4,0.000617,0.000016,OMP
15,4,0.000616,0.000017,OMP
15,4,0.000622,0.000018,OMP
15,4,0.000661,0.000018,OMP
15,4,0.000670,0.000016,OMP
15,4,0.000677,0.000016,OMP
16,4,0.000645,0.000019,OMP
16,4,0.000660,0.000018,OMP
16,4,0.000706,0.000015,OMP
16,4,0.000666,0.000018,OMP
16,4,0.000702,0.000017,OMP
17,4,0.000690,0.000018,OMP
17,4,0.000684,0.000022,OMP
17,4,0.000678,0.000018,OMP
17,4,0.000647,0.000020,OMP
17,4,0.000725,0.000021,OMP
18,4,0.000788,0.000024,OMP
18,4,0.000777,0.000020,OMP
18,4,0.000700,0.000020,OMP
18,4,0.000702,0.000017,OMP
18,4,0.000677,0.000019,OMP
19,4,0.000776,0.000020,OMP
19,4,0.000795,0.000017,OMP
19,4,0.000764,0.000019,OMP
19,4,0.000711,0.000020,OMP
19,4,0.000838,0.000019,OMP
20,4,0.000700,0.000018,OMP
20,4,0.000782,0.000020,OMP
20,4,0.000854,0.000019,OMP
20,4,0.000830,0.000020,OMP
20,4,0.000764,0.000020,OMP
21,4,0.000861,0.000020,OMP
21,4,0.000800,0.000020,OMP
21,4,0.000795,0.000020,OMP
21,4,0.000789,0.000021,OMP
21,4,0.000826,0.000024,OMP
22,4,0.000821,0.000022,OMP
22,4,0.000865,0.000025,OMP
22,4,0.000826,0.000021,OMP
22,4,0.000820,0.000022,OMP
22,4,0.000806,0.000026,OMP
23,4,0.000926,0.000021,OMP
23,4,0.000868,0.000022,OMP
23,4,0.000941,0.000021,OMP
23,4,0.000930,0.000025,OMP
23,4,0.000879,0.000022,OMP
24,4,0.000844,0.000021,OMP
24,4,0.000926,0.000047,OMP
24,4,0.000915,0.000021,OMP
24,4,0.000948,0.000022,OMP
24,4,0.000837,0.000023,OMP
25,4,0.001012,0.000024,OMP
25,4,0.000926,0.000026,OMP
25,4,0.000907,0.000024,OMP
25,4,0.000943,0.000021,OMP
25,4,0.000957,0.000026,OMP
26,4,0.000894,0.000022,OMP
26,4,0.001023,0.000023,OMP
26,4,0.001015,0.000022,OMP
26,4,0.001040,0.000050,OMP
26,4,0.001533,0.000022,OMP
27,4,0.000989,0.000023,OMP
27,4,0.000840,0.000023,OMP
27,4,0.001044,0.000024,OMP
27,4,0.001069,0.000023,OMP
27,4,0.001020,0.000028,OMP
28,4,0.000968,0.000024,OMP
28,4,0.000858,0.000023,OMP
28,4,0.000937,0.000025,OMP
28,4,0.001069,0.000026,OMP
28,4,0.001101,0.000024,OMP
29,4,0.000961,0.000050,OMP
29,4,0.000926,0.000022,OMP
29,4,0.000981,0.000029,OMP
29,4,0.000956,0.000022,OMP
29,4,0.000924,0.000024,OMP
30,4,0.001160,0.000028,OMP
30,4,0.000827,0.000023,OMP
30,4,0.001042,0.000024,OMP
30,4,0.001158,0.000026,OMP
30,4,0.001142,0.000043,OMP
31,4,0.001174,0.000026,OMP
31,4,0.001115,0.000026,OMP
31,4,0.001202,0.000026,OMP
31,4,0.001080,0.000026,OMP
31,4,0.001056,0.000030,OMP
32,4,0.001186,0.000026,OMP
32,4,0.001161,0.000026,OMP
32,4,0.001220,0.000028,OMP
32,4,0.001092,0.000055,OMP
32,4,0.001200,0.000026,OMP
33,4,0.001075,0.000027,OMP
33,4,0.001283,0.000028,OMP
33,4,0.001057,0.000027,OMP
33,4,0.001046,0.000028,OMP
33,4,0.001197,0.000028,OMP
34,4,0.001498,0.000032,OMP
34,4,0.001319,0.000029,OMP
34,4,0.001123,0.000028,OMP
34,4,0.001270,0.000026,OMP
34,4,0.001079,0.000026,OMP
35,4,0.000950,0.000026,OMP
35,4,0.001299,0.000026,OMP
35,4,0.001362,0.000029,OMP
35,4,0.000870,0.000027,OMP
35,4,0.001069,0.000028,OMP
36,4,0.001376,0.000031,OMP
36,4,0.001375,0.000031,OMP
36,4,0.001366,0.000030,OMP
36,4,0.001153,0.000031,OMP
36,4,0.001428,0.000029,OMP
37,4,0.001291,0.000030,OMP
37,4,0.001345,0.000028,OMP
37,4,0.001286,0.000027,OMP
37,4,0.001402,0.000027,OMP
37,4,0.001072,0.000032,OMP
38,4,0.001226,0.000033,OMP
38,4,0.001032,0.000028,OMP
38,4,0.001154,0.000033,OMP
38,4,0.001156,0.000029,OMP
38,4,0.000986,0.000029,OMP
39,4,0.001464,0.000031,OMP
39,4,0.000875,0.000032,OMP
39,4,0.001391,0.000028,OMP
39,4,0.001307,0.000030,OMP
39,4,0.000794,0.000033,OMP
40,4,0.001739,0.000028,OMP
40,4,0.001467,0.000037,OMP
40,4,0.000749,0.000027,OMP
40,4,0.001359,0.000029,OMP
40,4,0.000796,0.000024,OMP
41,4,0.001260,0.000033,OMP
41,4,0.001039,0.000031,OMP
41,4,0.001572,0.000034,OMP
41,4,0.001547,0.000033,OMP
41,4,0.000938,0.000033,OMP
42,4,0.001177,0.000032,OMP
42,4,0.001183,0.000027,OMP
42,4,0.000880,0.000030,OMP
42,4,0.001355,0.000029,OMP
42,4,0.001218,0.000032,OMP
43,4,0.001639,0.000032,OMP
43,4,0.000982,0.000028,OMP
43,4,0.000927,0.000033,OMP
43,4,0.001534,0.000029,OMP
43,4,0.001559,0.000035,OMP
44,4,0.000822,0.000033,OMP
44,4,0.001353,0.000033,OMP
44,4,0.001245,0.000036,OMP
44,4,0.000811,0.000034,OMP
44,4,0.001614,0.000036,OMP
45,4,0.001202,0.000030,OMP
45,4,0.001701,0.000035,OMP
45,4,0.001462,0.000035,OMP
45,4,0.001651,0.000037,OMP
45,4,0.001565,0.000034,OMP
46,4,0.002031,0.000030,OMP
46,4,0.001119,0.000032,OMP
46,4,0.001303,0.000031,OMP
46,4,0.001216,0.000035,OMP
46,4,0.001736,0.000036,OMP
47,4,0.001744,0.000037,OMP
47,4,0.001728,0.000041,OMP
47,4,0.001329,0.000036,OMP
47,4,0.001448,0.000036,OMP
47,4,0.001292,0.000047,OMP
48,4,0.001407,0.000037,OMP
48,4,0.001081,0.000031,OMP
48,4,0.001264,0.000034,OMP
48,4,0.001001,0.000046,OMP
48,4,0.001477,0.000031,OMP
49,4,0.001387,0.000038,OMP
49,4,0.001809,0.000038,OMP
49,4,0.001571,0.000037,OMP
49,4,0.001668,0.000038,OMP
49,4,0.001291,0.000042,OMP
50,4,0.001745,0.000040,OMP
50,4,0.001610,0.000037,OMP
50,4,0.001661,0.000037,OMP
50,4,0.001679,0.000039,OMP
50,4,0.001807,0.000040,OMP
51,4,0.001690,0.000035,OMP
51,4,0.001513,0.000047,OMP
51,4,0.001670,0.000037,OMP
51,4,0.001949,0.000037,OMP
51,4,0.001693,0.000035,OMP
52,4,0.002001,0.000042,OMP
52,4,0.001415,0.000040,OMP
52,4,0.001230,0.000038,OMP
52,4,0.001252,0.000039,OMP
52,4,0.001586,0.000038,OMP
53,4,0.001726,0.000036,OMP
53,4,0.001757,0.000039,OMP
53,4,0.001556,0.000059,OMP
53,4,0.001681,0.000036,OMP
53,4,0.001438,0.000048,OMP
54,4,0.001799,0.000039,OMP
54,4,0.001936,0.000041,OMP
54,4,0.001686,0.000035,OMP
54,4,0.001724,0.000043,OMP
54,4,0.001413,0.000040,OMP
55,4,0.001618,0.000037,OMP
55,4,0.002023,0.000043,OMP
55,4,0.002019,0.000055,OMP
55,4,0.001796,0.000042,OMP
55,4,0.001839,0.000067,OMP
56,4,0.001739,0.000044,OMP
56,4,0.001337,0.000048,OMP
56,4,0.001348,0.000043,OMP
56,4,0.002030,0.000043,OMP
56,4,0.002146,0.000053,OMP
57,4,0.002112,0.000044,OMP
57,4,0.001279,0.000041,OMP
57,4,0.002029,0.000038,OMP
57,4,0.001175,0.000033,OMP
57,4,0.001669,0.000052,OMP
58,4,0.002095,0.000066,OMP
58,4,0.001646,0.000038,OMP
58,4,0.001267,0.000038,OMP
58,4,0.001335,0.000034,OMP
58,4,0.002120,0.000049,OMP
59,4,0.001836,0.000047,OMP
59,4,0.001403,0.000047,OMP
59,4,0.002114,0.000050,OMP
59,4,0.001950,0.000048,OMP
59,4,0.001411,0.000043,OMP
60,4,0.001301,0.000040,OMP
60,4,0.002278,0.000044,OMP
60,4,0.002007,0.000041,OMP
60,4,0.001490,0.000039,OMP
60,4,0.001948,0.000043,OMP
61,4,0.002177,0.000045,OMP
61,4,0.001998,0.000044,OMP
61,4,0.001724,0.000043,OMP
