Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,1e-06,6e-07
1,4,OMP,4.1e-05,5.6e-06
2,4,OMP,0.00015560000000000001,1.0800000000000002e-05
3,4,OMP,0.00019339999999999998,1.1400000000000001e-05
4,4,OMP,0.000246,1.6e-05
5,4,OMP,0.0002712,1.2800000000000003e-05
6,4,OMP,0.0003104,1.4599999999999999e-05
7,4,OMP,0.00037739999999999996,1.38e-05
8,4,OMP,0.00039039999999999995,1.4000000000000001e-05
9,4,OMP,0.0004374,1.4199999999999998e-05
10,4,OMP,0.000487,1.4799999999999999e-05
11,4,OMP,0.0004990000000000001,1.5799999999999998e-05
12,4,OMP,0.0005353999999999999,1.66e-05
13,4,OMP,0.000592,1.8e-05
14,4,OMP,0.0006054,1.7399999999999996e-05
15,4,OMP,0.0006492000000000001,1.7e-05
16,4,OMP,0.0006758000000000001,1.74e-05
17,4,OMP,0.0006848,1.98e-05
18,4,OMP,0.0007288,1.9999999999999998e-05
19,4,OMP,0.0007768,1.9e-05
20,4,OMP,0.0007859999999999999,1.94e-05
21,4,OMP,0.0008142,2.1000000000000002e-05
22,4,OMP,0.0008276000000000001,2.32e-05
23,4,OMP,0.0009087999999999999,2.2199999999999998e-05
24,4,OMP,0.000894,2.6799999999999994e-05
25,4,OMP,0.000949,2.4200000000000002e-05
26,4,OMP,0.001101,2.7799999999999998e-05
27,4,OMP,0.0009924,2.42e-05
28,4,OMP,0.0009866,2.44e-05
29,4,OMP,0.0009496000000000001,2.94e-05
30,4,OMP,0.0010658,2.8800000000000005e-05
31,4,OMP,0.0011254,2.68e-05
32,4,OMP,0.0011718,3.2200000000000003e-05
33,4,OMP,0.0011316,2.7600000000000003e-05
34,4,OMP,0.0012577999999999999,2.82e-05
35,4,OMP,0.0011099999999999999,2.72e-05
36,4,OMP,0.0013396000000000003,3.04e-05
37,4,OMP,0.0012792,2.8800000000000002e-05
38,4,OMP,0.0011108,3.04e-05
39,4,OMP,0.0011661999999999998,3.08e-05
40,4,OMP,0.001222,2.9e-05
41,4,OMP,0.0012712,3.2800000000000004e-05
42,4,OMP,0.0011626000000000002,2.9999999999999997e-05
43,4,OMP,0.0013281999999999999,3.1400000000000004e-05
44,4,OMP,0.001169,3.44e-05
45,4,OMP,0.0015162,3.42e-05
46,4,OMP,0.0014810000000000001,3.28e-05
47,4,OMP,0.0015082,3.94e-05
48,4,OMP,0.0012460000000000001,3.5799999999999996e-05
49,4,OMP,0.0015452,3.86e-05
50,4,OMP,0.0017004000000000001,3.86e-05
51,4,OMP,0.001703,3.8199999999999993e-05
52,4,OMP,0.0014968,3.94e-05
53,4,OMP,0.0016316,4.36e-05
54,4,OMP,0.0017116,3.96e-05
55,4,OMP,0.001859,4.88e-05
56,4,OMP,0.00172,4.62e-05
57,4,OMP,0.0016527999999999998,4.16e-05
58,4,OMP,0.0016926,4.4999999999999996e-05
59,4,OMP,0.0017427999999999999,4.7000000000000004e-05
60,4,OMP,0.0018048,4.14e-05
61,4,OMP,0.0019244000000000002,4.3200000000000007e-05
62,4,OMP,0.0020074,4.92e-05
63,4,OMP,0.0021824,4.88e-05
64,4,OMP,0.0019472,5.139999999999999e-05
65,4,OMP,0.0022022,5.380000000000001e-05
66,4,OMP,0.0020152000000000004,4.64e-05
67,4,OMP,0.0055011999999999995,0.0009886
68,4,OMP,0.0039559999999999994,0.0019283999999999998
69,4,OMP,0.0044144,0.0006116000000000001
70,4,OMP,0.003998799999999999,0.0009916
71,4,OMP,0.0048094,0.0009728
72,4,OMP,0.007333600000000001,0.0019267999999999998
73,4,OMP,0.009854200000000002,0.009216400000000001
74,4,OMP,0.011922199999999999,0.0075864
75,4,OMP,0.011669599999999999,0.008638999999999999
76,4,OMP,0.012495999999999998,0.007738200000000001
77,4,OMP,0.011401,0.0095824
78,4,OMP,0.0110798,0.009591200000000001
79,4,OMP,0.011932000000000002,0.009530599999999998
80,4,OMP,0.010728,0.0105264
81,4,OMP,0.011966000000000001,0.0086012
82,4,OMP,0.0121362,0.0085898
83,4,OMP,0.0109268,0.010545200000000001
84,4,OMP,0.0128162,0.00869
85,4,OMP,0.011491600000000001,0.009602999999999999
86,4,OMP,0.013328000000000001,0.0086342
87,4,OMP,0.0117552,0.009606600000000002
88,4,OMP,0.010753400000000001,0.0095392
89,4,OMP,0.011547600000000002,0.0095648
90,4,OMP,0.012632399999999998,0.010588400000000001
91,4,OMP,0.0140192,0.0086558
92,4,OMP,0.011597,0.010534600000000002
93,4,OMP,0.012246,0.0095814
94,4,OMP,0.0114618,0.009626200000000001
95,4,OMP,0.0111436,0.0114774
96,4,OMP,0.015324400000000002,0.0058468
1,8,SEQ,1.7999999999999997e-06,8e-07
1,8,OMP,3.9e-05,6.2e-06
2,8,OMP,0.00015700000000000002,1.16e-05
3,8,OMP,0.00020139999999999996,1.16e-05
4,8,OMP,0.0002604,1.1000000000000001e-05
5,8,OMP,0.00027340000000000003,1.38e-05
6,8,OMP,0.0003098,1.34e-05
7,8,OMP,0.00034659999999999997,1.4000000000000001e-05
8,8,OMP,0.0003898,1.36e-05
9,8,OMP,0.0004206,1.72e-05
10,8,OMP,0.00046899999999999996,1.4800000000000002e-05
11,8,OMP,0.0005006,1.5199999999999998e-05
12,8,OMP,0.0005166,1.66e-05
13,8,OMP,0.0005723999999999999,1.64e-05
14,8,OMP,0.000569,1.78e-05
15,8,OMP,0.0006203999999999999,1.7999999999999997e-05
16,8,OMP,0.0006791999999999999,1.8400000000000003e-05
17,8,OMP,0.0006801999999999999,1.9e-05
18,8,OMP,0.0007086,2.0199999999999996e-05
19,8,OMP,0.0007802,2.54e-05
20,8,OMP,0.0007590000000000001,1.8599999999999998e-05
21,8,OMP,0.0008214000000000001,1.94e-05
22,8,OMP,0.00081,2.08e-05
23,8,OMP,0.0008920000000000001,2.1199999999999997e-05
24,8,OMP,0.0008737999999999999,2.44e-05
25,8,OMP,0.0009341999999999999,2.32e-05
26,8,OMP,0.000911,2.72e-05
27,8,OMP,0.0009332,2.4200000000000002e-05
28,8,OMP,0.0009641999999999999,2.5e-05
29,8,OMP,0.0009914,2.4200000000000002e-05
30,8,OMP,0.0010476,2.52e-05
31,8,OMP,0.0009742,3.3e-05
32,8,OMP,0.0010545999999999997,2.9599999999999998e-05
33,8,OMP,0.000997,2.5600000000000006e-05
34,8,OMP,0.0011870000000000001,2.68e-05
35,8,OMP,0.0011981999999999997,2.6600000000000003e-05
36,8,OMP,0.0011154,2.9600000000000005e-05
37,8,OMP,0.0012672,3.74e-05
38,8,OMP,0.0012423999999999998,2.8400000000000003e-05
39,8,OMP,0.0012576,3.8599999999999996e-05
40,8,OMP,0.0012699999999999999,2.9999999999999997e-05
41,8,OMP,0.0012424,3.0199999999999995e-05
42,8,OMP,0.0012255999999999999,3.04e-05
43,8,OMP,0.00124,3.12e-05
44,8,OMP,0.0014047999999999999,3.3400000000000005e-05
45,8,OMP,0.0015616000000000002,3.0199999999999995e-05
46,8,OMP,0.0012128,3.08e-05
47,8,OMP,0.0028821999999999997,7.999999999999999e-05
48,8,OMP,0.0009922,3.44e-05
49,8,OMP,0.0014854,3.58e-05
50,8,OMP,0.0012818,3.34e-05
51,8,OMP,0.0014031999999999998,3.4599999999999994e-05
52,8,OMP,0.001212,3.4e-05
53,8,OMP,0.0014404,4.4399999999999995e-05
54,8,OMP,0.0013146,3.74e-05
55,8,OMP,0.001353,3.48e-05
56,8,OMP,0.0013138,3.6400000000000004e-05
57,8,OMP,0.001224,3.84e-05
58,8,OMP,0.0014405999999999998,4.2e-05
59,8,OMP,0.0014838,3.7e-05
60,8,OMP,0.0012774,3.92e-05
61,8,OMP,0.0013798,4.08e-05
62,8,OMP,0.0016038,4.32e-05
63,8,OMP,0.0014568,4.14e-05
64,8,OMP,0.0014002,4.38e-05
65,8,OMP,0.0017458,5.340000000000001e-05
66,8,OMP,0.0016468,4.62e-05
67,8,OMP,0.0020062,5.26e-05
68,8,OMP,0.003454,4.32e-05
69,8,OMP,0.0032281999999999996,4.78e-05
70,8,OMP,0.0055563999999999995,0.000996
71,8,OMP,0.0081126,0.0019340000000000004
72,8,OMP,0.0098304,0.0074268
73,8,OMP,0.010153800000000001,0.008129
74,8,OMP,0.0112202,0.008549999999999999
75,8,OMP,0.010486400000000002,0.0104944
76,8,OMP,0.012815799999999999,0.007678200000000001
77,8,OMP,0.0106356,0.010442400000000001
78,8,OMP,0.010269,0.0094872
79,8,OMP,0.010381,0.009538799999999998
80,8,OMP,0.011551599999999999,0.010879799999999998
81,8,OMP,0.013701,0.007628600000000001
82,8,OMP,0.013425399999999999,0.007714599999999999
83,8,OMP,0.012601000000000001,0.008628399999999998
84,8,OMP,0.0121114,0.0086654
85,8,OMP,0.011409,0.0095608
86,8,OMP,0.011504,0.0086148
87,8,OMP,0.010352,0.009531799999999998
88,8,OMP,0.0118232,0.009585
89,8,OMP,0.0122728,0.010508
90,8,OMP,0.0122324,0.008650399999999999
91,8,OMP,0.0123074,0.009591600000000002
92,8,OMP,0.011363,0.0105682
93,8,OMP,0.0130556,0.008759600000000001
94,8,OMP,0.011194599999999999,0.0096174
95,8,OMP,0.0149376,0.006808800000000001
96,8,OMP,0.012904599999999999,0.0086176
1,16,SEQ,3.7999999999999996e-06,2e-06
1,16,OMP,4.5600000000000004e-05,8e-06
2,16,OMP,0.0001518,1.34e-05
3,16,OMP,0.000215,1.58e-05
4,16,OMP,0.0002444,1.36e-05
5,16,OMP,0.0002832,1.38e-05
6,16,OMP,0.00029439999999999995,1.4599999999999999e-05
7,16,OMP,0.00036940000000000003,1.4599999999999999e-05
8,16,OMP,0.0003814,1.54e-05
9,16,OMP,0.0004116,1.5799999999999998e-05
10,16,OMP,0.00047559999999999996,1.6600000000000004e-05
11,16,OMP,0.0004945999999999999,1.4599999999999999e-05
12,16,OMP,0.0005053999999999999,1.74e-05
13,16,OMP,0.0007030000000000001,2.04e-05
14,16,OMP,0.0005698,2.48e-05
15,16,OMP,0.0006083999999999999,2.06e-05
16,16,OMP,0.0006428,1.98e-05
17,16,OMP,0.0006592,2.1600000000000003e-05
18,16,OMP,0.0007111999999999999,1.9999999999999998e-05
19,16,OMP,0.0007534,2.14e-05
20,16,OMP,0.0007654000000000001,2.42e-05
21,16,OMP,0.0007874000000000001,2.24e-05
22,16,OMP,0.000782,2.2e-05
23,16,OMP,0.0008070000000000001,2.0399999999999998e-05
24,16,OMP,0.0008798,2.46e-05
25,16,OMP,0.0008733999999999999,2.14e-05
26,16,OMP,0.0009348000000000001,2.5600000000000006e-05
27,16,OMP,0.0009146,2.38e-05
28,16,OMP,0.0009291999999999998,2.7799999999999998e-05
29,16,OMP,0.0009186,2.76e-05
30,16,OMP,0.0011078000000000001,2.5600000000000006e-05
31,16,OMP,0.0011090000000000002,2.5600000000000006e-05
32,16,OMP,0.0011082,2.82e-05
33,16,OMP,0.0011492,2.74e-05
34,16,OMP,0.0012428,3.04e-05
35,16,OMP,0.0011486,3.08e-05
36,16,OMP,0.0012116,2.94e-05
37,16,OMP,0.001142,3.7199999999999996e-05
38,16,OMP,0.0012042,2.86e-05
39,16,OMP,0.000885,2.94e-05
40,16,OMP,0.0012304,3.0199999999999995e-05
41,16,OMP,0.0010286,3.72e-05
42,16,OMP,0.0010836,3.2e-05
43,16,OMP,0.0010188,3.0200000000000002e-05
44,16,OMP,0.0011799999999999998,3.12e-05
45,16,OMP,0.001177,3.26e-05
46,16,OMP,0.0010692000000000002,3.32e-05
47,16,OMP,0.001273,3.5e-05
48,16,OMP,0.0014056,3.1599999999999996e-05
49,16,OMP,0.0012714,3.72e-05
50,16,OMP,0.0012898,3.52e-05
51,16,OMP,0.0011725999999999998,3.52e-05
52,16,OMP,0.0013260000000000001,3.92e-05
53,16,OMP,0.0012414,3.9800000000000005e-05
54,16,OMP,0.0012672,4.2199999999999996e-05
55,16,OMP,0.0016091999999999999,3.74e-05
56,16,OMP,0.001333,4.119999999999999e-05
57,16,OMP,0.0014296,3.7600000000000006e-05
58,16,OMP,0.0012124,4.7000000000000004e-05
59,16,OMP,0.0015316,3.88e-05
60,16,OMP,0.0013842,5.52e-05
61,16,OMP,0.0014914,4.3e-05
62,16,OMP,0.0016278,4.56e-05
63,16,OMP,0.0014156,3.96e-05
64,16,OMP,0.0015300000000000001,4.14e-05
65,16,OMP,0.0017791999999999999,4.98e-05
66,16,OMP,0.0016004,5.0199999999999994e-05
67,16,OMP,0.0019349999999999999,4.3599999999999996e-05
68,16,OMP,0.0054736,5.599999999999999e-05
69,16,OMP,0.0036524,4.3200000000000007e-05
70,16,OMP,0.002155,4.44e-05
71,16,OMP,0.0073378,0.0019262
72,16,OMP,0.008588599999999998,0.0038298
73,16,OMP,0.0098844,0.008517
74,16,OMP,0.0099052,0.0094786
75,16,OMP,0.0099752,0.009464
76,16,OMP,0.0107052,0.0088464
77,16,OMP,0.0119192,0.007594999999999999
78,16,OMP,0.011414200000000001,0.009565
79,16,OMP,0.011596600000000002,0.0095446
80,16,OMP,0.010863000000000001,0.009561400000000001
81,16,OMP,0.011941799999999999,0.011475200000000001
82,16,OMP,0.0113992,0.0104962
83,16,OMP,0.012054400000000002,0.009537200000000001
84,16,OMP,0.0130496,0.007679799999999999
85,16,OMP,0.010230199999999998,0.0095496
86,16,OMP,0.015228199999999997,0.006739200000000001
87,16,OMP,0.011374200000000001,0.0095956
88,16,OMP,0.011135599999999999,0.0111568
89,16,OMP,0.011440200000000001,0.0095892
90,16,OMP,0.0118514,0.010263600000000001
91,16,OMP,0.0123578,0.0086108
92,16,OMP,0.0123024,0.0105842
93,16,OMP,0.011841,0.0105286
94,16,OMP,0.0131,0.0086002
95,16,OMP,0.0135936,0.008738800000000001
96,16,OMP,0.0134742,0.008635599999999998
1,32,SEQ,1.0800000000000002e-05,6.999999999999999e-06
1,32,OMP,4.66e-05,1.1800000000000002e-05
2,32,OMP,0.0001592,2.02e-05
3,32,OMP,0.0002066,2e-05
4,32,OMP,0.0002614,2e-05
5,32,OMP,0.0002756,2.14e-05
6,32,OMP,0.00030980000000000005,2.14e-05
7,32,OMP,0.00036419999999999996,2.2e-05
8,32,OMP,0.000381,2.28e-05
9,32,OMP,0.00042699999999999997,2.34e-05
10,32,OMP,0.00048400000000000006,2.5600000000000006e-05
11,32,OMP,0.0004898,2.46e-05
12,32,OMP,0.0004938,2.5800000000000004e-05
13,32,OMP,0.0005632,2.32e-05
14,32,OMP,0.0005881999999999999,2.72e-05
15,32,OMP,0.000627,2.48e-05
16,32,OMP,0.0007448000000000001,2.54e-05
17,32,OMP,0.0006912,2.86e-05
18,32,OMP,0.000695,2.82e-05
19,32,OMP,0.0007554,2.8400000000000003e-05
20,32,OMP,0.0008074000000000001,3.100000000000001e-05
21,32,OMP,0.0007896,3.06e-05
22,32,OMP,0.0008638,3.5e-05
23,32,OMP,0.0008307999999999999,2.9800000000000003e-05
24,32,OMP,0.0009098,3.28e-05
25,32,OMP,0.0008954,3.3e-05
26,32,OMP,0.0009808,3.2200000000000003e-05
27,32,OMP,0.0009923999999999998,3.1400000000000004e-05
28,32,OMP,0.0010103999999999998,3.3e-05
29,32,OMP,0.0010464,3.1200000000000006e-05
30,32,OMP,0.0011314,3.4e-05
31,32,OMP,0.0010374,3.5799999999999996e-05
32,32,OMP,0.0012194,3.52e-05
33,32,OMP,0.0010606,3.46e-05
34,32,OMP,0.0010256,3.5e-05
35,32,OMP,0.0012836,3.74e-05
36,32,OMP,0.001208,3.52e-05
37,32,OMP,0.0012916,4.18e-05
38,32,OMP,0.0011346000000000001,3.8e-05
39,32,OMP,0.0012432,3.7199999999999996e-05
40,32,OMP,0.001206,4.28e-05
41,32,OMP,0.0011768,4.16e-05
42,32,OMP,0.0011576,3.42e-05
43,32,OMP,0.0012786,3.92e-05
44,32,OMP,0.0014462000000000001,3.9000000000000006e-05
45,32,OMP,0.0012174,4.4e-05
46,32,OMP,0.0014894,4.22e-05
47,32,OMP,0.0013127999999999998,4.46e-05
48,32,OMP,0.001205,4e-05
49,32,OMP,0.0014196,4.32e-05
50,32,OMP,0.0015642,4.48e-05
51,32,OMP,0.0016194,4.28e-05
52,32,OMP,0.0013242,4.44e-05
53,32,OMP,0.0015554,4.5600000000000004e-05
54,32,OMP,0.0017464,4.64e-05
55,32,OMP,0.0016024,5.0600000000000003e-05
56,32,OMP,0.0017938,4.64e-05
57,32,OMP,0.0018470000000000001,5.1000000000000006e-05
58,32,OMP,0.0017092,5.26e-05
59,32,OMP,0.0014536,4.9399999999999995e-05
60,32,OMP,0.0017173999999999998,4.4800000000000005e-05
61,32,OMP,0.0013402000000000002,4.52e-05
62,32,OMP,0.00129,4.54e-05
63,32,OMP,0.0015046,5.5599999999999996e-05
64,32,OMP,0.0016791999999999998,5.5e-05
65,32,OMP,0.0015990000000000002,5.3200000000000006e-05
66,32,OMP,0.0018764000000000003,5.2e-05
67,32,OMP,0.0020318,5.1599999999999994e-05
68,32,OMP,0.0027852000000000003,4.880000000000001e-05
69,32,OMP,0.0025180000000000003,4.98e-05
70,32,OMP,0.0053716,0.0009932
71,32,OMP,0.0062152,0.0037956000000000005
72,32,OMP,0.008611,0.0038142000000000002
73,32,OMP,0.009864000000000001,0.009456
74,32,OMP,0.010140399999999999,0.010399599999999998
75,32,OMP,0.0102368,0.009485200000000001
76,32,OMP,0.011286399999999999,0.008582999999999999
77,32,OMP,0.010904,0.009535
78,32,OMP,0.0122976,0.009534
79,32,OMP,0.010595000000000002,0.0094814
80,32,OMP,0.012518400000000002,0.0086378
81,32,OMP,0.0111538,0.0085822
82,32,OMP,0.011759200000000001,0.009004000000000002
83,32,OMP,0.0110752,0.0123896
84,32,OMP,0.0112588,0.0105552
85,32,OMP,0.012861599999999997,0.0086652
86,32,OMP,0.0108402,0.0114322
87,32,OMP,0.0134186,0.007730999999999999
88,32,OMP,0.01093,0.009565599999999999
89,32,OMP,0.0120776,0.0086342
90,32,OMP,0.0123856,0.0105542
91,32,OMP,0.013324599999999997,0.0096126
92,32,OMP,0.013438,0.0086376
93,32,OMP,0.013503999999999999,0.0086804
94,32,OMP,0.012943199999999998,0.0085752
95,32,OMP,0.012232799999999999,0.008631
96,32,OMP,0.0115898,0.0095694
1,64,SEQ,3.46e-05,3.32e-05
1,64,OMP,8.9e-05,4.7600000000000005e-05
2,64,OMP,0.00020020000000000004,5.759999999999999e-05
3,64,OMP,0.0002518,5.86e-05
4,64,OMP,0.000283,6.259999999999999e-05
5,64,OMP,0.0003202,6.74e-05
6,64,OMP,0.00035539999999999997,5.9800000000000003e-05
7,64,OMP,0.0004066,6.82e-05
8,64,OMP,0.0004202,6.5e-05
9,64,OMP,0.000454,6.66e-05
10,64,OMP,0.000485,6.4e-05
11,64,OMP,0.0004942,6.6e-05
12,64,OMP,0.0005443999999999999,6.72e-05
13,64,OMP,0.0005672,6.12e-05
