Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,7.8e-06,0.0
1,4,OMP,1.82e-05,2.6e-06
2,4,OMP,0.0001436,9e-06
3,4,OMP,0.00012079999999999998,8.6e-06
4,4,OMP,0.00014439999999999999,9.999999999999999e-06
5,4,OMP,0.00012119999999999999,9.6e-06
6,4,OMP,0.0001364,1.4400000000000003e-05
7,4,OMP,0.0001864,1.08e-05
8,4,OMP,0.00026060000000000005,1.16e-05
9,4,OMP,0.00028179999999999997,1.26e-05
10,4,OMP,0.00026020000000000004,1.2200000000000002e-05
11,4,OMP,0.00031160000000000004,2.42e-05
12,4,OMP,0.0002848,1.2600000000000003e-05
13,4,OMP,0.00038019999999999997,1.3000000000000001e-05
14,4,OMP,0.00028879999999999997,1.4000000000000001e-05
15,4,OMP,0.0003394,1.72e-05
16,4,OMP,0.00034720000000000004,1.4199999999999998e-05
17,4,OMP,0.00043,1.5799999999999998e-05
18,4,OMP,0.0003556,1.7e-05
19,4,OMP,0.0004688,1.5999999999999996e-05
20,4,OMP,0.0005006,1.8e-05
21,4,OMP,0.0004602,1.64e-05
22,4,OMP,0.00040540000000000004,1.72e-05
23,4,OMP,0.0005626000000000001,1.96e-05
24,4,OMP,0.0005694,2.1799999999999998e-05
25,4,OMP,0.0006236,1.84e-05
26,4,OMP,0.0005096,1.8399999999999997e-05
27,4,OMP,0.00047459999999999994,1.86e-05
28,4,OMP,0.0005017999999999999,2.3e-05
29,4,OMP,0.0006990000000000001,2.32e-05
30,4,OMP,0.0005558000000000001,2.28e-05
31,4,OMP,0.0005578,2.6000000000000002e-05
32,4,OMP,0.0006744000000000001,2.7800000000000005e-05
33,4,OMP,0.0007166,2.4e-05
34,4,OMP,0.0009672,2.5e-05
35,4,OMP,0.001045,2.28e-05
36,4,OMP,0.0008825999999999999,2.4200000000000002e-05
37,4,OMP,0.0009270000000000001,2.2800000000000002e-05
38,4,OMP,0.0007046,2.74e-05
39,4,OMP,0.0010768,2.5600000000000006e-05
40,4,OMP,0.00089,2.9e-05
41,4,OMP,0.0006961999999999999,2.9599999999999998e-05
42,4,OMP,0.0008903999999999999,2.8800000000000005e-05
43,4,OMP,0.0009576000000000001,2.9199999999999998e-05
44,4,OMP,0.0008642000000000001,2.82e-05
45,4,OMP,0.0007932,2.6600000000000003e-05
46,4,OMP,0.0009375999999999999,2.5e-05
47,4,OMP,0.0010183999999999998,2.82e-05
48,4,OMP,0.0008686,3.24e-05
49,4,OMP,0.0010094,3.2399999999999995e-05
50,4,OMP,0.0008707999999999999,2.9199999999999998e-05
51,4,OMP,0.0011894000000000002,2.9599999999999998e-05
52,4,OMP,0.0010422,3.88e-05
53,4,OMP,0.0009712,3.5e-05
54,4,OMP,0.0010528,3.36e-05
55,4,OMP,0.0010539999999999998,3.0199999999999995e-05
56,4,OMP,0.0012916000000000002,3.48e-05
57,4,OMP,0.0009774,3.4599999999999994e-05
58,4,OMP,0.0011812,3.5999999999999994e-05
59,4,OMP,0.0011434,3.42e-05
60,4,OMP,0.0012732,3.680000000000001e-05
61,4,OMP,0.0012579999999999998,3.84e-05
62,4,OMP,0.0012285999999999998,3.48e-05
63,4,OMP,0.001192,3.3600000000000004e-05
64,4,OMP,0.0012338,3.74e-05
65,4,OMP,0.001302,3.52e-05
66,4,OMP,0.0012366,3.9000000000000006e-05
67,4,OMP,0.0012814,3.98e-05
68,4,OMP,0.0012314,3.5000000000000004e-05
69,4,OMP,0.0011769999999999999,4.24e-05
70,4,OMP,0.0013,4.3400000000000005e-05
71,4,OMP,0.0013555999999999998,3.9e-05
72,4,OMP,0.0012664,4.1200000000000005e-05
73,4,OMP,0.001394,4.02e-05
74,4,OMP,0.0015544,4.38e-05
75,4,OMP,0.0017687999999999998,3.6599999999999995e-05
76,4,OMP,0.0014810000000000001,4.12e-05
77,4,OMP,0.0015103999999999999,4.66e-05
78,4,OMP,0.0015322000000000003,4.5400000000000006e-05
79,4,OMP,0.0014772000000000001,4.2399999999999994e-05
80,4,OMP,0.0014756,4.26e-05
81,4,OMP,0.0016478,4.7000000000000004e-05
82,4,OMP,0.0016380000000000001,4.12e-05
83,4,OMP,0.0018248000000000001,4.9e-05
84,4,OMP,0.0015597999999999999,4.460000000000001e-05
85,4,OMP,0.0028187999999999998,4.6800000000000006e-05
86,4,OMP,0.0033512,0.0009715999999999999
87,4,OMP,0.0023354,4.5600000000000004e-05
88,4,OMP,0.0035239999999999994,4.68e-05
89,4,OMP,0.0018508000000000003,4.72e-05
90,4,OMP,0.003748799999999999,0.000983
91,4,OMP,0.005731,0.0019573999999999998
92,4,OMP,0.0050554,4.98e-05
93,4,OMP,0.0061168,0.0019562
94,4,OMP,0.008688600000000001,0.0057742
95,4,OMP,0.0105258,0.0067082
96,4,OMP,0.0105988,0.009262200000000002
1,8,SEQ,1.6e-06,6e-07
1,8,OMP,3.16e-05,5.199999999999999e-06
2,8,OMP,0.00015500000000000003,1.0600000000000002e-05
3,8,OMP,0.00017460000000000002,1.0800000000000002e-05
4,8,OMP,0.00021839999999999997,9.800000000000001e-06
5,8,OMP,0.00028139999999999996,1.16e-05
6,8,OMP,0.00027820000000000004,1.06e-05
7,8,OMP,0.000276,1.5000000000000002e-05
8,8,OMP,0.00018240000000000002,8.6e-06
9,8,OMP,0.0002582,1.34e-05
10,8,OMP,0.000307,1.34e-05
11,8,OMP,0.00033,1.24e-05
12,8,OMP,0.000389,1.4200000000000001e-05
13,8,OMP,0.0005407999999999999,1.4799999999999999e-05
14,8,OMP,0.0005055999999999999,1.52e-05
15,8,OMP,0.0005342000000000001,1.36e-05
16,8,OMP,0.0005412,1.6800000000000002e-05
17,8,OMP,0.0005476,1.4200000000000001e-05
18,8,OMP,0.0004588,1.76e-05
19,8,OMP,0.0006568000000000001,1.7e-05
20,8,OMP,0.0006870000000000001,1.72e-05
21,8,OMP,0.0007358,1.6800000000000002e-05
22,8,OMP,0.0006594,1.9999999999999998e-05
23,8,OMP,0.0007681999999999999,1.74e-05
24,8,OMP,0.0007098,1.7999999999999997e-05
25,8,OMP,0.0007624000000000001,2.0799999999999997e-05
26,8,OMP,0.0007454,1.8e-05
27,8,OMP,0.0008461999999999999,2e-05
28,8,OMP,0.0006709999999999999,2.1799999999999998e-05
29,8,OMP,0.0007614,2.1600000000000003e-05
30,8,OMP,0.0007237999999999999,2.16e-05
31,8,OMP,0.0006874,2.28e-05
32,8,OMP,0.0008606000000000001,2.18e-05
33,8,OMP,0.0006345999999999999,2.2199999999999998e-05
34,8,OMP,0.0009464,2.2199999999999998e-05
35,8,OMP,0.0008102000000000002,2.6599999999999996e-05
36,8,OMP,0.0011004,2.38e-05
37,8,OMP,0.0008706,2.1799999999999998e-05
38,8,OMP,0.0008372,2.38e-05
39,8,OMP,0.0007681999999999999,2.56e-05
40,8,OMP,0.0009822000000000001,2.6e-05
41,8,OMP,0.000872,2.42e-05
42,8,OMP,0.0010709999999999997,2.94e-05
43,8,OMP,0.0008232,2.72e-05
44,8,OMP,0.0008851999999999998,2.9e-05
45,8,OMP,0.0013155999999999999,2.56e-05
46,8,OMP,0.0010086,3.1e-05
47,8,OMP,0.000863,3.28e-05
48,8,OMP,0.000997,2.74e-05
49,8,OMP,0.0010518,2.6600000000000003e-05
50,8,OMP,0.000988,2.82e-05
51,8,OMP,0.0010488000000000001,3.0000000000000004e-05
52,8,OMP,0.0008803999999999999,3.1200000000000006e-05
53,8,OMP,0.0011504,3.1400000000000004e-05
54,8,OMP,0.0010768,3.28e-05
55,8,OMP,0.0014403999999999999,3.2200000000000003e-05
56,8,OMP,0.0013138,3.08e-05
57,8,OMP,0.0013312,3.4200000000000005e-05
58,8,OMP,0.0014418,2.9200000000000005e-05
59,8,OMP,0.0014874000000000003,2.9600000000000005e-05
60,8,OMP,0.0012923999999999998,3.320000000000001e-05
61,8,OMP,0.0013432,3.28e-05
62,8,OMP,0.0012094,3.26e-05
63,8,OMP,0.0013685999999999998,3.7800000000000004e-05
64,8,OMP,0.00121,3.5e-05
65,8,OMP,0.001273,4.1200000000000005e-05
66,8,OMP,0.0013187999999999997,3.320000000000001e-05
67,8,OMP,0.001369,3.52e-05
68,8,OMP,0.0011806,4.1400000000000003e-05
69,8,OMP,0.0012685999999999997,3.9200000000000004e-05
70,8,OMP,0.001448,3.780000000000001e-05
71,8,OMP,0.0015384,3.66e-05
72,8,OMP,0.0014172,4.18e-05
73,8,OMP,0.0013696,3.88e-05
74,8,OMP,0.0014973999999999999,3.6400000000000004e-05
75,8,OMP,0.0013668,4.4999999999999996e-05
76,8,OMP,0.0013746,3.7999999999999995e-05
77,8,OMP,0.0016254000000000002,4.2000000000000004e-05
78,8,OMP,0.0015991999999999998,4.7600000000000005e-05
79,8,OMP,0.0017722000000000003,3.86e-05
80,8,OMP,0.0016987999999999999,4.9e-05
81,8,OMP,0.0017256,4.1599999999999995e-05
82,8,OMP,0.001678,4.3799999999999994e-05
83,8,OMP,0.0016996000000000001,4.78e-05
84,8,OMP,0.0017666000000000001,4.54e-05
85,8,OMP,0.0022827999999999998,5e-05
86,8,OMP,0.0036555999999999997,6.1e-05
87,8,OMP,0.0023702000000000003,4.68e-05
88,8,OMP,0.0021994,5.58e-05
89,8,OMP,0.0038482000000000004,4.9e-05
90,8,OMP,0.0026958,4.7799999999999996e-05
91,8,OMP,0.0065228,0.0010053999999999998
92,8,OMP,0.0052072,0.0019262
93,8,OMP,0.0073648,0.0028992
94,8,OMP,0.008543400000000001,0.0038152
95,8,OMP,0.008600199999999999,0.007603799999999999
96,8,OMP,0.0089586,0.006653600000000001
1,16,SEQ,2.2e-06,1.3999999999999997e-06
1,16,OMP,3.3199999999999994e-05,5.600000000000001e-06
2,16,OMP,9.84e-05,1.2200000000000002e-05
3,16,OMP,0.00013680000000000002,1.3e-05
4,16,OMP,0.0001628,1.56e-05
5,16,OMP,0.0001642,1.1999999999999999e-05
6,16,OMP,0.0001916,1.8800000000000003e-05
7,16,OMP,0.0002536,1.7e-05
8,16,OMP,0.0002404,2.3399999999999996e-05
9,16,OMP,0.000281,1.66e-05
