Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000000,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000023,0.000002,OMP
1,4,0.000031,0.000003,OMP
1,4,0.000032,0.000003,OMP
1,4,0.000029,0.000003,OMP
1,4,0.000029,0.000003,OMP
2,4,0.000119,0.000007,OMP
2,4,0.000187,0.000006,OMP
2,4,0.000162,0.000007,OMP
2,4,0.000139,0.000006,OMP
2,4,0.000118,0.000006,OMP
3,4,0.000218,0.000009,OMP
3,4,0.000249,0.000006,OMP
3,4,0.000259,0.000007,OMP
3,4,0.000212,0.000008,OMP
3,4,0.000168,0.000007,OMP
4,4,0.000238,0.000007,OMP
4,4,0.000197,0.000008,OMP
4,4,0.000209,0.000007,OMP
4,4,0.000235,0.000006,OMP
4,4,0.000244,0.000007,OMP
5,4,0.000246,0.000007,OMP
5,4,0.000239,0.000007,OMP
5,4,0.000266,0.000007,OMP
5,4,0.000234,0.000008,OMP
5,4,0.000239,0.000008,OMP
6,4,0.000298,0.000007,OMP
6,4,0.000268,0.000007,OMP
6,4,0.000262,0.000008,OMP
6,4,0.000305,0.000008,OMP
6,4,0.000301,0.000008,OMP
7,4,0.000356,0.000007,OMP
7,4,0.000339,0.000008,OMP
7,4,0.000337,0.000007,OMP
7,4,0.000327,0.000007,OMP
7,4,0.000333,0.000007,OMP
8,4,0.000400,0.000007,OMP
8,4,0.000334,0.000008,OMP
8,4,0.000362,0.000008,OMP
8,4,0.000384,0.000009,OMP
8,4,0.000372,0.000009,OMP
9,4,0.000420,0.000008,OMP
9,4,0.000448,0.000008,OMP
9,4,0.000413,0.000008,OMP
9,4,0.000367,0.000008,OMP
9,4,0.000385,0.000009,OMP
10,4,0.000446,0.000009,OMP
10,4,0.000397,0.000008,OMP
10,4,0.000446,0.000009,OMP
10,4,0.000439,0.000008,OMP
10,4,0.000436,0.000008,OMP
11,4,0.000500,0.000010,OMP
11,4,0.000445,0.000011,OMP
11,4,0.000512,0.000008,OMP
11,4,0.000454,0.000010,OMP
11,4,0.000474,0.000010,OMP
12,4,0.000500,0.000009,OMP
12,4,0.000454,0.000010,OMP
12,4,0.000478,0.000009,OMP
12,4,0.000498,0.000009,OMP
12,4,0.000506,0.000010,OMP
13,4,0.000563,0.000011,OMP
13,4,0.000544,0.000011,OMP
13,4,0.000535,0.000010,OMP
13,4,0.000548,0.000010,OMP
13,4,0.000561,0.000010,OMP
14,4,0.000563,0.000010,OMP
14,4,0.000584,0.000009,OMP
14,4,0.000532,0.000010,OMP
14,4,0.000548,0.000010,OMP
14,4,0.000539,0.000009,OMP
15,4,0.000590,0.000010,OMP
15,4,0.000578,0.000010,OMP
15,4,0.000580,0.000010,OMP
15,4,0.000600,0.000011,OMP
15,4,0.000584,0.000010,OMP
16,4,0.000638,0.000010,OMP
16,4,0.000666,0.000010,OMP
16,4,0.000639,0.000012,OMP
16,4,0.000643,0.000011,OMP
16,4,0.000613,0.000009,OMP
17,4,0.000725,0.000011,OMP
17,4,0.000648,0.000012,OMP
17,4,0.000678,0.000010,OMP
17,4,0.000607,0.000014,OMP
17,4,0.000647,0.000012,OMP
18,4,0.000682,0.000011,OMP
18,4,0.000717,0.000012,OMP
18,4,0.000714,0.000013,OMP
18,4,0.000683,0.000012,OMP
18,4,0.000723,0.000012,OMP
19,4,0.000758,0.000012,OMP
19,4,0.000766,0.000012,OMP
19,4,0.000761,0.000012,OMP
19,4,0.000702,0.000012,OMP
19,4,0.000745,0.000012,OMP
20,4,0.001153,0.000012,OMP
20,4,0.000784,0.000011,OMP
20,4,0.000683,0.000012,OMP
20,4,0.000702,0.000011,OMP
20,4,0.000746,0.000014,OMP
21,4,0.000777,0.000014,OMP
21,4,0.000797,0.000011,OMP
21,4,0.000824,0.000014,OMP
21,4,0.000771,0.000012,OMP
21,4,0.000796,0.000012,OMP
22,4,0.000793,0.000012,OMP
22,4,0.000850,0.000013,OMP
22,4,0.000816,0.000012,OMP
22,4,0.000887,0.000013,OMP
22,4,0.000821,0.000012,OMP
23,4,0.000790,0.000013,OMP
23,4,0.000837,0.000014,OMP
23,4,0.000885,0.000016,OMP
23,4,0.000926,0.000019,OMP
23,4,0.000891,0.000013,OMP
24,4,0.000893,0.000012,OMP
24,4,0.000838,0.000012,OMP
24,4,0.000871,0.000013,OMP
24,4,0.000934,0.000014,OMP
24,4,0.000997,0.000014,OMP
25,4,0.000945,0.000015,OMP
25,4,0.000900,0.000013,OMP
25,4,0.000944,0.000013,OMP
25,4,0.000965,0.000014,OMP
25,4,0.000785,0.000014,OMP
26,4,0.000868,0.000014,OMP
26,4,0.000843,0.000013,OMP
26,4,0.001019,0.000017,OMP
26,4,0.001040,0.000015,OMP
26,4,0.000991,0.000016,OMP
27,4,0.000869,0.000014,OMP
27,4,0.000904,0.000014,OMP
27,4,0.000859,0.000014,OMP
27,4,0.000898,0.000019,OMP
27,4,0.000882,0.000014,OMP
28,4,0.001065,0.000016,OMP
28,4,0.000886,0.000013,OMP
28,4,0.000864,0.000016,OMP
28,4,0.000955,0.000014,OMP
28,4,0.000960,0.000016,OMP
29,4,0.000902,0.000014,OMP
29,4,0.000967,0.000012,OMP
29,4,0.000967,0.000013,OMP
29,4,0.000902,0.000015,OMP
29,4,0.001151,0.000014,OMP
30,4,0.000909,0.000015,OMP
30,4,0.001129,0.000015,OMP
30,4,0.000862,0.000017,OMP
30,4,0.000807,0.000013,OMP
30,4,0.000959,0.000015,OMP
31,4,0.000916,0.000016,OMP
31,4,0.001034,0.000014,OMP
31,4,0.000963,0.000014,OMP
31,4,0.000836,0.000016,OMP
31,4,0.001117,0.000014,OMP
32,4,0.001189,0.000016,OMP
32,4,0.001106,0.000016,OMP
32,4,0.001161,0.000017,OMP
32,4,0.001236,0.000015,OMP
32,4,0.001209,0.000016,OMP
33,4,0.000989,0.000015,OMP
33,4,0.001339,0.000015,OMP
33,4,0.001059,0.000016,OMP
33,4,0.001217,0.000017,OMP
33,4,0.001193,0.000018,OMP
34,4,0.001106,0.000018,OMP
34,4,0.001159,0.000016,OMP
34,4,0.001316,0.000017,OMP
34,4,0.000938,0.000017,OMP
34,4,0.001198,0.000043,OMP
35,4,0.001210,0.000018,OMP
35,4,0.000923,0.000019,OMP
35,4,0.001335,0.000017,OMP
35,4,0.001235,0.000016,OMP
35,4,0.000956,0.000016,OMP
36,4,0.001164,0.000018,OMP
36,4,0.001293,0.000017,OMP
36,4,0.000934,0.000016,OMP
36,4,0.001346,0.000019,OMP
36,4,0.001080,0.000017,OMP
37,4,0.001035,0.000015,OMP
37,4,0.001345,0.000020,OMP
37,4,0.001353,0.000028,OMP
37,4,0.001041,0.000016,OMP
37,4,0.001242,0.000016,OMP
38,4,0.001424,0.000019,OMP
38,4,0.000972,0.000016,OMP
38,4,0.001370,0.000019,OMP
38,4,0.001220,0.000019,OMP
38,4,0.001012,0.000015,OMP
39,4,0.001147,0.000018,OMP
39,4,0.001064,0.000018,OMP
39,4,0.001031,0.000019,OMP
39,4,0.001638,0.000016,OMP
39,4,0.000998,0.000018,OMP
40,4,0.001097,0.000018,OMP
40,4,0.001519,0.000018,OMP
40,4,0.001449,0.000018,OMP
40,4,0.000981,0.000016,OMP
40,4,0.001218,0.000020,OMP
41,4,0.001051,0.000019,OMP
41,4,0.001472,0.000021,OMP
41,4,0.001501,0.000019,OMP
41,4,0.000951,0.000018,OMP
41,4,0.001509,0.000019,OMP
42,4,0.001200,0.000018,OMP
42,4,0.000987,0.000019,OMP
42,4,0.001266,0.000019,OMP
42,4,0.000966,0.000016,OMP
42,4,0.000910,0.000018,OMP
43,4,0.000892,0.000017,OMP
43,4,0.001477,0.000020,OMP
43,4,0.001294,0.000021,OMP
43,4,0.000855,0.000018,OMP
43,4,0.001584,0.000019,OMP
44,4,0.001347,0.000019,OMP
44,4,0.000836,0.000020,OMP
44,4,0.001252,0.000019,OMP
44,4,0.001362,0.000019,OMP
44,4,0.000889,0.000017,OMP
45,4,0.001396,0.000021,OMP
45,4,0.001646,0.000021,OMP
45,4,0.000847,0.000020,OMP
45,4,0.001404,0.000019,OMP
45,4,0.000913,0.000018,OMP
46,4,0.000974,0.000020,OMP
46,4,0.001367,0.000019,OMP
46,4,0.000896,0.000020,OMP
46,4,0.001523,0.000041,OMP
46,4,0.001361,0.000019,OMP
47,4,0.000854,0.000019,OMP
47,4,0.001396,0.000036,OMP
47,4,0.000895,0.000019,OMP
47,4,0.001255,0.000021,OMP
47,4,0.001700,0.000021,OMP
48,4,0.001730,0.000021,OMP
48,4,0.001678,0.000019,OMP
48,4,0.001642,0.000043,OMP
48,4,0.001576,0.000020,OMP
48,4,0.001359,0.000021,OMP
49,4,0.001573,0.000021,OMP
49,4,0.001695,0.000022,OMP
49,4,0.001469,0.000022,OMP
49,4,0.001415,0.000024,OMP
49,4,0.001815,0.000020,OMP
50,4,0.001708,0.000021,OMP
50,4,0.001719,0.000022,OMP
50,4,0.001198,0.000022,OMP
50,4,0.001187,0.000019,OMP
50,4,0.001350,0.000025,OMP
