Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,8e-07,2e-07
1,4,OMP,2.8800000000000002e-05,2.8e-06
2,4,OMP,0.000145,6.400000000000001e-06
3,4,OMP,0.0002212,7.3999999999999995e-06
4,4,OMP,0.0002246,6.999999999999999e-06
5,4,OMP,0.0002448,7.3999999999999995e-06
6,4,OMP,0.0002868,7.599999999999999e-06
7,4,OMP,0.0003384,7.2000000000000005e-06
8,4,OMP,0.00037040000000000006,8.2e-06
9,4,OMP,0.0004066,8.2e-06
10,4,OMP,0.0004328,8.4e-06
11,4,OMP,0.000477,9.8e-06
12,4,OMP,0.0004872,9.400000000000001e-06
13,4,OMP,0.0005502,1.0399999999999999e-05
14,4,OMP,0.0005532,9.6e-06
15,4,OMP,0.0005864,1.02e-05
16,4,OMP,0.0006397999999999999,1.04e-05
17,4,OMP,0.0006609999999999999,1.18e-05
18,4,OMP,0.0007038000000000001,1.2e-05
19,4,OMP,0.0007464,1.2e-05
20,4,OMP,0.0008135999999999999,1.1999999999999999e-05
21,4,OMP,0.000793,1.26e-05
22,4,OMP,0.0008334,1.2400000000000003e-05
23,4,OMP,0.0008658000000000001,1.5000000000000002e-05
24,4,OMP,0.0009066000000000001,1.3000000000000001e-05
25,4,OMP,0.0009078,1.38e-05
26,4,OMP,0.0009521999999999999,1.4999999999999999e-05
27,4,OMP,0.0008824,1.5000000000000002e-05
28,4,OMP,0.000946,1.4999999999999999e-05
29,4,OMP,0.0009778,1.36e-05
30,4,OMP,0.0009332,1.4999999999999999e-05
31,4,OMP,0.0009731999999999999,1.4799999999999999e-05
32,4,OMP,0.0011802,1.6e-05
33,4,OMP,0.0011594,1.6199999999999997e-05
34,4,OMP,0.0011434000000000001,2.22e-05
35,4,OMP,0.0011318,1.72e-05
36,4,OMP,0.0011634,1.74e-05
37,4,OMP,0.0012032,1.8999999999999998e-05
38,4,OMP,0.0011995999999999999,1.76e-05
39,4,OMP,0.0011756,1.7800000000000002e-05
40,4,OMP,0.0012528,1.7999999999999997e-05
41,4,OMP,0.0012968,1.92e-05
42,4,OMP,0.0010658,1.8e-05
43,4,OMP,0.0012204,1.9e-05
44,4,OMP,0.0011371999999999999,1.8800000000000003e-05
45,4,OMP,0.0012412,1.98e-05
46,4,OMP,0.0012242000000000002,2.38e-05
47,4,OMP,0.0012200000000000002,2.32e-05
48,4,OMP,0.0015970000000000001,2.48e-05
49,4,OMP,0.0015933999999999996,2.18e-05
50,4,OMP,0.0014324,2.18e-05
51,4,OMP,0.0011524,2.3e-05
52,4,OMP,0.0016464,2.38e-05
53,4,OMP,0.0015964,2.94e-05
54,4,OMP,0.0016993999999999998,2.36e-05
55,4,OMP,0.0016466000000000002,2.44e-05
56,4,OMP,0.0013494,2.3599999999999998e-05
57,4,OMP,0.0016543999999999999,2.4000000000000004e-05
58,4,OMP,0.0019200000000000003,2.48e-05
59,4,OMP,0.0016244000000000002,2.68e-05
60,4,OMP,0.0037066,2.5e-05
61,4,OMP,0.0013914,2.32e-05
62,4,OMP,0.0022116,2.5800000000000004e-05
63,4,OMP,0.0018947999999999999,2.6000000000000002e-05
64,4,OMP,0.0015699999999999998,2.54e-05
65,4,OMP,0.0019654,3.34e-05
66,4,OMP,0.0023832,2.74e-05
67,4,OMP,0.0018666,4.26e-05
68,4,OMP,0.0032614,2.82e-05
69,4,OMP,0.0033342,2.68e-05
70,4,OMP,0.0064608,0.0019118
71,4,OMP,0.007459599999999999,2.4e-05
72,4,OMP,0.0089716,0.0047612
73,4,OMP,0.0096904,0.0094248
74,4,OMP,0.0110378,0.0084972
75,4,OMP,0.010993,0.0104444
76,4,OMP,0.010637,0.0104546
77,4,OMP,0.0114428,0.008584
78,4,OMP,0.010587599999999999,0.0094964
79,4,OMP,0.010419199999999998,0.009497599999999998
80,4,OMP,0.0117256,0.0095248
81,4,OMP,0.011566000000000002,0.0095592
82,4,OMP,0.011650800000000001,0.0105218
83,4,OMP,0.0119236,0.0104844
84,4,OMP,0.011494,0.0105552
85,4,OMP,0.012581399999999998,0.008572
86,4,OMP,0.011360600000000002,0.009575
87,4,OMP,0.0125004,0.0086476
88,4,OMP,0.011818400000000001,0.0114684
89,4,OMP,0.010824199999999999,0.0114022
90,4,OMP,0.010989600000000002,0.010510999999999998
91,4,OMP,0.0125556,0.009559799999999999
92,4,OMP,0.013281399999999999,0.008596199999999998
93,4,OMP,0.0117198,0.010522600000000002
94,4,OMP,0.0125472,0.008609200000000001
95,4,OMP,0.011970199999999999,0.0105126
96,4,OMP,0.012121,0.0096028
1,8,SEQ,1.3999999999999997e-06,8e-07
1,8,OMP,3.06e-05,3.2e-06
2,8,OMP,0.00014299999999999998,7.3999999999999995e-06
3,8,OMP,0.00019660000000000004,7.8e-06
4,8,OMP,0.00022579999999999996,7.599999999999999e-06
5,8,OMP,0.00026,8.4e-06
6,8,OMP,0.0002908,8.8e-06
