Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
1,4,SEQ,2e-07,2e-07,,,,
1,4,OMP,2.14e-05,2.2e-06,0.009345794392523366,0.0909090909090909,0.9345794392523366,9.09090909090909
2,4,OMP,9.940000000000002e-05,4.2000000000000004e-06,0.0020120724346076456,0.04761904761904761,0.10060362173038229,2.3809523809523805
3,4,OMP,0.0001408,6e-06,0.0014204545454545453,0.03333333333333333,0.04734848484848484,1.1111111111111112
4,4,OMP,0.0001004,5e-06,0.00199203187250996,0.039999999999999994,0.049800796812749,0.9999999999999999
5,4,OMP,0.00016299999999999998,5.6e-06,0.001226993865030675,0.03571428571428571,0.024539877300613498,0.7142857142857143
6,4,OMP,0.0002026,6.6e-06,0.0009871668311944718,0.0303030303030303,0.016452780519907863,0.505050505050505
7,4,OMP,0.00013780000000000002,6e-06,0.0014513788098693757,0.03333333333333333,0.020733982998133938,0.47619047619047616
8,4,OMP,0.0002396,7.200000000000001e-06,0.0008347245409015025,0.027777777777777773,0.010434056761268781,0.34722222222222215
9,4,OMP,0.0002544,6.8e-06,0.0007861635220125786,0.029411764705882353,0.008735150244584206,0.32679738562091504
10,4,OMP,0.0002996,7.800000000000003e-06,0.0006675567423230974,0.02564102564102563,0.006675567423230975,0.2564102564102563
11,4,OMP,0.00027400000000000005,7.399999999999999e-06,0.0007299270072992699,0.027027027027027032,0.006635700066356999,0.24570024570024573
12,4,OMP,0.0002258,7.400000000000001e-06,0.0008857395925597873,0.02702702702702702,0.007381163271331561,0.22522522522522517
13,4,OMP,0.0004568,7.8e-06,0.00043782837127845885,0.02564102564102564,0.0033679105482958376,0.19723865877712032
14,4,OMP,0.00031539999999999997,8.999999999999999e-06,0.0006341154090044388,0.022222222222222227,0.0045293957786031345,0.15873015873015875
15,4,OMP,0.00028020000000000003,8.8e-06,0.000713775874375446,0.022727272727272724,0.00475850582916964,0.1515151515151515
16,4,OMP,0.00028660000000000003,1.28e-05,0.0006978367062107466,0.015625,0.004361479413817167,0.09765625
17,4,OMP,0.0004618000000000001,9.4e-06,0.00043308791684711984,0.02127659574468085,0.002547575981453646,0.1251564455569462
18,4,OMP,0.000491,1.1e-05,0.00040733197556008143,0.01818181818181818,0.00226295541977823,0.10101010101010101
19,4,OMP,0.0003256,1.12e-05,0.0006142506142506142,0.017857142857142856,0.0032328979697400745,0.09398496240601503
20,4,OMP,0.00041499999999999984,1.02e-05,0.00048192771084337363,0.019607843137254898,0.002409638554216868,0.09803921568627448
21,4,OMP,0.0004696,1.14e-05,0.00042589437819420784,0.017543859649122806,0.002028068467591466,0.0835421888053467
22,4,OMP,0.0005803999999999999,1.14e-05,0.0003445899379738112,0.017543859649122806,0.0015663178998809601,0.07974481658692185
23,4,OMP,0.0003942,1.4e-05,0.0005073566717402334,0.014285714285714285,0.0022058985727836235,0.062111801242236024
