Threads,Dim,CheckSym,MatTranspose,Version
1,4,0.000002,0.000001,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000000,SEQ
1,4,0.000001,0.000001,SEQ
1,4,0.000040,0.000009,OMP
1,4,0.000042,0.000009,OMP
1,4,0.000016,0.000003,OMP
1,4,0.000037,0.000009,OMP
1,4,0.000039,0.000009,OMP
2,4,0.000145,0.000026,OMP
2,4,0.000158,0.000013,OMP
2,4,0.000131,0.000016,OMP
2,4,0.000160,0.000013,OMP
2,4,0.000156,0.000013,OMP
3,4,0.000226,0.000039,OMP
3,4,0.000246,0.000017,OMP
3,4,0.000173,0.000036,OMP
3,4,0.000224,0.000016,OMP
3,4,0.000231,0.000015,OMP
4,4,0.000208,0.000014,OMP
4,4,0.000238,0.000042,OMP
4,4,0.000252,0.000019,OMP
4,4,0.000254,0.000032,OMP
4,4,0.000265,0.000016,OMP
5,4,0.000283,0.000016,OMP
5,4,0.000290,0.000034,OMP
5,4,0.000278,0.000019,OMP
5,4,0.000241,0.000040,OMP
5,4,0.000259,0.000017,OMP
6,4,0.000318,0.000016,OMP
6,4,0.000310,0.000038,OMP
6,4,0.000320,0.000043,OMP
6,4,0.000278,0.000017,OMP
6,4,0.000292,0.000041,OMP
7,4,0.000357,0.000042,OMP
7,4,0.000367,0.000035,OMP
7,4,0.000357,0.000039,OMP
7,4,0.000329,0.000017,OMP
7,4,0.000357,0.000025,OMP
8,4,0.000412,0.000047,OMP
8,4,0.000399,0.000041,OMP
8,4,0.000385,0.000018,OMP
8,4,0.000410,0.000017,OMP
8,4,0.000380,0.000017,OMP
9,4,0.000444,0.000018,OMP
9,4,0.000419,0.000020,OMP
9,4,0.000406,0.000044,OMP
9,4,0.000400,0.000021,OMP
9,4,0.000454,0.000034,OMP
10,4,0.000525,0.000029,OMP
10,4,0.000501,0.000018,OMP
10,4,0.000484,0.000047,OMP
10,4,0.000409,0.000019,OMP
10,4,0.000458,0.000027,OMP
11,4,0.000503,0.000044,OMP
11,4,0.000504,0.000045,OMP
11,4,0.000458,0.000052,OMP
11,4,0.000533,0.000043,OMP
11,4,0.000506,0.000027,OMP
12,4,0.000489,0.000038,OMP
12,4,0.000481,0.000042,OMP
12,4,0.000512,0.000061,OMP
12,4,0.000558,0.000042,OMP
12,4,0.000569,0.000049,OMP
13,4,0.000582,0.000053,OMP
13,4,0.000589,0.000026,OMP
13,4,0.000577,0.000046,OMP
13,4,0.000545,0.000044,OMP
13,4,0.000561,0.000020,OMP
14,4,0.000618,0.000026,OMP
14,4,0.000600,0.000041,OMP
14,4,0.000619,0.000024,OMP
14,4,0.000618,0.000021,OMP
14,4,0.000618,0.000047,OMP
15,4,0.000658,0.000022,OMP
15,4,0.000589,0.000022,OMP
15,4,0.000610,0.000036,OMP
15,4,0.000650,0.000057,OMP
15,4,0.000659,0.000040,OMP
16,4,0.000647,0.000026,OMP
16,4,0.000671,0.000023,OMP
16,4,0.000673,0.000044,OMP
16,4,0.000670,0.000045,OMP
16,4,0.000659,0.000064,OMP
17,4,0.000688,0.000057,OMP
17,4,0.000700,0.000028,OMP
17,4,0.000698,0.000046,OMP
17,4,0.000700,0.000045,OMP
17,4,0.000688,0.000024,OMP
18,4,0.000793,0.000046,OMP
18,4,0.000766,0.000025,OMP
18,4,0.000679,0.000034,OMP
18,4,0.000733,0.000025,OMP
18,4,0.000734,0.000023,OMP
19,4,0.000778,0.000061,OMP
19,4,0.000777,0.000035,OMP
19,4,0.000707,0.000047,OMP
19,4,0.000672,0.000043,OMP
19,4,0.000723,0.000025,OMP
20,4,0.000860,0.000088,OMP
20,4,0.000794,0.000050,OMP
20,4,0.000713,0.000038,OMP
20,4,0.000689,0.000031,OMP
20,4,0.000720,0.000030,OMP
21,4,0.000848,0.000055,OMP
21,4,0.000840,0.000032,OMP
21,4,0.000826,0.000026,OMP
21,4,0.000752,0.000029,OMP
21,4,0.000859,0.000026,OMP
22,4,0.000879,0.000041,OMP
22,4,0.000870,0.000059,OMP
22,4,0.000865,0.000037,OMP
22,4,0.000823,0.000034,OMP
22,4,0.000854,0.000037,OMP
23,4,0.000925,0.000054,OMP
23,4,0.000830,0.000028,OMP
