Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose
1,4,SEQ,1.2e-06,4e-07
1,4,OMP,3.48e-05,7.800000000000002e-06
2,4,OMP,0.00015000000000000001,1.62e-05
3,4,OMP,0.00022,2.46e-05
4,4,OMP,0.0002434,2.46e-05
5,4,OMP,0.00027020000000000006,2.52e-05
6,4,OMP,0.0003036,3.1e-05
7,4,OMP,0.00035339999999999997,3.16e-05
8,4,OMP,0.0003972,2.8000000000000003e-05
9,4,OMP,0.00042459999999999997,2.74e-05
10,4,OMP,0.00047540000000000006,2.7999999999999996e-05
11,4,OMP,0.0005008,4.220000000000001e-05
12,4,OMP,0.0005218,4.6399999999999996e-05
13,4,OMP,0.0005708,3.78e-05
14,4,OMP,0.0006146000000000001,3.18e-05
15,4,OMP,0.0006332,3.54e-05
16,4,OMP,0.000664,4.039999999999999e-05
17,4,OMP,0.0006948000000000001,4.000000000000001e-05
18,4,OMP,0.000741,3.06e-05
19,4,OMP,0.0007314,4.220000000000001e-05
20,4,OMP,0.0007552,4.74e-05
21,4,OMP,0.000825,3.3600000000000004e-05
22,4,OMP,0.0008581999999999999,4.1599999999999995e-05
23,4,OMP,0.0008524,3.72e-05
24,4,OMP,0.0009011999999999999,4.02e-05
25,4,OMP,0.0009274000000000001,3.6400000000000004e-05
26,4,OMP,0.0009219999999999999,4.6e-05
27,4,OMP,0.000962,4.14e-05
28,4,OMP,0.0009583999999999999,3.62e-05
29,4,OMP,0.000984,3.44e-05
30,4,OMP,0.0010594,3.44e-05
31,4,OMP,0.0010042,4.4800000000000005e-05
32,4,OMP,0.0010538,4.220000000000001e-05
33,4,OMP,0.0009804000000000002,4.1200000000000005e-05
34,4,OMP,0.0010370000000000002,4.440000000000001e-05
35,4,OMP,0.0011012,4.1e-05
36,4,OMP,0.0010162,4.2399999999999994e-05
37,4,OMP,0.0011206,3.2200000000000003e-05
38,4,OMP,0.0010182,3.68e-05
39,4,OMP,0.001168,3.44e-05
40,4,OMP,0.0011129999999999998,3.54e-05
41,4,OMP,0.0010708000000000002,3.8e-05
42,4,OMP,0.0012018,4.479999999999999e-05
43,4,OMP,0.0008713999999999999,4.68e-05
44,4,OMP,0.0008569999999999999,4.74e-05
45,4,OMP,0.0012678000000000001,3.5e-05
46,4,OMP,0.0011476,4.52e-05
47,4,OMP,0.0010846000000000002,4.98e-05
48,4,OMP,0.00123,4.78e-05
49,4,OMP,0.0010604,4.5799999999999995e-05
50,4,OMP,0.0013208,2.9600000000000005e-05
51,4,OMP,0.0012672,4.62e-05
52,4,OMP,0.0013900000000000002,4.1599999999999995e-05
53,4,OMP,0.0013843999999999998,4.64e-05
54,4,OMP,0.0011497999999999999,3.9000000000000006e-05
55,4,OMP,0.0013961999999999998,5.9199999999999996e-05
56,4,OMP,0.0013716000000000002,4.1400000000000003e-05
57,4,OMP,0.0013788000000000001,3.2399999999999995e-05
58,4,OMP,0.0015229999999999998,4.16e-05
59,4,OMP,0.0015458000000000002,4.4399999999999995e-05
60,4,OMP,0.0016434000000000002,3.3e-05
61,4,OMP,0.0013702,4.2000000000000004e-05
62,4,OMP,0.0014123999999999999,3.66e-05
63,4,OMP,0.001687,4.7999999999999994e-05
64,4,OMP,0.0017250000000000002,4.54e-05
65,4,OMP,0.0019528,4.46e-05
66,4,OMP,0.0020874,5.22e-05
67,4,OMP,0.005111,5.020000000000001e-05
68,4,OMP,0.002797,4.78e-05
69,4,OMP,0.004255,5.5400000000000005e-05
70,4,OMP,0.0036836,4.479999999999999e-05
71,4,OMP,0.007319399999999999,0.0010168000000000002
72,4,OMP,0.00978,0.0085142
73,4,OMP,0.0113154,0.008095399999999999
74,4,OMP,0.0103852,0.0095198
75,4,OMP,0.0107268,0.009468399999999998
76,4,OMP,0.0113238,0.0104288
77,4,OMP,0.0124866,0.0095106
78,4,OMP,0.0109972,0.010499
79,4,OMP,0.010823800000000001,0.010482000000000002
80,4,OMP,0.0116708,0.010747399999999999
81,4,OMP,0.0115374,0.0105314
82,4,OMP,0.0108542,0.0095338
83,4,OMP,0.0119716,0.0085608
84,4,OMP,0.013467999999999999,0.0067484
85,4,OMP,0.012920999999999998,0.0087246
86,4,OMP,0.012876599999999998,0.008668600000000002
87,4,OMP,0.0113624,0.0105324
88,4,OMP,0.0126008,0.0096238
89,4,OMP,0.0120508,0.0105652
90,4,OMP,0.012828,0.008652
91,4,OMP,0.011547,0.009593
92,4,OMP,0.013076399999999998,0.008667
93,4,OMP,0.012629999999999999,0.0096382
94,4,OMP,0.0117482,0.0105708
95,4,OMP,0.012937599999999999,0.008663599999999999
96,4,OMP,0.0135022,0.0076544000000000004
1,8,SEQ,1.2e-06,1e-06
1,8,OMP,3.88e-05,9e-06
2,8,OMP,0.00015480000000000002,1.5399999999999998e-05
3,8,OMP,0.00019759999999999998,1.96e-05
4,8,OMP,0.0002516,3.52e-05
5,8,OMP,0.000276,3.4e-05
6,8,OMP,0.0003164,3.2200000000000003e-05
7,8,OMP,0.00036459999999999997,4.06e-05
8,8,OMP,0.0003776,3.72e-05
9,8,OMP,0.0004248,3.3e-05
10,8,OMP,0.00047359999999999997,4.3e-05
11,8,OMP,0.0004778,3.66e-05
12,8,OMP,0.0005321999999999999,3.9e-05
13,8,OMP,0.0005754,3.7e-05
14,8,OMP,0.0005771999999999999,3.84e-05
15,8,OMP,0.0006834,4.2800000000000004e-05
16,8,OMP,0.0006211999999999999,2.7999999999999996e-05
17,8,OMP,0.000678,4.6399999999999996e-05
18,8,OMP,0.0007248,2.48e-05
19,8,OMP,0.0007372,2.52e-05
20,8,OMP,0.0007472000000000002,3.7e-05
21,8,OMP,0.0007796000000000001,4.48e-05
22,8,OMP,0.0008512000000000001,4.2399999999999994e-05
23,8,OMP,0.0008742,4.36e-05
24,8,OMP,0.0008803999999999999,3.54e-05
25,8,OMP,0.000933,3.0399999999999997e-05
26,8,OMP,0.000893,3.96e-05
27,8,OMP,0.0009368000000000001,4.4200000000000004e-05
28,8,OMP,0.0009864,5.379999999999999e-05
29,8,OMP,0.0010234,3.96e-05
30,8,OMP,0.0010270000000000001,3.7e-05
31,8,OMP,0.0010558000000000002,3.82e-05
32,8,OMP,0.0010182,4.74e-05
33,8,OMP,0.001158,4.2000000000000004e-05
34,8,OMP,0.0011849999999999999,4.6e-05
35,8,OMP,0.001165,4.1200000000000005e-05
36,8,OMP,0.0011338,4.58e-05
37,8,OMP,0.0012385999999999999,3.2200000000000003e-05
38,8,OMP,0.001201,3.2399999999999995e-05
39,8,OMP,0.0012342,3.38e-05
40,8,OMP,0.0013754,5.28e-05
41,8,OMP,0.0013252,4.32e-05
42,8,OMP,0.0012799999999999999,3.3400000000000005e-05
43,8,OMP,0.001069,3.8199999999999993e-05
44,8,OMP,0.0013564,3.08e-05
45,8,OMP,0.0011166000000000001,3.9e-05
46,8,OMP,0.0011928000000000002,3.3799999999999995e-05
47,8,OMP,0.0014,3.3e-05
48,8,OMP,0.0013456000000000002,3.0000000000000004e-05
49,8,OMP,0.0013192,4.48e-05
50,8,OMP,0.0012590000000000001,4.1200000000000005e-05
51,8,OMP,0.0013621999999999998,4.84e-05
52,8,OMP,0.0012955999999999998,3.9e-05
53,8,OMP,0.0013,3.94e-05
54,8,OMP,0.0015486,4.74e-05
55,8,OMP,0.001394,3.12e-05
56,8,OMP,0.0015096000000000003,4.0199999999999995e-05
57,8,OMP,0.0014506,4.4200000000000004e-05
58,8,OMP,0.0012956,4.48e-05
59,8,OMP,0.0013302,4.5e-05
60,8,OMP,0.0015092,3.6400000000000004e-05
61,8,OMP,0.001485,5.18e-05
62,8,OMP,0.0014656000000000003,5.28e-05
63,8,OMP,0.0015046000000000003,3.72e-05
64,8,OMP,0.0015056,3.82e-05
65,8,OMP,0.0015102,3.84e-05
66,8,OMP,0.0016424,5.679999999999999e-05
67,8,OMP,0.0058574000000000005,5.3200000000000006e-05
68,8,OMP,0.0026484,4.66e-05
69,8,OMP,0.0035366,5.66e-05
70,8,OMP,0.0040796,0.0019299999999999999
71,8,OMP,0.0081826,0.0047528
72,8,OMP,0.009834200000000001,0.0088734
73,8,OMP,0.0099156,0.0094552
74,8,OMP,0.0100208,0.0104292
75,8,OMP,0.0106894,0.0095316
76,8,OMP,0.0107806,0.0095036
77,8,OMP,0.010672200000000001,0.0104742
78,8,OMP,0.010581200000000002,0.0094986
79,8,OMP,0.0114334,0.008699599999999998
80,8,OMP,0.0118436,0.0086336
81,8,OMP,0.0127162,0.008601399999999999
82,8,OMP,0.012171199999999998,0.0089346
83,8,OMP,0.013221199999999999,0.007672
84,8,OMP,0.0107008,0.009562400000000002
85,8,OMP,0.0107564,0.010565399999999999
86,8,OMP,0.011782999999999998,0.008603399999999999
87,8,OMP,0.0109882,0.0104558
88,8,OMP,0.013199800000000001,0.007713599999999999
89,8,OMP,0.0117692,0.0104968
90,8,OMP,0.013686799999999999,0.0086788
91,8,OMP,0.011058600000000002,0.010525799999999998
92,8,OMP,0.0125448,0.0086296
93,8,OMP,0.011564399999999999,0.010491400000000001
94,8,OMP,0.0131046,0.007706199999999999
95,8,OMP,0.013026,0.0086116
96,8,OMP,0.014189199999999999,0.0076798000000000005
1,16,SEQ,3.2e-06,2e-06
1,16,OMP,4.7199999999999995e-05,1.04e-05
2,16,OMP,0.0001776,2.3599999999999998e-05
3,16,OMP,0.00020700000000000002,2.32e-05
4,16,OMP,0.00023480000000000002,2.8000000000000003e-05
5,16,OMP,0.00027539999999999997,4.14e-05
6,16,OMP,0.0003114,3.3e-05
7,16,OMP,0.00036219999999999997,3.3799999999999995e-05
8,16,OMP,0.00038480000000000003,4.14e-05
9,16,OMP,0.000428,3.7000000000000005e-05
10,16,OMP,0.0004614,3.12e-05
11,16,OMP,0.0004896,4.06e-05
12,16,OMP,0.0005078000000000001,3.52e-05
13,16,OMP,0.0006446000000000001,3.36e-05
14,16,OMP,0.0005790000000000001,3.6400000000000004e-05
15,16,OMP,0.0006264,5.020000000000001e-05
16,16,OMP,0.000687,3.18e-05
17,16,OMP,0.000691,4.6200000000000005e-05
18,16,OMP,0.0007054,4.06e-05
19,16,OMP,0.0007818,3.48e-05
20,16,OMP,0.0007816,5.52e-05
