Threads,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
1,4,SEQ,1.2e-06,4e-07,,,,
1,4,OMP,3.48e-05,7.800000000000003e-06,0.034482758620689655,0.05128205128205126,3.4482758620689653,5.128205128205126
2,4,OMP,0.00015,1.62e-05,0.008,0.024691358024691357,0.4,1.2345679012345678
3,4,OMP,0.00022,2.46e-05,0.005454545454545454,0.016260162601626015,0.1818181818181818,0.5420054200542005
4,4,OMP,0.0002434,2.46e-05,0.0049301561216105174,0.016260162601626015,0.12325390304026293,0.40650406504065034
5,4,OMP,0.0002702000000000001,2.52e-05,0.004441154700222056,0.015873015873015872,0.08882309400444112,0.31746031746031744
6,4,OMP,0.0003036,3.1e-05,0.003952569169960474,0.012903225806451611,0.06587615283267456,0.21505376344086016
7,4,OMP,0.0003534,3.16e-05,0.0033955857385398977,0.012658227848101264,0.04850836769342711,0.18083182640144663
8,4,OMP,0.0003972,2.8000000000000006e-05,0.0030211480362537764,0.014285714285714282,0.0377643504531722,0.17857142857142852
9,4,OMP,0.0004246,2.7399999999999995e-05,0.0028261893546867637,0.014598540145985403,0.03140210394096404,0.16220600162206003
10,4,OMP,0.0004754000000000001,2.8e-05,0.0025241901556583924,0.014285714285714285,0.025241901556583922,0.14285714285714285
11,4,OMP,0.0005008,4.220000000000001e-05,0.0023961661341853034,0.009478672985781988,0.02178332849259367,0.0861697544161999
12,4,OMP,0.0005218,4.64e-05,0.0022997316979685703,0.008620689655172414,0.019164430816404752,0.07183908045977011
13,4,OMP,0.0005707999999999999,3.78e-05,0.002102312543798178,0.010582010582010583,0.01617163495229368,0.08140008140008141
14,4,OMP,0.0006146000000000001,3.18e-05,0.0019524894240156195,0.012578616352201257,0.013946353028682995,0.08984725965858041
15,4,OMP,0.0006332000000000001,3.54e-05,0.001895135818066961,0.011299435028248588,0.012634238787113073,0.07532956685499058
16,4,OMP,0.000664,4.0399999999999986e-05,0.0018072289156626507,0.009900990099009905,0.011295180722891566,0.0618811881188119
17,4,OMP,0.0006948000000000001,4.000000000000001e-05,0.0017271157167530222,0.009999999999999997,0.010159504216194248,0.05882352941176469
18,4,OMP,0.000741,3.06e-05,0.0016194331983805667,0.013071895424836602,0.00899685110211426,0.07262164124909223
19,4,OMP,0.0007314,4.220000000000001e-05,0.0016406890894175553,0.009478672985781988,0.008635205733776605,0.0498877525567473
20,4,OMP,0.0007552,4.74e-05,0.0015889830508474575,0.008438818565400843,0.007944915254237288,0.04219409282700422
21,4,OMP,0.000825,3.3600000000000004e-05,0.0014545454545454545,0.011904761904761902,0.0069264069264069255,0.05668934240362811
22,4,OMP,0.0008581999999999999,4.16e-05,0.0013982754602656724,0.009615384615384614,0.006355797546662148,0.0437062937062937
23,4,OMP,0.0008523999999999999,3.72e-05,0.0014077897700610043,0.01075268817204301,0.006120825087221758,0.04675081813931743
24,4,OMP,0.0009012,4.02e-05,0.0013315579227696404,0.009950248756218905,0.005548158011540168,0.04145936981757877
25,4,OMP,0.0009274,3.64e-05,0.0012939400474444684,0.01098901098901099,0.005175760189777874,0.04395604395604396
26,4,OMP,0.000922,4.6e-05,0.0013015184381778742,0.008695652173913044,0.005005840146837978,0.033444816053511704
27,4,OMP,0.000962,4.14e-05,0.0012474012474012475,0.00966183574879227,0.00462000462000462,0.03578457684737878
28,4,OMP,0.0009584,3.6200000000000006e-05,0.0012520868113522537,0.011049723756906075,0.004471738611972334,0.03946329913180741
29,4,OMP,0.000984,3.4399999999999996e-05,0.001219512195121951,0.011627906976744188,0.004205214465937762,0.0400962309542903
30,4,OMP,0.0010594,3.4399999999999996e-05,0.0011327166320558805,0.011627906976744188,0.0037757221068529354,0.03875968992248063
31,4,OMP,0.0010042,4.480000000000001e-05,0.0011949810794662417,0.008928571428571426,0.0038547776756975537,0.028801843317972343
32,4,OMP,0.0010538,4.220000000000001e-05,0.0011387360030366293,0.009478672985781988,0.0035585500094894667,0.02962085308056871
33,4,OMP,0.0009804000000000002,4.120000000000001e-05,0.001223990208078335,0.009708737864077667,0.0037090612366010153,0.029420417769932324
34,4,OMP,0.0010370000000000002,4.4400000000000015e-05,0.0011571841851494694,0.009009009009009005,0.0034034828974984395,0.026497085320614722
35,4,OMP,0.0011012,4.1e-05,0.0010897203051216853,0.00975609756097561,0.0031134865860619576,0.027874564459930314
36,4,OMP,0.0010162,4.24e-05,0.0011808699074985238,0.009433962264150943,0.003280194187495899,0.026205450733752623
37,4,OMP,0.0011206,3.2200000000000003e-05,0.0010708548991611635,0.012422360248447202,0.002894202430165307,0.03357394661742487
